| Government | Nauru |
| --- | --- |
| Country name: | conventional long form: Republic of Nauru |
| Country name: | conventional short form: Nauru |
| Country name: | local long form: Republic of Nauru |
| Country name: | local short form: Nauru |
| Country name: | former: Pleasant Island |
| Government type: | republic |
| Capital: | no official capital; government offices in Yaren District |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 districts; Aiwo, Anabar, Anetan, Anibare, Baiti, Boe, Buada, Denigomodu, Ewa, Ijuw, Meneng, Nibok, Uaboe, Yaren |
| Independence: | 31 January 1968 (from the Australia-, NZ-, and UK-administered UN trusteeship) |
| National holiday: | Independence Day, 31 January (1968) |
| Constitution: | 29 January 1968; amended 1968, 2009; note - in early 2013, further amendments were introduced (2013) |
| Legal system: | mixed legal system of common law based on the English model and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 20 years of age; universal and compulsory |
| Executive branch: | chief of state: President Baron WAQA (since 11 June 2013); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Baron WAQA (since 11 June 2013) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by parliament for a three-year term; election last held on 11 June 2013 (next to be held in 2016) |
| Executive branch: | election results: Baron WAQA elected in a parliamentary vote of 13 to 5 |
| Legislative branch: | unicameral parliament (19 seats; members elected by popular vote to serve three-year terms) |
| Legislative branch: | elections: last held on 8 June 2013 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 19 |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 1 judge) |
| Judicial branch: | judge selection and term of office: judges appointed by the president to serve until age 65 |
| Judicial branch: | subordinate courts: District Court, Family Court |
| Political parties and leaders: | Democratic Party [Kennan ADEANG] |
| Political parties and leaders: | Nauru First (Naoero Amo) Party |
| Political parties and leaders: | Nauru Party (informal) |
| Political parties and leaders: | note: loose multiparty system |
| Political pressure groups and leaders: | Woman Information and News Agency (women's issues) |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, G-77, ICAO, Interpol, IOC, IOM, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Marlene Inemwin MOSES (since 10 February 2006) |
| Diplomatic representation in the US: | chancery: 800 2nd Avenue, Suite 400 D, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 937-0074 |
| Diplomatic representation in the US: | FAX: [1] (212) 937-0079 |
| Diplomatic representation in the US: | consulate(s): Agana (Guam) |
| Diplomatic representation from the US: | the US does not have an embassy in Nauru; the US Ambassador to Fiji, currently Ambassador Frankie A. REED, is accredited to Nauru |
| Flag description: | blue with a narrow, horizontal, yellow stripe across the center and a large white 12-pointed star below the stripe on the hoist side; blue stands for the Pacific Ocean, the star indicates the country's location in relation to the Equator (the yellow stripe) and the 12 points symbolize the 12 original tribes of Nauru |
| National anthem: | name: "Nauru Bwiema" (Song of Nauru) |
| National anthem: | lyrics/music: Margaret HENDRIE/Laurence Henry HICKS |
| National anthem: | note: adopted 1968 |
