| Government | NICARAGUA |
| --- | --- |
| Country name: | conventional long form: Republic of Nicaragua |
| Country name: | conventional short form: Nicaragua |
| Country name: | local long form: Republica de Nicaragua |
| Country name: | local short form: Nicaragua |
| Government type: | republic |
| Capital: | name: Managua |
| Capital: | geographic coordinates: 12 08 N, 86 15 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Administrative divisions: | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonoma); Atlantico Norte*, Atlantico Sur*, Boaco, Carazo, Chinandega, Chontales, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | several previous; latest adopted 19 November 1986, effective 9 January 1987; amended several times, last in 2014 (2014) |
| Legal system: | civil law system; Supreme Court may review administrative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Moises Omar HALLESLEVENS Acevedo (since 10 January 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Moises Omar HALLESLEVENS Acevedo (since 10 January 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a 5-year term (no term limits); election last held on 6 November 2011 (next to be held by November 2016) |
| Executive branch: | election results: Jose Daniel ORTEGA Saavedra reelected president; percent of vote - Jose Daniel ORTEGA Saavedra (FSLN) 62.5%, Fabio GADEA Mantilla (PLI) 31%, Arnoldo ALEMAN (PLC) 5.9%, other 0.6% |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (92 seats; 70 members in multi-seat constituencies and 20 members in a single nationwide constituency directly elected by proportional representation vote; 2 seats reserved for the previous president and the runner-up candidate in the previous presidential election; members serve 5-year terms;) |
| Legislative branch: | elections: last held on 6 November 2011 (next to be held by November 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FSLN 62, PLI/MRS 26, PLC 2 |
| Judicial branch: | highest court(s): Supreme Court or Corte Suprema de Justicia (consists of 16 judges organized into administrative, civil, criminal, and constitutional chambers) |
| Judicial branch: | judge selection and term of office: Supreme Court judges elected by the National Assembly to serve 5-year staggered terms |
| Judicial branch: | subordinate courts: Appeals Court; first instance civil, criminal, and military courts |
| Political parties and leaders: | Alliance for the Republic or APRE [Carlos CANALES] |
| Political parties and leaders: | Conservative Party or PC [Alejandro BOLANOS Davis] |
| Political parties and leaders: | Independent Liberal Party or PLI [Indalecio RODRIGUEZ] |
| Political parties and leaders: | Liberal Constitutionalist Party or PLC [Maria Haydee OSUNA] |
| Political parties and leaders: | Nicaraguan Liberal Alliance or ALN [Alejandro MEJIA Ferreti] |
| Political parties and leaders: | Sandinista National Liberation Front or FSLN [Jose Daniel ORTEGA Saavedra] |
| Political parties and leaders: | Sandinista Renovation Movement or MRS [Ana Margarita VIJIL] |
| Political pressure groups and leaders: | National Workers Front or FNT (a Sandinista umbrella group of eight labor unions including: Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN) |
| Political pressure groups and leaders: | Nicaraguan Workers' Central or CTN (an independent labor union) |
| Political pressure groups and leaders: | Permanent Congress of Workers or CPT (an umbrella group of four non-Sandinista labor unions including: Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS) |
| Political pressure groups and leaders: | Superior Council of Private Enterprise or COSEP (a confederation of business groups) |
