| Government | Nicaragua |
| --- | --- |
| Country name: | conventional long form: Republic of Nicaragua |
| Country name: | conventional short form: Nicaragua |
| Country name: | local long form: Republica de Nicaragua |
| Country name: | local short form: Nicaragua |
| Government type: | republic |
| Capital: | name: Managua |
| Capital: | geographic coordinates: 12 09 N, 86 17 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonomista); Atlantico Norte*, Atlantico Sur*, Boaco, Carazo, Chinandega, Chontales, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 9 January 1987; reforms in 1995 and 2000 |
| Legal system: | civil law system; Supreme Court may review administrative acts; accepts compulsory ICJ jurisdiction |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Enrique BOLANOS Geyer (since 10 January 2002); Vice President Alfredo GOMEZ Urcuyo (since 10 October 2005); note - the president is both chief of state and head of government; Alfredo GOMEZ Urcuyo was elected Vice President by the deputies of the National Assembly after Vice President Jose RIZO Castellon resigned on 27 September 2005 |
| Executive branch: | head of government: President Enrique BOLANOS Geyer (since 10 January 2002); Vice President Alfredo GOMEZ Urcuyo (since 10 October 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a five-year term (eligible for a second term); election last held 5 November 2006 (next to be held by November 2011) |
| Executive branch: | election results: Daniel ORTEGA Saavedra (FSLN) elected president - 38.07%, Eduardo MONTEALEGRE (ALN) 29%, Jose RIZO (PLC) 26.21%, Edmundo JARQUIN (MRS) 6.44%; note - ORTEGA will take office 10 January 2007 |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (92 seats; members are elected by proportional representation and party lists to serve five-year terms; 1 seat for the previous president, 1 seat for the runner-up in previous presidential election) |
| Legislative branch: | elections: last held 5 November 2006 (next to be held by November 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FSLN 38, PLC 25, ALN 23 (22 plus one for presidential candidate Eduardo MONTEALEGRE, runner-up in the 2006 presidential election), MRS 5, APRE 1 (outgoing President Enrique BOLANOS) |
| Judicial branch: | Supreme Court or Corte Suprema (16 judges elected for five-year terms by the National Assembly) |
| Political parties and leaders: | Alliance for the Republic or APRE [Miguel LOPEZ Baldizon]; Central American Unionist Party or PUCA [Blanca ROJAS]; Christian Alternative Party or AC [Orlando TARDENCILLA Espinoza]; Conservative Party or PC [Mario Sebastian RAPPACCIOLI]; Independent Liberal Party or PLI [Anibal MARTINEZ Nunez, Pedro REYES Vallejos]; Independent Liberal Party for National Unity or PLIUN [Carlos GUERRA Gallardo]; Liberal Constitutional Party or PLC [Jorge CASTILLO Quant]; Liberal Salvation Movement or MSL [Eliseo NUNEZ Hernandez]; New Liberal Party or PALI [Adolfo GARCIA Esquivel]; Nicaraguan Liberal Alliance or ALN [Eduardo MONTEALEGRE]; Nicaraguan Party of the Christian Path or PCCN [Guillermo OSORNO Molina]; Nicaraguan Resistance Party or PRN [Salvador TALAVERA]; Sandinista National Liberation Front or FSLN [Daniel ORTEGA Saavedra]; Sandinista Renovation Movement or MRS [Dora Maria TELLEZ]; Unity Alliance or AU |
