| Government | Nicaragua |
| --- | --- |
| Country name: | conventional long form: Republic of Nicaragua |
| Country name: | conventional short form: Nicaragua |
| Country name: | local long form: Republica de Nicaragua |
| Country name: | local short form: Nicaragua |
| Country name: | etymology: Nicarao was the name of the largest indigenous settlement at the time of Spanish arrival; conquistador Gil GONZALEZ Davila, who explored the area (1622-23), combined the name of the community with the Spanish word "agua" (water), referring to the two large lakes in the west of the country (Lake Managua and Lake Nicaragua) |
| Government type: | presidential republic |
| Capital: | name: Managua |
| Capital: | geographic coordinates: 12 08 N, 86 15 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Capital: | etymology: may derive from the indigenous Nahuatl term "mana-ahuac," which translates as "adjacent to the water" or a site "surrounded by water"; the city is situated on the southwestern shore of Lake Managua |
| Administrative divisions: | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonoma); Boaco, Carazo, Chinandega, Chontales, Costa Caribe Norte*, Costa Caribe Sur*, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | history: several previous; latest adopted 19 November 1986, effective 9 January 1987 |
| Constitution: | amendments: proposed by the president of the republic or assent of at least half of the National Assembly membership; passage requires approval by 60% of the membership of the next elected Assembly and promulgation by the president of the republic; amended several times, last in 2014 (2018) |
| Legal system: | civil law system; Supreme Court may review administrative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no, except in cases where bilateral agreements exist |
| Citizenship: | residency requirement for naturalization: 4 years |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Rosario MURILLO Zambrana (since 10 January 2017); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Rosario MURILLO Zambrana (since 10 January 2017) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a 5-year term (no term limits as of 2014); election last held on 6 November 2016 (next to be held by November 2021) |
| Executive branch: | election results: Jose Daniel ORTEGA Saavedra reelected president; percent of vote - Jose Daniel ORTEGA Saavedra (FSLN) 72.4%, Maximino RODRIGUEZ (PLC) 15%, Jose del Carmen ALVARADO (PLI) 4.5%, Saturnino CERRATO Hodgson (ALN) 4.3%, other 3.7% |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (92 seats; 70 members in multi-seat constituencies and 20 members in a single nationwide constituency directly elected by proportional representation vote; 2 seats reserved for the previous president and the runner-up candidate in the previous presidential election; members serve 5-year terms) |
| Legislative branch: | elections: last held on 6 November 2016 (next to be held by November 2021) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FSLN 71, PLC 14, ALN 2, PLI 2, APRE 1, PC 1, YATAMA 1; composition - men 50, women 42, percent of women 45.7% |
| Judicial branch: | highest courts: Supreme Court or Corte Suprema de Justicia (consists of 16 judges organized into administrative, civil, criminal, and constitutional chambers) |
| Judicial branch: | judge selection and term of office: Supreme Court judges elected by the National Assembly to serve 5-year staggered terms |
| Judicial branch: | subordinate courts: Appeals Court; first instance civil, criminal, and labor courts; military courts are independent of the Supreme Court |
| Political parties and leaders: | Alliance for the Republic or APRE [Carlos CANALES] |
| Political parties and leaders: | Conservative Party or PC [Alfredo CESAR] |
| Political parties and leaders: | Independent Liberal Party or PLI [Jose del Carmen ALVARADO] |
| Political parties and leaders: | Liberal Constitutionalist Party or PLC [Maria Haydee OSUNA] |
| Political parties and leaders: | Nicaraguan Liberal Alliance or ALN [Alejandro MEJIA Ferreti] |
| Political parties and leaders: | Sandinista National Liberation Front or FSLN [Jose Daniel ORTEGA Saavedra] |
