| Government | Nicaragua |
| --- | --- |
| Country name: | conventional long form: Republic of Nicaragua |
| Country name: | conventional short form: Nicaragua |
| Country name: | local long form: Republica de Nicaragua |
| Country name: | local short form: Nicaragua |
| Government type: | republic |
| Capital: | name: Managua |
| Capital: | geographic coordinates: 12 08 N, 86 15 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonoma); Atlantico Norte*, Atlantico Sur*, Boaco, Carazo, Chinandega, Chontales, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 9 January 1987; revised in 1995, 2000, and 2005 |
| Legal system: | civil law system; Supreme Court may review administrative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Moises Omar HALLESLEVENS Acevedo (since 10 January 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Moises Omar HALLESLEVENS Acevedo (since 10 January 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a five-year term; election last held on 6 November 2011 (next to be held by November 2016) |
| Executive branch: | election results: Daniel ORTEGA Saavedra reelected president; percent of vote - Daniel ORTEGA Saavedra 62.5%, Fabio GADEA 31%, Arnoldo ALEMAN 5.9%, other 0.6% |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (92 seats; 90 members elected by proportional representation and party lists to serve five-year terms; 1 seat for the previous president, 1 seat for the runner-up in previous presidential election) |
| Legislative branch: | elections: last held on 6 November 2011 (next to be held by November 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FSLN 64, PLI/MRS 26, PLC 2 |
| Judicial branch: | Supreme Court or Corte Suprema de Justicia (16 judges elected for five-year terms by the National Assembly); note - in 2010, President ORTEGA directly replaced seven justices on the Supreme Court |
| Political parties and leaders: | Alliance for the Republic or APRE; Conservative Party or PC [Alejandro BOLANOS Davis]; Independent Liberal Party or PLI [Eduardo MONTEALEGRE]; Liberal Constitutionalist Party or PLC [Maria Haydee OSUNA]; Nicaraguan Liberal Alliance or ALN [Alejandro MEJIA Ferreti]; Sandinista National Liberation Front or FSLN [Jose Daniel ORTEGA Saavedra]; Sandinista Renovation Movement or MRS [Enrique SAENZ-NAVARRETE] |
| Political pressure groups and leaders: | National Workers Front or FNT (a Sandinista umbrella group of eight labor unions including: Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN); Permanent Congress of Workers or CPT (an umbrella group of four non-Sandinista labor unions including: Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS); Nicaraguan Workers' Central or CTN (an independent labor union); Superior Council of Private Enterprise or COSEP (a confederation of business groups) |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
