| Government | Nicaragua |
| --- | --- |
| Country name: | conventional long form: Republic of Nicaragua |
| Country name: | conventional short form: Nicaragua |
| Country name: | local short form: Nicaragua |
| Country name: | local long form: Republica de Nicaragua |
| Government type: | republic |
| Capital: | Managua |
| Administrative divisions: | 15 departments (departamentos, singular - departamento) and 2 autonomous regions* (regiones autonomistas, singular - region autonomista); Atlantico Norte*, Atlantico Sur*, Boaco, Carazo, Chinandega, Chontales, Esteli, Granada, Jinotega, Leon, Madriz, Managua, Masaya, Matagalpa, Nueva Segovia, Rio San Juan, Rivas |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 9 January 1987, with reforms in 1995 and 2000 |
| Legal system: | civil law system; Supreme Court may review administrative acts |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Enrique BOLANOS Geyer (since 10 January 2002); Vice President Jose RIZO Castellon (since 10 January 2002); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Enrique BOLANOS Geyer (since 10 January 2002); Vice President Jose RIZO Castellon (since 10 January 2002); note - the president is both chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a five-year term; election last held 4 November 2001 (next to be held by November 2006) |
| Executive branch: | election results: Enrique BOLANOS Geyer (PLC) elected president - 56.3%, Daniel ORTEGA Saavedra (FSLN) 42.3%, Alberto SABORIO (PCN) 1.4%; Jose RIZO Castellon elected vice president |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (92 seats; members are elected by proportional representation and party lists to serve five-year terms; one seat for previous President, one seat for runner-up in previous Presidential election |
| Legislative branch: | elections: last held 4 November 2001 (next to be held by November 2006) |
| Legislative branch: | election results: percent of vote by party - Liberal Alliance (ruling party - includes PCCN, PLC, PALI, PLIUN, and PUCA) 46.03%, FSLN 36.55%, PCN 2.12%; seats by party - Liberal Alliance 53, FSLN 38, PCN 1 |
| Judicial branch: | Supreme Court or Corte Suprema (16 judges elected for five-year terms by the National Assembly) |
| Political parties and leaders: | Conservative Party of Nicaragua or PCN [Mario RAPPACCIOLI]; Independent Liberal Party or PLI [Anibal MARTINEZ Nunez, Pedro REYES Vallejos]; Nicaraguan Party of the Christian Path or PCCN [Guillermo OSORNO Molina]; Nicaraguan Resistance Party or PRN [Salvador TALAVERA]; Sandinista National Liberation Front or FSLN [Daniel ORTEGA Saavedra]; Sandinista Renovation Movement or MRS [leader NA]; Unity Alliance or AU [leader NA]; Liberal Constitutional Party or PLC [Jorge CASTILLO Quant]; Alliance for the Republic or APRE [Miguel LOPEZ Baldizon, Oscar WENDOLYN Vargas, Karla WHITE]; Liberal Salvation Movement or MSL [Eliseo NUNEZ Hernandez]; Christian Alternative Party or AC [Orlando TARDENCILLA Espinoza] |
| Political pressure groups and leaders: | National Workers Front or FNT is a Sandinista umbrella group of eight labor unions including - Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN; Permanent Congress of Workers or CPT is an umbrella group of four non-Sandinista labor unions including - Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS; Nicaraguan Workers' Central or CTN is an independent labor union; Superior Council of Private Enterprise or COSEP is a confederation of business groups |
| International organization participation: | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Salvador STADTHAGEN (since 5 December 2003) |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6545 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6570, [1] (202) 939-6573 |
| Diplomatic representation in the US: | chancery: 1627 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation from the US: | chief of mission: Ambassador Barbara Calandra MOORE |
| Diplomatic representation from the US: | embassy: Kilometer 4.5 Carretera Sur, Managua |
| Diplomatic representation from the US: | mailing address: APO AA 34021 |
| Diplomatic representation from the US: | telephone: [505] 266-6010 |
| Diplomatic representation from the US: | FAX: [505] 266-9074 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with the national coat of arms centered in the white band; the coat of arms features a triangle encircled by the words REPUBLICA DE NICARAGUA on the top and AMERICA CENTRAL on the bottom; similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Honduras, which has five blue stars arranged in an X pattern centered in the white band |
