| Government | Honduras |
| --- | --- |
| Country name: | conventional long form: Republic of Honduras |
| Country name: | conventional short form: Honduras |
| Country name: | local short form: Honduras |
| Country name: | local long form: Republica de Honduras |
| Government type: | democratic constitutional republic |
| Capital: | Tegucigalpa |
| Administrative divisions: | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 11 January 1982, effective 20 January 1982; amended 1995 |
| Legal system: | rooted in Roman and Spanish civil law with increasing influence of English common law; recent judicial reforms include abandoning Napoleonic legal codes in favor of the oral adversarial system; accepts ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Ricardo (Joest) MADURO (since 27 January 2002); First Vice President Vicente WILLIAMS Agasse (since 27 January 2002); Second Vice President Armida Villela Maria DE LOPEZ Contreras (since 27 January 2002); Third Vice President Alberto DIAZ Lobo (since 27 January 2002); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ricardo (Joest) MADURO (since 27 January 2002); First Vice President Vicente WILLIAMS Agasse (since 27 January 2002); Second Vice President Armida Villela Maria DE LOPEZ Contreras (since 27 January 2002); Third Vice President Alberto DIAZ Lobo (since 27 January 2002); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by president |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held 25 November 2001 (next to be held 27 November 2005) |
| Executive branch: | election results: Ricardo (Joest) MADURO (PN) elected president - 52.2%, Raphael PINEDA Ponce (PL) 44.3%, others 3.5% |
| Legislative branch: | unicameral National Congress or Congreso Nacional (128 seats; members are elected proportionally to the number of votes their party's presidential candidate receives to serve four-year terms) |
| Legislative branch: | elections: last held 25 November 2001 (next to be held 27 November 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - PN 61, PL 55, PUD 5, PDC 4, PINU-SD 3 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are elected for seven-year terms by the National Congress) |
| Political parties and leaders: | Christian Democratic Party or PDC [Juan Ramon VELAZQUEZ Nassar]; Democratic Unification Party or PUD [Matias FUNES]; Liberal Party or PL [Roberto MICHELETTI Bain]; National Innovation and Unity Party-Social Democratic Party or PINU-SD [Olban F. VALLADARES]; National Party of Honduras or PN [Jose Celin DISCUA Elvir]; United Confederation of Honduran Workers or CUTH |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Federation of Honduran Workers or FUTH |
| International organization participation: | ABEDA, BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, LAES, LAIA (observer), MIGA, MINURSO, NAM, OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mario Miguel CANAHUATI |
| Diplomatic representation in the US: | honorary consulate(s): Atlanta, Boston, Detroit, Jacksonville |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New Orleans, New York, Phoenix, San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 966-9751 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-7702 |
| Diplomatic representation in the US: | chancery: Suite 4-M, 3007 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry Leon PALMER |
| Diplomatic representation from the US: | embassy: Avenida La Paz, Apartado Postal No. 3453, Tegucigalpa |
| Diplomatic representation from the US: | mailing address: American Embassy, APO AA 34022, Tegucigalpa |
| Diplomatic representation from the US: | telephone: [504] 238-5114, 236-9320 |
| Diplomatic representation from the US: | FAX: [504] 236-9037 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with five blue, five-pointed stars arranged in an X pattern centered in the white band; the stars represent the members of the former Federal Republic of Central America - Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua; similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Nicaragua, which features a triangle encircled by the word REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom, centered in the white band |
