| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Honduras |
| Country name: | conventional short form: Honduras |
| Country name: | local long form: Republica de Honduras |
| Country name: | local short form: Honduras |
| Government type: | democratic constitutional republic |
| Capital: | Tegucigalpa |
| Administrative divisions: | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 11 January 1982, effective 20 January 1982; amended 1995 |
| Legal system: | rooted in Roman and Spanish civil law with increasing influence of English common law; recent judicial reforms include abandoning Napoleonic legal codes in favor of the oral adversarial system; accepts ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Carlos Roberto FLORES Facusse (since 27 January 1998); note - the president is both the chief of state and head of government; First Vice President William HANDAL (since NA); Second Vice President Gladys CABALLERO de Arevalo (since NA); Third Vice President Hector Vidal CERRATO Hernandez (since NA) |
| Executive branch: | head of government: President Carlos Roberto FLORES Facusse (since 27 January 1998); note - the president is both the chief of state and head of government; First Vice President William HANDAL (since NA); Second Vice President Gladys CABALLERO de Arevalo (since NA); Third Vice President Hector Vidal CERRATO Hernandez (since NA) |
| Executive branch: | cabinet: Cabinet appointed by president |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held 30 November 1997 (next to be held 25 November 2001) |
| Executive branch: | election results: Carlos Roberto FLORES Facusse elected president; percent of vote - Carlos Roberto FLORES Facusse (PL) 50%, Nora de MELGAR (PN) 40%, other 10% |
| Legislative branch: | unicameral National Congress or Congreso Nacional (128 seats; members are elected proportionally to the number of votes their party's presidential candidate receives to serve four-year terms) |
| Legislative branch: | elections: last held on 30 November 1997 (next to be held 25 November 2001) |
| Legislative branch: | election results: percent of vote by party - PL 46%, PN 38%, PINU-SD 4%, PDC 2%, PUD 2%; seats by party - PL 67, PN 55, PINU-SD 3, PDC 2, PUD 1 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are elected for four-year terms by the National Congress) |
| Political parties and leaders: | Christian Democratic Party or PDC [Efrain DIAZ Arrivillaga, president]; Democratic Unification Party or PUD [Marias FUNES Valladares, president]; Liberal Party or PL [Carlos Roberto FLORES Facusse, president]; National Innovation and Unity Party-Social Democratic Party or PINU-SD [Olban VALLADARES, president]; National Party of Honduras or PN [Carlos URBIZO, president] |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Federation of Honduran Workers or FUTH |
| International organization participation: | BCIE, CACM, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), MINURSO, NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hugo NOE PINO |
| Diplomatic representation in the US: | chancery: Suite 4-M, 3007 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-7702 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-9751 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | honorary consulate(s): Boston, Detroit, and Jacksonville |
| Diplomatic representation from the US: | chief of mission: Ambassador Frank ALMAGUER |
| Diplomatic representation from the US: | embassy: Avenida La Paz, Apartado Postal No. 3453, Tegucigalpa |
| Diplomatic representation from the US: | mailing address: American Embassy, APO AA 34022, Tegucigalpa |
| Diplomatic representation from the US: | telephone: [504] 238-5114, 236-9320 |
| Diplomatic representation from the US: | FAX: [504] 236-9037 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with five blue five-pointed stars arranged in an X pattern centered in the white band; the stars represent the members of the former Federal Republic of Central America - Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua; similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Nicaragua, which features a triangle encircled by the word REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom, centered in the white band |
