| Government | HONDURAS |
| --- | --- |
| Country name: | conventional long form: Republic of Honduras |
| Country name: | conventional short form: Honduras |
| Country name: | local long form: Republica de Honduras |
| Country name: | local short form: Honduras |
| Country name: | etymology: the name means "depths" in Spanish and refers to the deep anchorage in the northern Bay of Trujillo |
| Government type: | presidential republic |
| Capital: | name: Tegucigalpa |
| Capital: | geographic coordinates: 14 06 N, 87 13 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: none scheduled for 2013 |
| Administrative divisions: | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | several previous; latest approved 11 January 1982, effective 20 January 1982; amended many times, last in 2012; note - in 2015, the Honduran Supreme Court struck down several constitutional articles on presidential term limits (2016) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 1 to 3 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Juan Orlando HERNANDEZ Alvarado (since 27 January 2014); Vice Presidents Ricardo ALVAREZ, Rossana GUEVARA, and Lorena HERRERA (since 27 January 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Juan Orlando HERNANDEZ Alvarado (since 27 January 2014); Vice Presidents Ricardo ALVAREZ, Rossana GUEVARA, and Lorena HERRERA (since 27 January 2014) |
| Executive branch: | cabinet: Cabinet appointed by president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a single 4-year term; election last held on 24 November 2013 (next to be held in November 2017) |
| Executive branch: | election results: Juan Orlando HERNANDEZ Alvarado elected president; percent of vote - Juan Orlando HERNANDEZ Alvarado (PNH) 36.9%, Xiomara CASTRO (LIBRE) 28.8%, Mauricio VILLEDA (PL) 20.3%, Salvador NASRALLA (PAC) 13.4%, other 0.6% |
| Legislative branch: | description: unicameral National Congress or Congreso Nacional (128 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 24 November 2013 (next to be held in November 2017) |
| Legislative branch: | election results: percent of vote by party - PNH 33.6%, LIBRE 27.5%, PL 17.0%, PAC 15.2%, PINU 1.9%, UD 1.7%, DC 1.6%, other 1.5%; seats by party - PNH 48, LIBRE 37, PL 27, PAC 13, PINU 1, UD 1, DC 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (15 principal judges - including the court president - and 7 alternates; court organized into civil, criminal, and labor chambers); note - the court has both judicial and constitutional jurisdiction |
| Judicial branch: | judge selection and term of office: court president elected by his peers; judges elected by the National Congress from candidates proposed by the Nominating Board, a diverse 7-member group of judicial officials, other government and non-government officials selected by each of their organizations; judges elected by Congress for renewable, 7-year terms |
| Judicial branch: | subordinate courts: courts of appeal; courts of first instance; peace courts |
| Political parties and leaders: | Anti-Corruption Party or PAC [Salvador NASRALLA] |
| Political parties and leaders: | Christian Democratic Party or DC [Felicito AVILA Ordonez] |
| Political parties and leaders: | Democratic Unification Party or UD [Cesar HAM] |
| Political parties and leaders: | Freedom and Refounding Party or LIBRE [Jose Manuel ZELAYA Rosales] |
| Political parties and leaders: | Liberal Party or PL [Mauricio VILLEDA Bermudez] |
| Political parties and leaders: | National Party of Honduras or PNH [Gladys Aurora LOPEZ] |
| Political parties and leaders: | Social Democratic Innovation and Unity Party or PINU [Jorge Rafael AGUILAR Paredes] |
| Political pressure groups and leaders: | Beverage and Related Industries Syndicate or STIBYS |
| Political pressure groups and leaders: | Committee for the Defense of Human Rights in Honduras or CODEH |
| Political pressure groups and leaders: | Commiittee of the Relatives of the Disappeared in Honduras or COFADEH |
| Political pressure groups and leaders: | Confederation of Honduran Workers or CTH |
| Political pressure groups and leaders: | Coordinating Committee of Popular Organizations or CCOP |
| Political pressure groups and leaders: | General Workers Confederation or CGT |
| Political pressure groups and leaders: | Honduran Council of Private Enterprise or COHEP |
| Political pressure groups and leaders: | National Association of Honduran Campesinos or ANACH |
| Political pressure groups and leaders: | National Union of Campesinos or UNC |
| Political pressure groups and leaders: | Popular Bloc or BP |
| Political pressure groups and leaders: | United Confederation of Honduran Workers or CUTH |
| Political pressure groups and leaders: | United Farm Workers' Movement of the Aguan OR MUCA |
| International organization participation: | BCIE, CACM, CD, CELAC, EITI (candidate country), FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC (suspended), IOM, IPU, ISO (subscriber), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINURSO, MINUSTAH, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO (suspended), WFTU (NGOs), WHO, WIPO, WMO, WTO |
