| Government | BENIN |
| --- | --- |
| Country name: | conventional long form: Republic of Benin |
| Country name: | conventional short form: Benin |
| Country name: | local long form: Republique du Benin |
| Country name: | local short form: Benin |
| Country name: | former: Dahomey |
| Country name: | etymology: named for the Bight of Benin, the body of water on which the country lies |
| Government type: | presidential republic |
| Capital: | name: Porto-Novo (official capital); note - Cotonou (seat of government) |
| Capital: | geographic coordinates: 6 29 N, 2 37 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 departments; Alibori, Atacora, Atlantique, Borgou, Collines, Couffo, Donga, Littoral, Mono, Oueme, Plateau, Zou |
| Independence: | 1 August 1960 (from France) |
| National holiday: | National Day, 1 August (1960) |
| Constitution: | previous 1946, 1958 (preindependence); latest adopted by referendum 2 December 1990, promulgated 11 December 1990 (2016) |
| Legal system: | civil law system modeled largely on the French system and some customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Benin |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Patrice TALON (since 6 April 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Patrice TALON (since 6 April 2016); Prime Minister (vacant) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); last held on 6 March and 20 March 2016 (next to be held in 2021) |
| Executive branch: | election results: Patrice TALON elected president; first round percent of vote - Lionel ZINSOU (FCBE) 28.4%, Patrice TALON (independent) 24.8%, Sebastien AJAVON (independent) 23.0%, Abdoulaye Bio TCHANE (ABT) 8.8%, Pascal KOUPAKI (NC) 5.9%, other 9.1%; second round percent of vote - Patrice TALON 65.4%, Lionel ZINSOU 34.6% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (83 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 26 April 2015 (next to be held in April 2019) |
| Legislative branch: | election results: percent of vote by party - FCBE 30.2%, UN 14.4%, PRD 10.6%, AND 7.6%, RB-RP 7.1%, other 30.1%; seats by party - FCBE 33, UN 13, PRD 10, AND 5, RB-RP 7, other 15 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of the court president and 3 chamber presidents organized into an administrative division, judicial chamber, and chamber of accounts); Constitutional Court or Cour Constitutionnelle (consists of 7 members including the court president); High Court of Justice (consists of the Constitutional Court members, 6 members appointed by the National Assembly, and the Supreme Court president); note - jurisdiction of the High Court of Justice is limited to cases of high treason by the national president or members of the government while in office |
| Judicial branch: | judge selection and term of office: Supreme Court president and judges appointed by the national president upon the advice of the National Assembly; judges appointed for single renewable 5-year terms; Constitutional Court members - 4 appointed by the National Assembly and 3 by the national president; members appointed for single renewable 5-year terms; High Court of Justice "other" members elected by the National Assembly; member tenure NA |
