| Government | Benin |
| --- | --- |
| Country name: | conventional long form: Republic of Benin |
| Country name: | conventional short form: Benin |
| Country name: | local long form: Republique du Benin |
| Country name: | local short form: Benin |
| Country name: | former: Dahomey |
| Government type: | republic |
| Capital: | name: Porto-Novo (official capital) |
| Capital: | geographic coordinates: 6 29 N, 2 37 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Cotonou (seat of government) |
| Administrative divisions: | 12 departments; Alibori, Atakora, Atlantique, Borgou, Collines, Kouffo, Donga, Littoral, Mono, Oueme, Plateau, Zou |
| Independence: | 1 August 1960 (from France) |
| National holiday: | National Day, 1 August (1960) |
| Constitution: | adopted by referendum 2 December 1990 |
| Legal system: | civil law system modeled largely on the French system and some customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Thomas YAYI Boni (since 6 April 2006); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Thomas YAYI Boni (since 6 April 2006); Prime Minister Pascal KOUPAKI (since 28 May 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); last held on 13 March 2011 (next to be held in March 2016) |
| Executive branch: | election results: Thomas YAYI Boni re-elected president; percent of vote - Thomas YAYI Boni 53.1%, Adrien HOUNGBEDJI 35.6%, Abdoulaye Bio TCHANE 6.1%, other 5.2% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (83 seats; members are elected by direct popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 30 April 2011 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FCBE 41, UN 30, other 12 |
| Judicial branch: | Constitutional Court or Cour Constitutionnelle (7 members; 4 appointed by the National Assembly, 3 appointed by the President; appointed for a 5-year term for one term); Supreme Court or Cour Supreme (President of the Supreme Court appointed by the President for a 5-year term); High Court of Justice (composed of members of the Constitutional Court and 6 members appointed by the National Assembly) |
| Political parties and leaders: | African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance for Dynamic Democracy or ADD; Alliance of Progress Forces or AFP; Benin Renaissance or RB [Rosine SOGLO]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Force Cowrie for an Emerging Benin or FCBE; Impulse for Progress and Democracy or IPD [Theophile NATA]; Key Force or FC [Lazare S?HOU?TO]; Movement for the People's Alternative or MAP [Olivier CAPO-CHICHI]; Rally for Democracy and Progress or RDP [Dominique HOUNGNINOU]; Social Democrat Party or PSD [Bruno AMOUSSOU]; Union for Democracy and National Solidarity or UDS [Sacca LAFIA]; Union for the Relief or UPR [Issa SALIFOU] |
| Political parties and leaders: | note: approximately 20 additional minor parties |
| Political pressure groups and leaders: | other: economic groups; environmentalists; political groups; teachers' unions and other educational groups |
| International organization participation: | ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WAEMU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Cyrille Segbe OGUIN |
| Diplomatic representation in the US: | chancery: 2124 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6656 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1996 |
| Diplomatic representation from the US: | chief of mission: Ambassador James A. KNIGHT |
| Diplomatic representation from the US: | embassy: Rue Caporal Bernard Anani, Cotonou |
| Diplomatic representation from the US: | mailing address: 01 B. P. 2012, Cotonou |
| Diplomatic representation from the US: | telephone: [229] 21-30-06-50 |
| Diplomatic representation from the US: | FAX: [229] 21-30-03-84 |
| Flag description: | two equal horizontal bands of yellow (top) and red (bottom) with a vertical green band on the hoist side; green symbolizes hope and revival, yellow wealth, and red courage |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | leopard |
| National anthem: | name: "L'Aube Nouvelle" (The Dawn of a New Day) |
| National anthem: | lyrics/music: Gilbert Jean DAGNON |
| National anthem: | note: adopted 1960 |
