| Government | Benin |
| --- | --- |
| Country name: | conventional long form: Republic of Benin |
| Country name: | conventional short form: Benin |
| Country name: | local long form: Republique du Benin |
| Country name: | local short form: Benin |
| Country name: | former: Dahomey, People's Republic of Benin |
| Country name: | etymology: named for the Bight of Benin, the body of water on which the country lies |
| Government type: | presidential republic |
| Capital: | name: Porto-Novo (constitutional capital); Cotonou (seat of government) |
| Capital: | geographic coordinates: 6 29 N, 2 37 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name Porto-Novo is Portuguese for "new port"; Cotonou means "by the river of death" in the native Fon language |
| Administrative divisions: | 12 departments; Alibori, Atacora, Atlantique, Borgou, Collines, Couffo, Donga, Littoral, Mono, Oueme, Plateau, Zou |
| Independence: | 1 August 1960 (from France) |
| National holiday: | Independence Day, 1 August (1960) |
| Constitution: | history: previous 1946, 1958 (preindependence); latest adopted by referendum 2 December 1990, promulgated 11 December 1990 |
| Constitution: | amendments: proposed concurrently by the president of the republic (after a decision in the Council of Ministers) and the National Assembly; consideration of drafts or proposals requires at least three-fourths majority vote of the Assembly membership; passage requires approval in a referendum unless approved by at least four-fifths majority vote of the Assembly membership; constitutional articles affecting territorial sovereignty, the republican form of government, and secularity of Benin cannot be amended |
| Legal system: | civil law system modeled largely on the French system and some customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Benin |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Patrice TALON (since 6 April 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Patrice TALON (since 6 April 2016); prime minister position abolished |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); last held on 6 March and 20 March 2016 (next to be held in 2021) |
| Executive branch: | election results: Patrice TALON elected president in second round; percent of vote in first round - Lionel ZINSOU (FCBE) 28.4%, Patrice TALON (independent) 24.8%, Sebastien AJAVON (independent) 23.%, Abdoulaye Bio TCHANE (ABT) 8.8%, Pascal KOUPAKI (NC) 5.9%, other 9.1%; percent of vote in second round - Patrice TALON 65.4%, Lionel ZINSOU 34.6% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (83 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 28 April 2019 (next to be held in April 2023) |
| Legislative branch: | election results: percent of vote by party - Union Progressiste 56.2%, Bloc Republicain 43.8%; seats by party - Union Progressiste 47, Bloc Republicain 36; composition - men 77, women 6, percent of women 7.2% |
