| Government | Georgia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Country name: | local long form: none |
| Government type: | republic |
| Capital: | Tbilisi |
| Administrative divisions: | 9 regions, (mkharebi, singular - mkhare), 9 cities* (k'alak'ebi, singular - k'alak'i), and 2 autonomous republics** (avtomnoy respubliki, singular - avtom respublika); Abkhazia or Ap'khazet'is Avtonomiuri Respublika** (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika** (Bat'umi), Chiat'ura*, Gori*, Guria, Imereti, Kakheti, K'ut'aisi*, Kvemo Kartli, Mtskheta-Mtianeti, P'ot'i*, Racha-Lechkhumi and Kvemo Svaneti, Rust'avi*, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli, T'bilisi*, Tqibuli*, Tsqaltubo*, Zugdidi* |
| Administrative divisions: | note: the administrative centers of the 2 autonomous republics are shown in parentheses |
| Independence: | 9 April 1991 (from Soviet Union) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 is the date of independence from Soviet Russia, 9 April 1991 is the date of independence from the Soviet Union |
| Constitution: | adopted 17 October 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Eduard Amvrosiyevich SHEVARDNADZE (previously elected chairman of the Government Council 10 March 1992; Council has since been disbanded; previously elected chairman of Parliament 11 October 1992; president since 26 November 1995); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Eduard Amvrosiyevich SHEVARDNADZE (previously elected chairman of the Government Council 10 March 1992; Council has since been disbanded; previously elected chairman of Parliament 11 October 1992; president since 26 November 1995); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | election results: Eduard SHEVARDNADZE reelected president; percent of vote - Eduard SHEVARDNADZE 80% |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 9 April 2000 (next to be held NA 2005) |
| Legislative branch: | unicameral Supreme Council (commonly referred to as Parliament) or Umaghiesi Sabcho (235 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - CUG 41.85%, AGUR 25.65%, IWSG 7.8%, all other parties received less than 7% each; seats by party - CUG 130, AGUR 58, IWSG 15, Abkhaz (government-in-exile) deputies 12, independents 17, other 3 |
| Legislative branch: | elections: last held 31 October and 14 November 1999 (next to be held NA 2003) |
| Judicial branch: | Supreme Court (judges elected by the Supreme Council on the president's recommendation); Constitutional Court |
| Political parties and leaders: | Citizen's Union of Georgia or CUG [Zarab ZHVANIA]; Georgian People's Front [Nodar NATADZE]; Georgian United Communist Party or UCPG [Panteleimon GIORGADZE]; Greens [Giorgi GACHECHILADZE]; Industry Will Save Georgia or IWSG [Georgi TOPADZE]; Labor Party [Salva NATELASHVILI]; National Democratic Party or NDP [Irina SARISHVILI-CHANTURIA]; New National Movement [Mikheil SAAKASHVILI]; New Rightists [Levaii GACHECHILADZE]; Republican Party [David BERDZENISHVILI]; "Revival" Union Party or AGUR [Alsan ABASHIDZE]; Socialist Party or SPG [Irakli MINDELI]; Traditionalists [Akaki ASATIANI] |
| Political pressure groups and leaders: | Georgian independent deputies from Abkhazia (Abkhaz faction in Georgian Parliament); separatist elements in the breakaway region of Abkhazia; supporters of the late ousted President Zviad GAMSAKHURDYA remain a source of opposition |
| International organization participation: | BSEC, CCC, CE, CIS, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICFTU, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Levan MIKELADZE |
| Diplomatic representation in the US: | chancery: Suite 300, 1615 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | FAX: [1] (202) 393-6060 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-2390 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard MILES |
| Diplomatic representation from the US: | embassy: #25 Atoneli Street, T'bilisi 380026 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [995] (32) 989-967/68 |
| Diplomatic representation from the US: | FAX: [995] (32) 933-759 |
| Flag description: | maroon field with small rectangle in upper hoist side corner; rectangle divided horizontally with black on top, white below |
