| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | 27 June 2010 |
| Legal system: | based on French and Russian laws; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Roza OTUNBAEVA (since 19 May 2010); note - OTUNBAEVA became acting president on 7 April 2010 following the early April 2010 riots that overthrew President Kurmanbek BAKIEV; she was appointed president through 31 December 2011 by a 19 May 2010 decree of the provisional government, which also prohibited her from running in the next presidential election; she was officially sworn in on 3 July 2010 |
| Executive branch: | head of government: Prime Minister Almazbek ATAMBAEV (since 17 December 2010); First Deputy Prime Minister - Omurbek BABANOV (since 17 December 2010); Deputy Prime Ministers - Shamil ATAKHANOV, Ibragim JUNUSOV, Jantoro SATYBALDIEV (since 17 December 2010) |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister, appointed by the president; ministers in charge of defense and security, are appointed solely by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: Kurmanbek BAKIEV reelected by popular vote for a five-year term; election last held on 23 July 2009 (next scheduled for 2011); prime minister nominated by the parliamentary party holding more than 50% of the seats; if no such party exists, the president selects the party that will form a coalition majority and government |
| Executive branch: | election results: Kurmanbek BAKIEV elected president; percent of vote - Kurmanbek BAKIEV 76.1%, Almaz ATAMBAEV 8.4%, Temir SARIEV 6.7%, other candidates 8.8% |
| Legislative branch: | unicameral Supreme Council or Jogorku Kengesh (120 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 10 October 2007 (next to be held in 2015) |
| Legislative branch: | election results: Supreme Council - percent of vote by party - NA; seats by party - Ata-Jurt 28, SDPK 26, Ar-Namys 25, Respublika 23, Ata-Meken 18 |
| Judicial branch: | Supreme Court; Constitutional Court (judges of both the Supreme and Constitutional Courts are appointed for 10-year terms by the Jogorku Kengesh on the recommendation of the president; their mandatory retirement age is 70 years); Higher Court of Arbitration; Local Courts (judges appointed by the president on the recommendation of the National Council on Legal Affairs for a probationary period of five years, then 10 years) |
| Political parties and leaders: | Ar-Namys (Dignity) Party [Feliks KULOV]; Ata-Jurt (Homeland) [Kamchybek TASHIEV, Akhmat KELDIBEKOV]; Ata-Meken (Fatherland) [Omurbek TEKEBAEV]; Butun Kyrgyzstan (All Kyrgyzstan) [Adakhan MADUMAROV, Miroslav NIYAZOV]; Respublika [Omurbek BABANOV]; Social-Democratic Party of Kyrgyzstan (SDPK) [Almazbek ATAMBAEV] |
| Political pressure groups and leaders: | Adilet Legal Clinic [Cholpon JAKUPOVA]; Coalition for Democracy and Civil Society [Dinara OSHURAKHUNOVA]; Interbilim [Asiya SASYKBAEVA] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mukhtar JUMALIEV |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 449-9822 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-7550 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Tatiana GFOELLER |
| Diplomatic representation from the US: | embassy: 171 Prospect Mira, Bishkek 720016 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [996] (312) 551-241, (517) 777-217 |
| Diplomatic representation from the US: | FAX: [996] (312) 551-264 |
| Flag description: | red field with a yellow sun in the center having 40 rays representing the 40 Kyrgyz tribes; on the obverse side the rays run counterclockwise, on the reverse, clockwise; in the center of the sun is a red ring crossed by two sets of three lines, a stylized representation of a "tunduk" - the crown of a traditional Kyrgyz yurt; red symbolizes bravery and valor, the sun evinces peace and wealth |
| National anthem: | name: "Kyrgyz Respublikasynyn Mamlekettik Gimni" (National Anthem of the Kyrgyz Republic) |
| National anthem: | lyrics/music: Djamil SADYKOV and Eshmambet KULUEV/Nasyr DAVLESOV and Kalyi MOLDOBASANOV |
| National anthem: | note: adopted 1992 |
