| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | 27 June 2010 |
| Legal system: | civil law system which includes features of French civil law and Russian Federation laws |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Almazbek ATAMBAEV (since 1 December 2011) |
| Executive branch: | head of government: Prime Minister Jantoro SATYBALDIEV (since 5 September 2012); First Deputy Prime Minister - Joomart OTORBAEV (since 5 September 2012); Deputy Prime Ministers - Tayyrbek SARPASHEV and Kamila TALIEVA (since 5 September 2012) |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister, appointed by the president; ministers in charge of defense and security are appointed solely by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held on 30 October 2011 (next scheduled for 2017); prime minister nominated by the parliamentary party holding more than 50% of the seats; if no such party exists, the president selects the party that will form a coalition majority and government |
| Executive branch: | election results: Almazbek ATAMBAEV elected president; percent of vote - Almazbek ATAMBAEV 63.2%, Adakhan MADUMAROV 14.7%, Kamchybek TASHIEV 14.3%, other 7.8%; Jantoro SATYBALDIEV elected prime minister; parliamentary vote - 111-2 |
| Legislative branch: | unicameral Supreme Council or Jogorku Kengesh (120 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 10 October 2010 (next to be held in 2015) |
| Legislative branch: | election results: Supreme Council - percent of vote by party - NA; seats by party - Ata-Jurt 28, SDPK 26, Ar-Namys 25, Respublika 23, Ata-Meken 18 |
| Judicial branch: | Supreme Court; Constitutional Court (judges of both the Supreme and Constitutional Courts are appointed for 10-year terms by the Jogorku Kengesh on the recommendation of the president; their mandatory retirement age is 70 years); Higher Court of Arbitration; Local Courts (judges appointed by the president on the recommendation of the National Council on Legal Affairs for a probationary period of five years, then 10 years) |
| Political parties and leaders: | Ar-Namys (Dignity) Party [Feliks KULOV]; Ata-Jurt (Homeland) [Kamchybek TASHIEV, Akhmat KELDIBEKOV]; Ata-Meken (Fatherland) [Omurbek TEKEBAEV]; Butun Kyrgyzstan (All Kyrgyzstan) [Adakhan MADUMAROV]; Respublika [Omurbek BABANOV]; Social-Democratic Party of Kyrgyzstan (SDPK) [Almazbek ATAMBAEV] |
| Political pressure groups and leaders: | Adilet (Justice) Legal Clinic [Cholpon JAKUPOVA]; Citizens Against Corruption [Tolekan ISMAILOVA]; Coalition for Democracy and Civil Society [Dinara OSHURAKHUNOVA]; Kylym Shamy (Torch of the Century) [Aziza ABDIRASULOVA]; Precedent Partnership Group [Nurbek TOKTAKUNOV]; Societal Analysis Public Association [Rita KARASARTOVA]; Union of True Muslims [Nurlan MOTUEV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNISFA, UNMIL, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mukhtar JUMALIEV |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 449-9822 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-7550 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela SPRATLEN |
| Diplomatic representation from the US: | embassy: 171 Prospect Mira, Bishkek 720016 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [996] (312) 551-241, (517) 777-217 |
| Diplomatic representation from the US: | FAX: [996] (312) 551-264 |
| Flag description: | red field with a yellow sun in the center having 40 rays representing the 40 Kyrgyz tribes; on the obverse side the rays run counterclockwise, on the reverse, clockwise; in the center of the sun is a red ring crossed by two sets of three lines, a stylized representation of a "tunduk" - the crown of a traditional Kyrgyz yurt; red symbolizes bravery and valor, the sun evinces peace and wealth |
| National symbol(s): | gyrfalcon |
| National anthem: | name: "Kyrgyz Respublikasynyn Mamlekettik Gimni" (National Anthem of the Kyrgyz Republic) |
| National anthem: | lyrics/music: Djamil SADYKOV and Eshmambet KULUEV/Nasyr DAVLESOV and Kalyi MOLDOBASANOV |
| National anthem: | note: adopted 1992 |
