| Government | KYRGYZSTAN |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Country name: | etymology: a combination of the Turkic words "kyrg" (forty) and "-yz" (tribes) with the Persian suffix "-stan" (country) creating the meaning "Land of the forty tribes"; the name refers to the forty clans united by the legendary Kyrgyz hero, MANAS |
| Government type: | parliamentary republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces (oblustar, singular - oblus) and 2 cities* (shaarlar, singular - shaar); Batken Oblusu, Bishkek Shaary*, Chuy Oblusu (Bishkek), Jalal-Abad Oblusu, Naryn Oblusu, Osh Oblusu, Osh Shaary*, Talas Oblusu, Ysyk-Kol Oblusu (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | previous 1993; latest adopted 27 June 2010, effective 2 July 2010 (2016) |
| Legal system: | civil law system which includes features of French civil law and Russian Federation laws |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Kyrgyzstan |
| Citizenship: | dual citizenship recognized: yes, but only if a mutual treaty on dual citizenship is in force |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Almazbek ATAMBAEV (since 1 December 2011) |
| Executive branch: | head of government: Prime Minister Sooronbay JEENBEKOV (since 13 April 2016) |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister, appointed by the president; defense and security committee chairs appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a single 6-year term; election last held on 30 October 2011 (next to be held in 2017); prime minister nominated by the majority party or majority coalition in the Supreme Council, appointed by the president |
| Executive branch: | election results: Almazbek ATAMBAEV elected president; percent of vote - Almazbek ATAMBAEV (SDPK) 63.2%, Adakhan MADUMAROV (All Kyrgyzstan) 14.7%, Kamchybek TASHIEV (Homeland) 14.3%, other 7.8%; Sooronbay JEENBEKOV elected prime minister; Supreme Council vote - 115 to 0 |
| Legislative branch: | description: unicameral Supreme Council or Jogorku Kengesh (120 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 4 October 2015 (next to be held in 2020) |
| Legislative branch: | election results: Supreme Council - percent of vote by party - SDPK 27.4%, Respublika-Ata-Jurt 20.1%, Kyrgyzstan Party 12.9%, Onuguu-Progress 9.3%, Bir Bol 8.5%, Ata-Meken 7.8%, other 14%; seats by party - SDPK 38, Respublika-Ata-Jurt 28, Kyrgyzstan Party 18, Onuguu-Progress 13, Bir Bol 12, Ata-Meken 11 |
| Judicial branch: | highest court(s): Supreme Court (consists of 25 judges); Constitutional Chamber of the Supreme Court (consists of the chairperson, deputy chairperson, and 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Court judges appointed by the Supreme Council on the recommendation of the president; Supreme Court judges serve for 10 years, Constitutional Court judges serve for 15 years; mandatory retirement at age 70 for judges of both courts |
| Judicial branch: | subordinate courts: Higher Court of Arbitration; oblast (provincial) and city courts |
| Political parties and leaders: | Ata-Jurt-Respublika (Homeland-Republic) [Omurbek BABANOV, Kamchybek TASHIEV] |
| Political parties and leaders: | Ata-Meken (Fatherland) [Omurbek TEKEBAEV] |
| Political parties and leaders: | Bir Bol (Stay United) [Altynbek SULAIMANOV] |
| Political parties and leaders: | Kyrgyzstan Party [Kanatbek ISAEV, Kanybek IMANALIEV] |
| Political parties and leaders: | Onuguu-Progress [Bakyt TOROBAEV] |
| Political parties and leaders: | Social-Democratic Party of Kyrgyzstan or SDPK [Almazbek ATAMBAEV] |
| Political pressure groups and leaders: | Adilet (Justice) Legal Clinic [Cholpon JAKUPOVA] |
| Political pressure groups and leaders: | Citizens Against Corruption [Tolekan ISMAILOVA] |
| Political pressure groups and leaders: | Coalition for Democracy and Civil Society [Dinara OSHURAKHUNOVA] |
| Political pressure groups and leaders: | Kylym Shamy (Torch of the Century) [Aziza ABDIRASULOVA] |
| Political pressure groups and leaders: | Precedent Partnership Group [Nurbek TOKTAKUNOV] |
| Political pressure groups and leaders: | Societal Analysis Public Association [Rita KARASARTOVA] |
| Political pressure groups and leaders: | Union of True Muslims [Nurlan MOTUEV] |
