| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | adopted 5 May 1993; note - amendment proposed by President Askar AKAYEV and passed in a national referendum on 2 February 2003 significantly expanded the powers of the president at the expense of the legislature; during large-scale demonstrations in November 2006, President BAKIYEV and the opposition negotiated a new constitution granting greater powers to the parliament and the government; amendments added on 30 December 2006 redistributed some power back to the president |
| Legal system: | based on French and Russian laws; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Kurmanbek BAKIYEV (since 14 August 2005) |
| Executive branch: | head of government: Acting Prime Minister Iskenderbek AYDARALIYEV (since 28 November 2007); First Deputy Prime Minister Daniyar USENOV (since 10 May 2006) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president on the recommendation of the prime minister; note - following legislative elections under the constitution, the legislature will propose and the president appoint the prime minister, and the prime minister will propose and the president appoint members of the Cabinet, except for ministers in charge of defense and security, who will be appointed solely by the president |
| Executive branch: | elections: Kurmanbek BAKIYEV elected by popular vote for a five-year term (eligible for a second term); election last held 10 July 2005 (next scheduled for 16 December 2007); prime minister nominated by the president for approval by Parliament; note - the constitution calls for the legislature to propose and the president to appoint the prime minister after legislative elections, currently scheduled for 16 December 2007 |
| Executive branch: | election results: Kurmanbek BAKIYEV elected president; percent of vote - Kurmanbek BAKIYEV 88.6%, Tursunbai BAKIR-UULU 3.9%, other candidates 7.5% |
| Legislative branch: | unicameral Supreme Council or Jorgorku Kenesh (75 seats; members are elected by popular vote to serve five-year terms); note - the December 2006 constitution calls for 90 seats |
| Legislative branch: | elections: elections for the new unicameral body or Jorgorku Kenesh were held 27 February 2005, but the vast majority of positions remained undecided and were contested in a runoff election on 13 March 2005; election irregularities caused widespread protests that resulted in the president being forced to flee the country |
| Legislative branch: | election results: Supreme Council - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | Supreme Court; Constitutional Court (judges of both the Supreme and Constitutional Courts are appointed for 10-year terms by the Jorgorku Kenesh on the recommendation of the president; their age limit is 70 years); Higher Court of Arbitration; Local Courts (judges appointed by the president on the recommendation of the National Council on Legal Affairs for a probationary period of five years, then 10 years) |
| Political parties and leaders: | Ar-Namys (Dignity) Party [Emil ALIYEV]; Asaba (Banner National Revival Party) [Azimbek BEKNAZAROV, Roza OTUNBAYEVA]; Ata-Meken (Fatherland) [Omurbek TEKEBAYEV]; Democratic Movement of Kyrgyzstan or DDK [Viktor TCHETRNOMORETS]; Erkindik (Freedom) Party [Topchubek TURGUNALIYEV]; Moya Strana (My Country Party of Action) [Medet SADYRKULOV]; Party of Communists of Kyrgyzstan or KCP [Ishak MASALIYEV]; Party of Justice and Progress [Muratbek IMANALIEV]; Party of Peasants [Esengul ISAKOV]; Republican Party of Labor and Unity [Tabaldy OROZALIYEV]; Sanjira (Tree of Life) [Ednan KARABAYEV]; Social Democratic Party [Almaz ATAMBAYEV]; Sodruzhestvo (Cooperation) [Vladimir NIFADYEV, Samat BORUBAYEV]; Union of Democratic Forces [Kubatbek BAIBOLOV] |
| Political pressure groups and leaders: | Adilet Legal Clinic [Cholpon JAKUPOVA]; Coalition for Democracy and Civil Society; For Reforms [Omurbek TEKEBAYEV, Almazbek ATAMBAYEV]; Interbilim [Asiya SASYKBAYEVA] |
| International organization participation: | AsDB, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zamira SYDYKOVA |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-5141 |
