| Government | KYRGYZSTAN |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces (oblustar, singular - oblus) and 2 cities* (shaarlar, singular - shaar); Batken Oblusu, Bishkek Shaary*, Chuy Oblusu (Bishkek), Jalal-Abad Oblusu, Naryn Oblusu, Osh Oblusu, Osh Shaary*, Talas Oblusu, Ysyk-Kol Oblusu (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | previous 1993; latest adopted 27 June 2010, effective 2 July 2010 (2010) |
| Legal system: | civil law system which includes features of French civil law and Russian Federation laws |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Almazbek ATAMBAEV (since 1 December 2011) |
| Executive branch: | head of government: Prime Minister Temir SARIYEV (since 1 May 2015); First Deputy Prime Minister Tayyrbek SARPASHEV (since 2 April 2014); Deputy Prime Ministers Valeriy DIL (since 2 April 2014), Abdyrakhman MAMATALIEV (since 2 April 2014), Damira NIYAZALIEVA (since 26 December 2014) |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister, appointed by the president; defense and security ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a single 6-year term; election last held on 30 October 2011 (next to be held in 2017); prime minister nominated by the majority party or majority coalition in the Supreme Council, appointed by the president |
| Executive branch: | election results: Almazbek ATAMBAEV elected president; percent of vote - Almazbek ATAMBAEV (SDPK) 63.2%, Adakhan MADUMAROV (All Kyrgyzstan) 14.7%, Kamchybek TASHIEV (Homeland) 14.3%, other 7.8%; Temir SARIYEV elected prime minister; Supreme Council vote - 97 to 2 |
| Legislative branch: | description: unicameral Supreme Council or Jogorku Kengesh (120 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 10 October 2010 (next to be held in 2015) |
| Legislative branch: | election results: Supreme Council - percent of vote by party - NA; seats by party - Ata-Jurt 28, SDPK 26, Ar-Namys 25, Respublika 23, Ata-Meken 18 |
| Judicial branch: | highest court(s): Supreme Court (consists of 25 judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Court judges appointed by the Supreme Council on the recommendation of the president; Supreme Court judges serve for 10 years, Constitutional Court judges serve for 15 years; mandatory retirement at age 70 for judges of both courts |
| Judicial branch: | subordinate courts: Higher Court of Arbitration; oblast (provincial) and city courts |
| Political parties and leaders: | Ar-Namys (Dignity) Party [Feliks KULOV] |
| Political parties and leaders: | Ata-Jurt (Homeland) [Kamchybek TASHIEV, Akhmat KELDIBEKOV, Sadyr JAPAROV] |
| Political parties and leaders: | Ata-Meken (Fatherland) [Omurbek TEKEBAEV] |
| Political parties and leaders: | Butun Kyrgyzstan (All Kyrgyzstan) [Adakhan MADUMAROV] |
| Political parties and leaders: | Respublika [Omurbek BABANOV] |
| Political parties and leaders: | Social-Democratic Party of Kyrgyzstan (SDPK) [Almazbek ATAMBAEV] |
| Political pressure groups and leaders: | Adilet (Justice) Legal Clinic [Cholpon JAKUPOVA] |
| Political pressure groups and leaders: | Citizens Against Corruption [Tolekan ISMAILOVA] |
| Political pressure groups and leaders: | Coalition for Democracy and Civil Society [Dinara OSHURAKHUNOVA] |
| Political pressure groups and leaders: | Kylym Shamy (Torch of the Century) [Aziza ABDIRASULOVA] |
| Political pressure groups and leaders: | Precedent Partnership Group [Nurbek TOKTAKUNOV] |
| Political pressure groups and leaders: | Societal Analysis Public Association [Rita KARASARTOVA] |
| Political pressure groups and leaders: | Union of True Muslims [Nurlan MOTUEV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMIL, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Kadyr TOKTOGULOV (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
