| Government | Niger |
| --- | --- |
| Country name: | conventional long form: Republic of Niger |
| Country name: | conventional short form: Niger |
| Country name: | local long form: Republique du Niger |
| Country name: | local short form: Niger |
| Government type: | republic |
| Capital: | name: Niamey |
| Capital: | geographic coordinates: 13 31 N, 2 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region) includes 1 capital district* (communite urbaine); Agadez, Diffa, Dosso, Maradi, Niamey*, Tahoua, Tillaberi, Zinder |
| Independence: | 3 August 1960 (from France) |
| National holiday: | Republic Day, 18 December (1958); note - commemorates the founding of the Republic of Niger which predated independence from France in 1960 |
| Constitution: | several previous; passed by referendum 31 October 2010, entered into force 25 November 2010 (2014) |
| Legal system: | mixed legal system of civil law (based on French civil law), Islamic law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President ISSOUFOU Mahamadou (since 7 April 2011) |
| Executive branch: | head of government: Prime Minister Brigi RAFINI (since 7 April 2011); appointed by the president and shares some executive responsibilities with the president |
| Executive branch: | cabinet: 37-member Cabinet appointed by the president; note - in August 2013, the president authorized a cabinet reshuffle and increased its membership to 37 from 26 in order to create a government of national unity |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); candidate must receive a majority of the votes to be elected president; a presidential election to restore civilian rule was held on 31 January 2011 with a runoff election on 12 March 2011 between ISSOUFOU Mahamadou (PNDS-Tarayya) and Seini OUMAROU (MNSD-Nassara) |
| Executive branch: | election results: ISSOUFOU Mahamadou elected president; percent of vote - ISSOUFOU Mahamadou 58%, Seini OUMAROU 42% |
| Legislative branch: | unicameral National Assembly (113 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 31 January 2011 |
| Legislative branch: | election results: percent of vote by party - PNDS-Tarrayya 33%, MNSD-Nassara 21%, MODEN/FA-Lumana 20%, ANDP-Zaman Lahiya 7.5%, RDP-Jama'a 6.5%, UDR-Tabbat 5.4%, CDS-Rahama 3.3%, UNI 1%; seats by party - PNDS-Tarrayya 37, MNSD-Nassara 26, MODEN/FA-Lumana 25, ANDP-Zaman Lahiya 8, RDP-Jama'a 7, UDR-Tabbat 6, CDS-Rahama 3, UNI 1 |
| Judicial branch: | highest court(s): Constitutional Court (consists of 7 judges); High Court of Justice (consists of 7 members) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges nominated/elected - 1 by the president of the Republic, 1 by the president of the National Assembly, 2 by peer judges, 2 by peer lawyers, 1 law professor by peers, and 1 from within Nigerien society; all appointed by the president; judges serve 6-year nonrenewable terms with one-third of membership renewed every 2 years; High Judicial Court members selected from among the legislature and judiciary; members serve 5-year terms |
| Judicial branch: | subordinate courts: Court of Cassation; Council of State; Court of Finances; various specialized tribunals and customary courts |
| Political parties and leaders: | Democratic and Social Convention-Rahama or CDS-Rahama [Mahamane OUSMANE] |
