| Government | Saint Vincent and the Grenadines |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Saint Vincent and the Grenadines |
| Country name: | etymology: Saint Vincent was named by explorer Christopher COLUMBUS after Saint VINCENT of Saragossa because the 22 January 1498 day of discovery was the saint's feast day |
| Government type: | parliamentary democracy under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Kingstown |
| Capital: | geographic coordinates: 13 08 N, 61 13 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: an earlier French settlement was renamed Kingstown by the British in 1763 when they assumed control of the island; the king referred to in the name is George III (r. 1760-1820) |
| Administrative divisions: | 6 parishes; Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick |
| Independence: | 27 October 1979 (from the UK) |
| National holiday: | Independence Day, 27 October (1979) |
| Constitution: | history: previous 1969, 1975; latest drafted 26 July 1979, effective 27 October 1979 (The Saint Vincent Constitution Order 1979) |
| Constitution: | amendments: proposed by the House of Assembly; passage requires at least two-thirds majority vote of the Assembly membership and assent of the governor general; passage of amendments to constitutional sections on fundamental rights and freedoms, citizen protections, various government functions and authorities, and constitutional amendment procedures requires approval by the Assembly membership, approval in a referendum of at least two thirds of the votes cast, and assent of the governor general |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Saint Vincent and the Grenadines |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Susan DOUGAN (sinceÂ 1 August 2019) |
| Executive branch: | head of government: Prime Minister Ralph E. GONSALVES (since 29 March 2001) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general on the advice of the prime minister |
| Legislative branch: | description: unicameral House of Assembly (23 seats; 15 representatives directly elected in single-seat constituencies by simple majority vote, 6 senators appointed by the governor general, and 2 ex officio members - the speaker of the house and the attorney general; members serve 5-year terms) |
| Legislative branch: | elections: last held on 5 November 2020 (next to be held in 2025) |
| Legislative branch: | election results: percent of vote by party - ULP 49.58%, NDP 50.34%, other 0.8%; seats by party - ULP 9, NDP 6 |
| Judicial branch: | highest courts: the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC - headquartered on St. Lucia - consists of the Court of Appeal - headed by the chief justice and 4 judges - and the High Court with 18 judges; the Court of Appeal is itinerant, traveling to member states on a schedule to hear appeals from the High Court and subordinate courts; High Court judges reside in the member states, with 2 assigned to Saint Vincent and the Grenadines; note - Saint Vincent and the Grenadines is also a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: chief justice of Eastern Caribbean Supreme Court appointed by Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission, an independent body of judicial officials; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: magistrates' courts |
| Political parties and leaders: | Democratic Republican Party or DRP [Anesia BAPTISTE] |
| Political parties and leaders: | New Democratic Party or NDP [Godwin L. FRIDAY] |
| Political parties and leaders: | Unity Labor Party or ULP [Dr. Ralph GONSALVES] (formed in 1994 by the coalition of Saint Vincent Labor Party or SVLP and the Movement for National Unity or MNU) |
| Political parties and leaders: | SVG Green Party or SVGP [Ivan O'NEAL] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, MIGA, NAM, OAS, OECS, OPANAL, OPCW, Petrocaribe, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU (NGOs), WHO, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Lou-Anne Gaylene GILCHRIST (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 1627 K Street, NW, Suite 1202, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6730 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Vincent and the Grenadines; the US Ambassador to Barbados is accredited to Saint Vincent and the Grenadines |
| Flag description: | three vertical bands of blue (hoist side), gold (double width), and green; the gold band bears three green diamonds arranged in a V pattern, which stands for Vincent; the diamonds recall the islands as "the Gems of the Antilles" and are set slightly lowered in the gold band to reflect the nation's position in the Antilles; blue conveys the colors of a tropical sky and crystal waters, yellow signifies the golden Grenadine sands, and green represents lush vegetation |
| National symbol(s): | Saint Vincent parrot; national colors: blue, gold, green |
| National anthem: | name: St. Vincent! Land So Beautiful! |
| National anthem: | lyrics/music: Phyllis Joyce MCCLEAN PUNNETT/Joel Bertram MIGUEL |
| National anthem: | note: adopted 1967 |
