| Government | Saint Vincent and the Grenadines |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Saint Vincent and the Grenadines |
| Government type: | parliamentary democracy |
| Capital: | name: Kingstown |
| Capital: | geographic coordinates: 13 09 N, 61 14 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 parishes; Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick |
| Independence: | 27 October 1979 (from UK) |
| National holiday: | Independence Day, 27 October (1979) |
| Constitution: | 27 October 1979 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Sir Fredrick Nathaniel BALLANTYNE (since 2 September 2002) |
| Executive branch: | head of government: Prime Minister Ralph E. GONSALVES (since 29 March 2001) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections: none; the monarch is hereditary; the governor general is appointed by the monarch; following legislative elections, the leader of the majority party is usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general on the advice of the prime minister |
| Legislative branch: | unicameral House of Assembly (21 seats, 15 elected representatives and 6 appointed senators; representatives are elected by popular vote from single-member constituencies to serve five-year terms) |
| Legislative branch: | elections: last held 7 December 2005 (next to be held 2010) |
| Legislative branch: | election results: percent of vote by party - ULP 55.26%, NDP 44.68%; seats by party - ULP 12, NDP 3 |
| Judicial branch: | Eastern Caribbean Supreme Court (based on Saint Lucia; one judge of the Supreme Court resides in Saint Vincent and the Grenadines) |
| Political parties and leaders: | New Democratic Party or NDP [Arnhim EUSTACE]; Unity Labor Party or ULP [Ralph GONSALVES] (formed by the coalition of Saint Vincent Labor Party or SVLP and the Movement for National Unity or MNU) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, MIGA, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ellsworth I. A. JOHN |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6736 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Vincent and the Grenadines; the US Ambassador to Barbados is accredited to Saint Vincent and the Grenadines |
| Flag description: | three vertical bands of blue (hoist side), gold (double width), and green; the gold band bears three green diamonds arranged in a V pattern |
