| Government | Dominican Republic |
| --- | --- |
| Country name: | conventional long form: Dominican Republic |
| Country name: | conventional short form: The Dominican |
| Country name: | local long form: Republica Dominicana |
| Country name: | local short form: La Dominicana |
| Government type: | representative democracy |
| Capital: | Santo Domingo |
| Administrative divisions: | 31 provinces (provincias, singular - provincia) and 1 district* (distrito); Azua, Baoruco, Barahona, Dajabon, Distrito Nacional*, Duarte, Elias Pina, El Seibo, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanchez, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, Sanchez Ramirez, San Cristobal, San Jose de Ocoa, San Juan, San Pedro de Macoris, Santiago, Santiago Rodriguez, Santo Domingo, Valverde |
| Independence: | 27 February 1844 (from Haiti) |
| National holiday: | Independence Day, 27 February (1844) |
| Constitution: | 28 November 1966; amended 25 July 2002 |
| Legal system: | based on French civil codes; undergoing modification in 2004 towards an accusatory system |
| Suffrage: | 18 years of age, universal and compulsory; married persons regardless of age |
| Suffrage: | note: members of the armed forces and national police cannot vote |
| Executive branch: | chief of state: President Leonel FERNANDEZ Reyna (since 16 August 2004); Vice President Rafael ALBURQUERQUE de Castro (since 16 August 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Leonel FERNANDEZ Reyna (since 16 August 2004); Vice President Rafael ALBURQUERQUE de Castro (since 16 August 2004); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet nominated by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held 16 May 2004 (next to be held in May 2008) |
| Executive branch: | election results: Leonel FERNANDEZ elected president; percent of vote - Leonel FERNANDEZ (PLD) 57.1%, Rafael Hipolito MEJIA Dominguez (PRD) 33.7%, Eduardo ESTRELLA (PRSC) 8.7% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate or Senado (32 seats; members are elected by popular vote to serve four-year terms) and the Chamber of Deputies or Camara de Diputados (150 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 16 May 2002 (next to be held May 2006); Chamber of Deputies - last held 16 May 2002 (next to be held May 2006) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - PRD 29, PLD 2, PRSC 1; Chamber of Deputies - percent of vote by party - NA%; seats by party - PRD 73, PLD 41, PRSC 36 |
| Judicial branch: | Supreme Court or Corte Suprema (judges are appointed by a the National Judicial Council comprised of the President, the leaders of both chambers of congress, the President of the Supreme Court, and an opposition or non-governing party member) |
| Political parties and leaders: | Dominican Liberation Party or PLD [Leonel FERNANDEZ Reyna]; Dominican Revolutionary Party or PRD [Vicente Sanchez BARET]; Social Christian Reformist Party or PRSC [Enrique ATUN] |
| Political pressure groups and leaders: | Collective of Popular Organizations or COP; Citizen Participation Group (Participacion Ciudadania); Foundation for Institution-Building (FINJUS) |
| International organization participation: | ACP, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, LAES, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador-designate Flavio Dario Espinal JACOBO |
| Diplomatic representation in the US: | chancery: 1715 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6280 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-8057 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Mayaguez (Puerto Rico), Miami, New Orleans, New York, Philadelphia, and San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador Hans H. HERTELL |
| Diplomatic representation from the US: | embassy: corner of Calle Cesar Nicolas Penson and Calle Leopoldo Navarro, Santo Domingo |
| Diplomatic representation from the US: | mailing address: Unit 5500, APO AA 34041-5500 |
| Diplomatic representation from the US: | telephone: [1] (809) 221-2171 |
| Diplomatic representation from the US: | FAX: [1] (809) 686-7437 |
| Flag description: | a centered white cross that extends to the edges divides the flag into four rectangles - the top ones are blue (hoist side) and red, and the bottom ones are red (hoist side) and blue; a small coat of arms featuring a shield supported by an olive branch (left) and a palm branch (right) is at the center of the cross; above the shield a blue ribbon displays the motto, DIOS, PATRIA, LIBERTAD (God, Fatherland, Liberty), and below the shield, REPUBLICA DOMINICANA appears on a red ribbon |
