| Government | Belarus |
| --- | --- |
| Country name: | conventional long form: Republic of Belarus |
| Country name: | conventional short form: Belarus |
| Country name: | local long form: Respublika Byelarus'/Respublika Belarus' |
| Country name: | local short form: Byelarus'/Belarus' |
| Country name: | former: Belorussian (Byelorussian) Soviet Socialist Republic |
| Country name: | etymology: the name is a compound of the Belarusian words "bel" (white) and "Rus" (the Old East Slavic ethnic designation) to form the meaning White Rusian or White Ruthenian |
| Government type: | presidential republic in name, although in fact a dictatorship |
| Capital: | name: Minsk |
| Capital: | geographic coordinates: 53 54 N, 27 34 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the origin of the name is disputed; Minsk may originally have been located 16Â km to the southwest, on the banks of Menka River; remnants of a 10th-century settlement on the banks of the Menka have been foundÂ  |
| Administrative divisions: | 6 provinces (voblastsi, singular - voblasts') and 1 municipality* (horad); Brest, Homyel' (Gomel'), Horad Minsk* (Minsk City), Hrodna (Grodno), Mahilyow (Mogilev), Minsk, Vitsyebsk (Vitebsk) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers; Russian spelling provided for reference when different from Belarusian |
| Independence: | 25 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 3 July (1944); note - 3 July 1944 was the date Minsk was liberated from German troops, 25 August 1991 was the date of independence from the Soviet Union |
| Constitution: | history: several previous; latest drafted between late 1991 and early 1994, signed 15 March 1994 |
| Constitution: | amendments: proposed by the president of the republic through petition to the National Assembly or by petition of least 150,000 eligible voters; approval required by at least two-thirds majority vote in both chambers or by simple majority of votes cast in a referendum (2016) |
| Legal system: | civil law system; note - nearly all major codes (civil, civil procedure, criminal, criminal procedure, family, and labor) were revised and came into force in 1999 and 2000 |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Belarus |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Aleksandr LUKASHENKO (since 20 July 1994) |
| Executive branch: | head of government: Prime Minister Sergey RUMAS (since 18 August 2018); First Deputy Prime Minister Dmitriy KRUTOY (since 29 November 2019); Deputy Prime Ministers Vladimir DVORNIK (since 28 March 2018), Igor LYASHENKO, Vladimir KUKHAREV, Igor PETRISHENKO (since 18 August 2018) |
