| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Uganda |
| Country name: | conventional short form: Uganda |
| Government type: | republic |
| Capital: | Kampala |
| Administrative divisions: | 45 districts; Adjumani, Apac, Arua, Bugiri, Bundibugyo, Bushenyi, Busia, Gulu, Hoima, Iganga, Jinja, Kabale, Kabarole, Kalangala, Kampala, Kamuli, Kapchorwa, Kasese, Katakwi, Kibale, Kiboga, Kisoro, Kitgum, Kotido, Kumi, Lira, Luwero, Masaka, Masindi, Mbale, Mbarara, Moroto, Moyo, Mpigi, Mubende, Mukono, Nakasongola, Nebbi, Ntungamo, Pallisa, Rakai, Rukungiri, Sembabule, Soroti, Tororo |
| Independence: | 9 October 1962 (from UK) |
| National holiday: | Independence Day, 9 October (1962) |
| Constitution: | 8 October 1995; adopted by the interim, 284-member Constituent Assembly, charged with debating the draft constitution that had been proposed in May 1993; the Constituent Assembly was dissolved upon the promulgation of the constitution in October 1995 |
| Legal system: | in 1995, the government restored the legal system to one based on English common law and customary law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power 29 January 1986); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power 29 January 1986); Prime Minister Apollo NSIBAMBI (since 5 April 1999); note - the president is both chief of state and head of government; the prime minister assists the president in the supervision of the cabinet |
| Executive branch: | cabinet: Cabinet appointed by the president from among elected legislators |
| Executive branch: | elections: president reelected by popular vote for a five-year term; election last held 12 March 2001 (next to be held NA 2006); note - first popular election for president since independence in 1962 was held in 1996; prime minister appointed by the president |
| Executive branch: | election results: Lt. Gen. Yoweri Kaguta MUSEVENI elected president; percent of vote - Lt. Gen. Yoweri Kaguta MUSEVENI 69.3%, Kizza BESIGYE 27.8% |
| Legislative branch: | unicameral National Assembly (276 members - 214 directly elected by popular vote, 62 nominated by legally established special interest groups and approved by the president - women 39, army 10, disabled 5, youth 5, labor 3; members serve five-year terms) |
| Legislative branch: | elections: last held 27 June 1996 (next to be held May or June 2001); |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NA; note - election campaigning by party was not permitted |
| Judicial branch: | Court of Appeal (judges are appointed by the president and approved by the legislature); High Court (judges are appointed by the president) |
| Political parties and leaders: | only one political organization, the National Resistance Movement or NRM [President MUSEVENI, chairman] is allowed to operate unfettered; note - the president maintains that the NRM is not a political party, but a movement which claims the loyalty of all Ugandans |
| Political parties and leaders: | note: the new constitution requires the suspension of political parties while the Movement system is in governanace; of the political parties that exist but are prohibited from sponsoring candidates, the most important are the Ugandan People's Congress or UPC [Milton OBOTE]; Democratic Party or DP [Paul SSEMOGERERE]; Conservative Party or CP [Joshua S. MAYANJA-NKANGI]; Justice Forum [Muhammad Kibirige MAYANJA]; and National Democrats Forum [Chapaa KARUHANGA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, CCC, EADB, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Edith Grace SSEMPALA |
| Diplomatic representation in the US: | chancery: 5911 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7100 through 7102, 0416 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1727 |
| Diplomatic representation from the US: | chief of mission: Ambassador Martin G. BRENNAN |
| Diplomatic representation from the US: | embassy: Parliament Avenue, Kampala |
| Diplomatic representation from the US: | mailing address: P. O. Box 7007, Kampala |
| Diplomatic representation from the US: | telephone: [256] (41) 259792, 259793, 259795 |
| Diplomatic representation from the US: | FAX: [256] (41) 259794 |
| Flag description: | six equal horizontal bands of black (top), yellow, red, black, yellow, and red; a white disk is superimposed at the center and depicts a red-crested crane (the national symbol) facing the hoist side |
