| Government | Uganda |
| --- | --- |
| Country name: | conventional long form: Republic of Uganda |
| Country name: | conventional short form: Uganda |
| Government type: | republic |
| Capital: | name: Kampala |
| Capital: | geographic coordinates: 0 19 N, 32 25 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 80 districts; Abim, Adjumani, Amolatar, Amuria, Amuru, Apac, Arua, Budaka, Bududa, Bugiri, Bukedea, Bukwa, Bulisa, Bundibugyo, Bushenyi, Busia, Butaleja, Dokolo, Gulu, Hoima, Ibanda, Iganga, Isingiro, Jinja, Kaabong, Kabale, Kabarole, Kaberamaido, Kalangala, Kaliro, Kampala, Kamuli, Kamwenge, Kanungu, Kapchorwa, Kasese, Katakwi, Kayunga, Kibale, Kiboga, Kiruhara, Kisoro, Kitgum, Koboko, Kotido, Kumi, Kyenjojo, Lira, Luwero, Lyantonde, Manafwa, Maracha, Masaka, Masindi, Mayuge, Mbale, Mbarara, Mityana, Moroto, Moyo, Mpigi, Mubende, Mukono, Nakapiripirit, Nakaseke, Nakasongola, Namutumba, Nebbi, Ntungamo, Oyam, Pader, Pallisa, Rakai, Rukungiri, Sembabule, Sironko, Soroti, Tororo, Wakiso, Yumbe |
| Independence: | 9 October 1962 (from the UK) |
| National holiday: | Independence Day, 9 October (1962) |
| Constitution: | 8 October 1995; amended in 2005 |
| Constitution: | note: the amendments in 2005 removed presidential term limits and legalized a multiparty political system |
| Legal system: | based on English common law and customary law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Prime Minister Apolo NSIBAMBI (since 5 April 1999); note - the prime minister assists the president in the supervision of the cabinet |
| Executive branch: | cabinet: Cabinet appointed by the president from among elected legislators |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president reelected by popular vote for a five-year term; election last held on 23 February 2006 (next to be held on 18 February 2011) |
| Executive branch: | election results: Lt. Gen. Yoweri Kaguta MUSEVENI elected president; percent of vote - Lt. Gen. Yoweri Kaguta MUSEVENI 59.3%, Kizza BESIGYE 37.4%, other 3.3% |
| Legislative branch: | unicameral National Assembly (332 seats; 215 members elected by popular vote, 104 nominated by legally established special interest groups [women 79, army 10, disabled 5, youth 5, labor 5], 13 ex-officio members; members to serve five-year terms) |
| Legislative branch: | elections: last held on 23 February 2006 (next to be held on 18 February 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NRM 205, FDC 37, UPC 9, DP 8, CP 1, JEEMA 1, independents 37, other 34 |
| Judicial branch: | Court of Appeal (judges are appointed by the president and approved by the legislature); High Court (judges are appointed by the president) |
| Political parties and leaders: | Conservative Party or CP [Ken LUKYAMUZI]; Democratic Party or DP [Kizito SSEBAANA]; Forum for Democratic Change or FDC [Kizza BESIGYE]; Inter-Party Co-operation or IPC (a coalition of opposition groups); Justice Forum or JEEMA [Muhammad Kibirige MAYANJA]; National Resistance Movement or NRM [Yoweri MUSEVENI]; Peoples Progressive Party or PPP [Bidandi SSALI]; Ugandan People's Congress or UPC [Miria OBOTE] |
| Political parties and leaders: | note: a national referendum in July 2005 opened the way for Uganda's transition to a multi-party political system |
| Political pressure groups and leaders: | Lord's Resistance Army or LRA [Joseph KONY]; Young Parliamentary Association [Henry BANYENZAKI]; Parliamentary Advocacy Forum or PAFO; National Association of Women Organizations in Uganda or NAWOU [Florence NEKYON]; The Ugandan Coalition for Political Accountability to Women or COPAW |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OIC, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Perezi Karukubiro KAMUNANWIRE |
| Diplomatic representation in the US: | chancery: 5911 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7100 through 7102, 0416 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1727 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jerry P. LANIER |
| Diplomatic representation from the US: | embassy: 1577 Ggaba Road, Kampala |
| Diplomatic representation from the US: | mailing address: P. O. Box 7007, Kampala |
| Diplomatic representation from the US: | telephone: [256] (414) 259 791 through 93, 95 |
| Diplomatic representation from the US: | FAX: [256] (414) 258-794 |
| Flag description: | six equal horizontal bands of black (top), yellow, red, black, yellow, and red; a white disk is superimposed at the center and depicts a red-crested crane (the national symbol) facing the hoist side; black symbolizes the African people, yellow sunshine and vitality, red African brotherhood; the crane was the military badge of Ugandan soldiers under the UK |
| National anthem: | name: "Oh Uganda, Land of Beauty!" |
| National anthem: | lyrics/music: George Wilberforce KAKOMOA |
| National anthem: | note: adopted 1962 |
