| Government | Christmas Island |
| --- | --- |
| Country name: | conventional long form: Territory of Christmas Island |
| Country name: | conventional short form: Christmas Island |
| Country name: | etymology: named by English Captain William MYNORS for the day of its rediscovery, Christmas Day (25 December 1643); the island had been sighted by Europeans as early as 1615 |
| Dependency status: | non-self governing territory of Australia; administered from Canberra by the Department of Regional Australia, Local Government, Arts and Sport |
| Government type: | non-self-governing overseas territory of Australia |
| Capital: | name: The Settlement (Flying Fish Cove) |
| Capital: | geographic coordinates: 10 25 S, 105 43 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: self-descriptive name for the main locus of population |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Australia Day (commemorates the arrival of the First Fleet of Australian settlers), 26 January (1788) |
| Constitution: | history: 1 October 1958 (Christmas Island Act 1958) |
| Constitution: | amendments: amended many times, last in 2016 (2017) |
| Legal system: | legal system is under the authority of the governor general of Australia and Australian law |
| Citizenship: | see Australia |
| Suffrage: | 18 years of age |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General of the Commonwealth of Australia General Sir Peter COSGROVE (since 28 March 2014) |
| Executive branch: | head of government: Administrator Natasha GRIGGS (since 5 October 2018) |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the Australian prime minister; administrator appointed by the governor general of Australia for a 2-year term and represents the monarch and Australia |
| Legislative branch: | description: unicameral Christmas Island Shire Council (9 seats; members directly elected by simple majority vote to serve 4-year terms with a portion of the membership renewed every 2 years) |
| Legislative branch: | elections: held every 2 years with half the members standing for election; last held onÂ 21 October 2017 (next to be held in October 2019) |
| Legislative branch: | election results: percent of vote - NA; seats by party - independent 9; composition as of 17 October 2015 - men 7, women 2, percent of women 22.2% |
| Judicial branch: | under the terms of the Territorial Law Reform Act 1992, Western Australia provides court services as needed for the island, including the Supreme Court and subordinate courts (District Court, Magistrate Court, Family Court, Children's Court, and Coroners' Court) |
| Political parties and leaders: | none |
| International organization participation: | none |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | territorial flag; divided diagonally from upper hoist to lower fly; the upper triangle is green with a yellow image of the Golden Bosun Bird superimposed; the lower triangle is blue with the Southern Cross constellation, representing Australia, superimposed; a centered yellow disk displays a green map of the island |
| Flag description: | note: the flag of Australia is used for official purposes |
| National symbol(s): | golden bosun bird |
| National anthem: | note: as a territory of Australia, "Advance Australia Fair" remains official as the national anthem, while "God Save the Queen" serves as the royal anthem (see Australia) |
