| Government | Sudan |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan, Democratic Republic of the Sudan |
| Country name: | etymology: the name "Sudan" derives from the Arabic "bilad-as-sudan" meaning "Land of the Black [peoples]" |
| Government type: | presidential republic |
| Capital: | name: Khartoum |
| Capital: | geographic coordinates: 15 36 N, 32 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 states (wilayat, singular - wilayah); Blue Nile, Central Darfur, East Darfur, Gedaref, Gezira, Kassala, Khartoum, North Darfur, North Kordofan, Northern, Red Sea, River Nile, Sennar, South Darfur, South Kordofan, West Darfur, West Kordofan, White Nile |
| Independence: | 1 January 1956 (from Egypt and the UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | history: previous 1998; latest adopted 6 July 2005, effective 9 July 2005 (interim constitution) (2017) |
| Constitution: | amendments: proposed by the National Legislature or by the president of the republic; passage requires submission of the proposal to the Legislature at least two months prior to consideration, approval by at least three-quarters majority vote in both houses of the Legislature, and assent by the president; amended 2015 (2017) |
| Legal system: | mixed legal system of Islamic law and English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; withdrew acceptance of ICCt jurisdiction in 2008 |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Sudan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 17 years of age; universal |
| Judicial branch: | highest courts: National Supreme Court (consists of 70 judges organized into panels of 3 judges and includes 4 circuits that operate outside the capital); Constitutional Court (consists of 9 justices including the court president); note - the Constitutional Court resides outside the national judiciary |
| Judicial branch: | judge selection and term of office: National Supreme Court and Constitutional Court judges appointed by the president of the republic upon the recommendation of the National Judicial Service Commission, an independent body, chaired by the chief justice, andÂ  other judges and judicial and legal officials; Supreme Court judge tenure NA; Constitutional Court judges serve for 7 years |
| Judicial branch: | subordinate courts: Court of Appeal; other national courts; public courts; district, town, and rural courts |
| Executive branch: | chief of state: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President BAKRI Hassan Salih (since 3 December 2013); Second Vice President Osman Yousif KIBIR (since 9 September 2018); Prime Minister Mutaz MUSA Abdullah Salim (since 10 September 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President BAKRI Hassan Salih (since 3 December 2013); Second Vice President Osman Yousif KIBIR (since 9 September 2018); Prime Minister Mutaz MUSA Abdullah Salim (since 9 September 2018) |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - the NCP dominates al-BASHIR's cabinet |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed; last held on 13-16 April 2015 (next to be held in 2020); prime minister appointed by the president; note - the position of prime minister was reinstated in December 2016 as a result of the 2015-16 national dialogue process, and President al-BASHIR appointed BAKRI Hassan Salih to the position on 2 March 2017 |
| Executive branch: | election results: Umar Hassan Ahmad al-BASHIR reelected president; percent of vote - Umar Hassan Ahmad al-BASHIR (NCP) 94.1%, other (15 candidates) 5.9% |
| Legislative branch: | description: bicameral National Legislature consists of: |
| Legislative branch: | Council of States or Majlis al-Wilayat (54 seats; members indirectly elected by the state legislatures; members serve 6-year tems) |
| Legislative branch: | National Assembly or Majlis Watani (426 seats; 213 members directly elected in state-level, single-seat constituencies by simple majority vote, 128 for women only directly elected by national-level, closed party-list proportional representation vote, and 85 directly elected by national-level, party-list proportional representation vote; members serve 6-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | National Assembly - last held on 13-15 April 2015 (next to be held in 2021) |
| Legislative branch: | election results: |
| Legislative branch: | percent of vote by party - NA; seats by party - NCP 323, DUP 25, Democratic Unionist Party 15, other 44, independent 19 |
| Political parties and leaders: | Democratic Unionist Party or DUP [Jalal al-DIGAIR] |
| Political parties and leaders: | Democratic Unionist Party [Muhammad Uthman al-MIRGHANI] |
| Political parties and leaders: | Federal Umma Party [Dr. Ahmed Babikir NAHAR] |
| Political parties and leaders: | Muslim Brotherhood or MB |
