| Government | Sudan |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan, Democratic Republic of the Sudan |
| Country name: | etymology: the name "Sudan" derives from the Arabic "bilad-as-sudan" meaning "Land of the Black [peoples]" |
| Government type: | presidential republic |
| Capital: | name: Khartoum |
| Capital: | geographic coordinates: 15 36 N, 32 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: several explanations of the name exist; two of the more plausible are that it is derived from Arabic "al-jartum" meaning "elephant's trunk" or "hose," and likely referring to the narrow strip of land extending between the Blue and White Niles; alternatively, the name could derive from the Dinka words "khar-tuom," indicating a "place where rivers meet" |
| Administrative divisions: | 18 states (wilayat, singular - wilayah); Blue Nile, Central Darfur, East Darfur, Gedaref, Gezira, Kassala, Khartoum, North Darfur, North Kordofan, Northern, Red Sea, River Nile, Sennar, South Darfur, South Kordofan, West Darfur, West Kordofan, White Nile |
| Independence: | 1 January 1956 (from Egypt and the UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | history: previous 1973, 1998; 2005 (interim constitution, which was suspended in April 2019); latest initial draft completed by Transitional Military Council in May 2019; revised draft known as the "Draft Constitutional Charter for the 2019 Transitional Period," was signed by the Council and opposition coalition on 4 August 2019 |
| Constitution: | amendments: NA (2017) |
| Legal system: | mixed legal system of Islamic law and English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; withdrew acceptance of ICCt jurisdiction in 2008 |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Sudan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: president (vacant); note -Â as of August 2019, the ruling military council and civilian opposition alliance have signed a power-sharing deal as the "Sovereignty Council," consisting of 6 civilians and 5 generals; chairmanship of the Council will rotate for a period of 3 years until elections can be held; Chairman of the Sovereignty Council - General Abd-al-Fatah al-BURHAN Abd-al-Rahman |
| Executive branch: | head of government: |
| Executive branch: | president (vacant); note - on 4 August 2019, the ruling military council and civilian opposition alliance signed a power-sharing deal as the "Sovereignty Council," consisting of 6 civilians and 5 generals; chairmanship of the Council is currently led by the military, but intended to transition to civilian leadership in May 2021 until elections can be held |
| Executive branch: | cabinet: Transitional Cabinet appointed by the prime minister from a list of candidates from the Forces of Freedom and Change and confirmed by the Sovereignty Council, except the ministers of defense and Interior, who are nominated by the military component of the Sovereignty Council (2019) |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed; last held on 13-16 April 2015 (next to be held in 2022 at the end of the transitional period); prime minister typically appointed by the president; note - the position of prime minister was reinstated in December 2016 as a result of the 2015-16 national dialogue process, and President al-BASHIR appointed BAKRI Hassan Salih to the position on 2 March 2017; on 21 August 2019, the Forces for Freedom and Change, the civilian opposition alliance, named Abdallah HANDOUK as prime minister of Sudan for the transitional period |
| Executive branch: | election results: Umar Hassan Ahmad al-BASHIR reelected president; percent of vote - Umar Hassan Ahmad al-BASHIR (NCP) 94.1%, other (15 candidates) 5.9% |
| Legislative branch: | description: according to the August 2019 Constitutional Decree, which established Sudan's transitional government, the Transitional Legislative Council (TLC) will serve as the national legislature during the transitional period until elections can be held in 2022; as of early December 2019, the TLC had not been established |
| Legislative branch: | elections: |
| Legislative branch: | Council of State - last held 1 June 2015 |
| Legislative branch: | National Assembly - last held on 13-15 April 2015 |
| Legislative branch: | note - elections for an as yet defined new legislature to be held in 2022 at the expiry of the Transnational Legislative Council |
| Legislative branch: | election results: |
| Legislative branch: | Council of State - percent of vote by party - NA; seats by party - NA; composition - men 35, women 19, percent of women 35.2% |
| Legislative branch: | National Assembly - percent of vote by party - NA; seats by party - NCP 323, DUP 25, Democratic Unionist Party 15, other 44, independent 19; composition - men 296 women 130, percent of women 30.5%; note - total National Legislature percent of women 31% |
| Judicial branch: | highest courts: National Supreme Court (consists of 70 judges organized into panels of 3 judges and includes 4 circuits that operate outside the capital); Constitutional Court (consists of 9 justices including the court president); note - the Constitutional Court resides outside the national judiciary |
