| Government | Sudan |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan |
| Government type: | Government of National Unity (GNU) - the National Congress Party (NCP) and Sudan People's Liberation Movement (SPLM) formed a power-sharing government under the 2005 Comprehensive Peace Agreement (CPA); the NCP, which came to power by military coup in 1989, is the majority partner; the agreement stipulates national elections for the 2008 - 2009 timeframe. |
| Capital: | name: Khartoum |
| Capital: | geographic coordinates: 15 36 N, 32 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 25 states (wilayat, singular - wilayah); A'ali an Nil (Upper Nile), Al Bahr al Ahmar (Red Sea), Al Buhayrat (Lakes), Al Jazirah (El Gezira), Al Khartum (Khartoum), Al Qadarif (Gedaref), Al Wahdah (Unity), An Nil al Abyad (White Nile), An Nil al Azraq (Blue Nile), Ash Shamaliyah (Northern), Bahr al Jabal (Bahr al Jabal), Gharb al Istiwa'iyah (Western Equatoria), Gharb Bahr al Ghazal (Western Bahr al Ghazal), Gharb Darfur (Western Darfur), Janub Darfur (Southern Darfur), Janub Kurdufan (Southern Kordofan), Junqali (Jonglei), Kassala (Kassala), Nahr an Nil (Nile), Shamal Bahr al Ghazal (Northern Bahr al Ghazal), Shamal Darfur (Northern Darfur), Shamal Kurdufan (Northern Kordofan), Sharq al Istiwa'iyah (Eastern Equatoria), Sinnar (Sinnar), Warab (Warab) |
| Independence: | 1 January 1956 (from Egypt and UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | 12 April 1973; suspended following coup of 6 April 1985; interim constitution of 10 October 1985 suspended following coup of 30 June 1989; new constitution implemented on 30 June 1998 partially suspended 12 December 1999 by President BASHIR; under the CPA, Interim National Constitution ratified 5 July 2005; Constitution of Southern Sudan signed December 2005 |
| Legal system: | based on English common law and Shari'a law; as of 20 January 1991, the now defunct Revolutionary Command Council imposed Shari'a law in the northern states; Shari'a law applies to all residents of the northern states regardless of their religion; some separate religious courts; accepts compulsory ICJ jurisdiction, with reservations; the southern legal system is still developing under the CPA following the civil war; Shari'a law will not apply to the southern states |
| Suffrage: | 17 years of age; universal, but noncompulsory |
| Executive branch: | chief of state: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President Salva KIIR (since 4 August 2005), Vice President Ali Osman TAHA (since 20 September 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President Salva KIIR (since 4 August 2005), Vice President Ali Osman TAHA (since 20 September 2005); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - the National Congress Party or NCP (formerly the National Islamic Front or NIF) dominates al-BASHIR's cabinet |
| Executive branch: | elections: election last held 13-23 December 2000; next to be held no later than July 2009 under terms of the 2005 Comprehensive Peace Agreement |
| Executive branch: | election results: Umar Hassan Ahmad al-BASHIR reelected president; percent of vote - Umar Hassan Ahmad al-BASHIR 86.5%, Ja'afar Muhammed NUMAYRI 9.6%, three other candidates received a combined vote of 3.9%; election widely viewed as rigged; all popular opposition parties boycotted elections because of a lack of guarantees for a free and fair election |
| Executive branch: | note: al-BASHIR assumed power as chairman of Sudan's Revolutionary Command Council for National Salvation (RCC) in June 1989 and served concurrently as chief of state, chairman of the RCC, prime minister, and minister of defense until mid-October 1993 when he was appointed president by the RCC; he was elected president by popular vote for the first time in March 1996 |
| Legislative branch: | bi-cameral body comprising the National Assembly and Council of States (replaced unicameral National Assembly of 360 seats); pending elections and National Election Law, the Presidency appointed 450 members to the National Assembly according to the provisions of the 2005 Comprehensive Peace Agreement: 52% NCP; 28% SPLM; 14% other Northerners; 6% other Southerners; 2 representatives from every state constitute the Council of States; terms in each chamber are five years following the first elections |
| Legislative branch: | elections: last held 13-22 December 2000 (next to be held 2008-2009 timeframe) |
| Legislative branch: | election results: NCP 355, others 5; note - replaced by appointments under the 2005 Comprehensive Peace Agreement |
| Judicial branch: | Constitutional Court of nine justices; National Supreme Court; National Courts of Appeal; other national courts; National Judicial Service Commission will undertake overall management of the National Judiciary |
