| Government | Sudan |
| Political pressure groups and leaders: | Umma Party [SADIQ Siddiq al-Mahdi]; Popular Congress Party or PCP [Hassan al-TURABI]; Darfur rebel groups including the Justice and Equality Movement or JEM [Khalil IBRAHIM] and the Sudan Liberation Movement or SLM [various factional leaders] |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Akec Khoc ACIEW Khoc |
| Diplomatic representation in the US: | chancery: 2210 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-8565 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2406 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Robert E. WHITEHEAD |
| Diplomatic representation from the US: | embassy: Sharia Ali Abdul Latif Street, Khartoum |
| Diplomatic representation from the US: | mailing address: P.O. Box 699, Khartoum; APO AE 09829 |
| Diplomatic representation from the US: | telephone: [249] (183) 774700 through 704 |
| Diplomatic representation from the US: | FAX: [249] (183) 774137 |
| Flag description: | three equal horizontal bands of red (top), white, and black with a green isosceles triangle based on the hoist side; colors and design based on the Arab Revolt flag of World War I, but the meanings of the colors are expressed as follows: red signifies the struggle for freedom, white is the color of peace, light, and love, black represents Sudan itself (in Arabic 'Sudan' means black), green is the color of Islam, agriculture, and prosperity |
| National anthem: | name: "Nahnu Djundulla Djundulwatan" (We Are the Army of God and of Our Land) |
| National anthem: | lyrics/music: Sayed Ahmad Muhammad SALIH/Ahmad MURJAN |
| National anthem: | note: adopted 1956; the song originally served as the anthem of the Sudanese military |
