| Government | Romania |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Romania |
| Country name: | local long form: none |
| Country name: | local short form: Romania |
| Government type: | republic |
| Capital: | name: Bucharest |
| Capital: | geographic coordinates: 44 26 N, 26 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 41 counties (judete, singular - judet) and 1 municipality* (municipiu); Alba, Arad, Arges, Bacau, Bihor, Bistrita-Nasaud, Botosani, Braila, Brasov, Bucuresti (Bucharest)*, Buzau, Calarasi, Caras-Severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Gorj, Giurgiu, Harghita, Hunedoara, Ialomita, Iasi, Ilfov, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea |
| Independence: | 9 May 1877 (independence proclaimed from the Ottoman Empire; independence recognized on 13 July 1878 by the Treaty of Berlin); 26 March 1881 (kingdom proclaimed); 30 December 1947 (republic proclaimed) |
| National holiday: | Unification Day (of Romania and Transylvania), 1 December (1918) |
| Constitution: | 8 December 1991; revised 29 October 2003 |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Traian BASESCU (since 27 August 2012) |
| Executive branch: | note: President BASESCU has had two suspensions to his presidency since assuming the post on 20 December 2004, the first from 20 April-23 May 2007, the second from 6 July-27 August 2012; he survived a referendum on both occasions |
| Executive branch: | head of government: Prime Minister Victor-Viorel PONTA (since 7 May 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 22 November 2009 with runoff on 6 December 2009 (next to be held in November-December 2014); prime minister appointed by the president with the consent of the Parliament |
| Executive branch: | election results: Traian BASESCU reelected president; percent of vote - Traian BASESCU 50.3%, Mircea GEOANA 49.7% |
| Legislative branch: | bicameral Parliament or Parlament consists of the Senate or Senat (176 seats; members elected by popular vote in a mixed electoral system to serve four-year terms) and the Chamber of Deputies or Camera Deputatilor (412 seats; members elected by popular vote in a mixed electoral system to serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 9 December 2012 (next by December 2016); Chamber of Deputies - last held on 9 December 2012 (next by December 2016) |
| Legislative branch: | election results: Senate - percent of vote by alliance/party - USL 60.1%, ARD 16.7%, PP-DD 14.6%, UDMR 5.3%, other 3.3%; seats by alliance/party - USL 122, ARD 24, PP-DD 21, UDMR 9; Chamber of Deputies - percent of vote by alliance/party - USL 58.6%, ARD 16.5%, PP-DD 14%, UDMR 5.2%, ethnic minorities 2.6%, other 3.1%; seats by alliance/party - USL 273, ARD 56, PP-DD 47, UDMR 18, ethnic minorities 18 |
| Judicial branch: | Supreme Court of Justice (comprised of 11 judges appointed for three-year terms by the president in consultation with the Superior Council of Magistrates, which is comprised of the minister of justice, the prosecutor general, two civil society representatives appointed by the Senate, and 14 judges and prosecutors elected by their peers); a separate body, the Constitutional Court, validates elections and makes decisions regarding the constitutionality of laws, treaties, ordinances, and internal rules of the Parliament; it is comprised of nine members serving nine-year terms, with three members each appointed by the president, the Senate, and the Chamber of Deputies |
| Political parties and leaders: | Christian-Democratic National Peasants' Party or PNT-CD [Victor CIORBEA]; Civic Force or FC [Mihai-Razvan UNGUREANU]; Conservative Party or PC [Daniel CONSTANTIN] (formerly Humanist Party or PUR); Democratic Liberal Party or PDL [Vasile BLAGA]; Democratic Union of Hungarians in Romania or UDMR [Hunor KELEMEN]; National Liberal Party or PNL [Crin ANTONESCU]; National Peasant Christian Democratic Party or PNTCD [Aurelian PAVELESCU]; National Union for Romania's Progress or UNPR [Gabriel OPREA]; People's Party - Dan Diaconescu or PP-DD [Dan DIACONESCU]; Right Romania Alliance or ARD [Vasile BLAGA, Mihai-Razvan UNGUREANU, and Aurelian PAVELESCU] (a center-right electoral alliance that includes PDL, FC, PNT-CD); Social Democratic Party or PSD [Victor PONTA] (formerly Party of Social Democracy in Romania or PDSR); Social Liberal Union or USL [Victor PONTA and Crin ANTONESCU] (an alliance of the PSD, PNL, UNPR, and PC) |
| Political pressure groups and leaders: | other: various human rights and professional associations |
