| Government | ROMANIA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Romania |
| Country name: | local long form: none |
| Country name: | local short form: Romania |
| Government type: | republic |
| Capital: | name: Bucharest |
| Capital: | geographic coordinates: 44 26 N, 26 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 41 counties (judete, singular - judet) and 1 municipality* (municipiu); Alba, Arad, Arges, Bacau, Bihor, Bistrita-Nasaud, Botosani, Braila, Brasov, Bucuresti (Bucharest)*, Buzau, Calarasi, Caras-Severin, Cluj, Constanta, Covasna, Dambovita, Dolj, Galati, Gorj, Giurgiu, Harghita, Hunedoara, Ialomita, Iasi, Ilfov, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Valcea, Vrancea |
| Independence: | 9 May 1877 (independence proclaimed from the Ottoman Empire; independence recognized on 13 July 1878 by the Treaty of Berlin); 26 March 1881 (kingdom proclaimed); 30 December 1947 (republic proclaimed) |
| National holiday: | Unification Day (of Romania and Transylvania), 1 December (1918) |
| Constitution: | several previous; latest adopted 21 November 1991, approved by referendum and effective 8 December 1991; amended 2003 (2014) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Klaus IOHANNIS (since 21 December 2014) |
| Executive branch: | head of government: Prime Minister Victor-Viorel PONTA (since 7 May 2012); Deputy Prime Minister Gabriel OPREA (since 5 March 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 2 November 2014 with a runoff on 16 November 2014 (next to be held on 16 November 2019); prime minister appointed by the president with consent of Parliament |
| Executive branch: | election results: Klaus IOHANNIS elected president; percent of vote in runoff - Klaus IOHANNIS (PNL) 54.4%, Victor PONTA (PSD) 45.6% |
| Legislative branch: | description: bicameral Parliament or Parlament consists of the Senate or Senat (176 seats; 137 members directly elected in single-seat constituencies by absolute majority vote and 39 directly elected in single-seat constituencies by proportional representation vote; members serve 4-year terms) and the Chamber of Deputies or Camera Deputatilor (412 seats; 315 members directly elected in single-seat constituencies by absolute majority vote and 97 directly elected in single-seat constituencies by proportional representation vote; members serve 4-year terms); note - in the Chamber of Deputies, seats are reserved for minority parties that receive at least 10 percent of total valid votes cast |
| Legislative branch: | elections: Senate - last held on 9 December 2012 (next to be held by December 2016); Chamber of Deputies - last held on 9 December 2012 (next to be held by December 2016) |
| Legislative branch: | election results: Senate - percent of vote by alliance/party - USL 60.1%, ARD 16.7%, PP-DD 14.6%, UDMR 5.3%, other 3.3%; seats by alliance/party - USL 122, ARD 24, PP-DD 21, UDMR 9; Chamber of Deputies - percent of vote by alliance/party - USL 58.6%, ARD 16.5%, PP-DD 14%, UDMR 5.2%, ethnic minorities 2.6%, other 3.1%; seats by alliance/party - USL 273, ARD 56, PP-DD 47, UDMR 18, ethnic minorities 18 |
| Judicial branch: | highest court(s): High Court of Cassation and Justice (consists of 111 judges organized into civil, penal, commercial, contentious administrative and fiscal business, and joint sections); Supreme Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: High Court of Cassation and Justice judges appointed by the president upon nomination by the Superior Council of Magistracy, a 19-member body of judges, prosecutors, and law specialists; judges appointed for 6-year renewable terms; Constitutional Court members - 6 elected by Parliament and 3 appointed by the president; members serve 9-year, non-renewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; regional tribunals; first instance courts; military and arbitration courts |
| Political parties and leaders: | Christian-Democratic National Peasants' Party or PNT-CD [Aurelian PAVELESCU] |
| Political parties and leaders: | Conservative Party or PC [Daniel CONSTANTIN] (formerly Humanist Party or PUR) |
| Political parties and leaders: | Democratic Union of Hungarians in Romania or UDMR [Hunor KELEMEN] |
| Political parties and leaders: | National Liberal Party or PNL [Alina GORGIU and Vasile BLAGA co-presidents] - combined with former PDL and FC |
| Political parties and leaders: | National Union for Romania's Progress or UNPR [Gabriel OPREA] |
| Political parties and leaders: | New Republic Party or NR [Mihail NEAMTU] |
| Political parties and leaders: | People's Party - Dan Diaconescu or PP-DD [Marin DIACONESCU] |
| Political parties and leaders: | Popular Movement Party or PMP [Eugen TOMAC] |
| Political parties and leaders: | Social Democratic Party or PSD [Victor-Viorel PONTA] (formerly Party of Social Democracy in Romania or PDSR) |
| Political pressure groups and leaders: | other: various human rights and professional associations |
