| Government | Romania |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Romania |
| Country name: | local long form: none |
| Country name: | local short form: Romania |
| Country name: | former: Kingdom of Romania, Romanian People's Republic, Socialist Republic of Romania |
| Country name: | etymology: the name derives from the Latin "Romanus" meaning "citizen of Rome" and was used to stress the common ancient heritage of Romania's three main regions - Moldavia, Transylvania, and Wallachia - during their gradual unification between the mid-19th century and early 20th century |
| Government type: | semi-presidential republic |
| Capital: | name: Bucharest |
| Capital: | geographic coordinates: 44 26 N, 26 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 41 counties (judete, singular - judet) and 1 municipality* (municipiu); Alba, Arad, Arges, Bacau, Bihor, Bistrita-Nasaud, Botosani, Braila, Brasov, Bucuresti (Bucharest)*, Buzau, Calarasi, Caras-Severin, Cluj, Constanta, Covasna, Dambovita, Dolj, Galati, Gorj, Giurgiu, Harghita, Hunedoara, Ialomita, Iasi, Ilfov, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Valcea, Vrancea |
| Independence: | 9 May 1877 (independence proclaimed from the Ottoman Empire; 13 July 1878 (independence recognized by the Treaty of Berlin); 26 March 1881 (kingdom proclaimed); 30 December 1947 (republic proclaimed) |
| National holiday: | Unification Day (unification of Romania and Transylvania), 1 December (1918) |
| Constitution: | history: several previous; latest adopted 21 November 1991, approved by referendum and effective 8 December 1991 (2016) |
| Constitution: | amendments: initiated by the president of Romania through a proposal by the government, by at least one-fourths of deputies or senators in Parliament, or by petition of eligible voters representing at least half of Romaniaâ€™s counties; passage requires at least two-thirds majority vote by both chambers or â€“ if mediation is required - by three-fourths majority vote in a joint session, followed by approval in a referendum; articles including those on national sovereignty, form of government, political pluralism, and fundamental rights and freedoms cannot be amended; amended 2003 (2016) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Romania |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: High Court of Cassation and Justice (consists of 111 judges organized into civil, penal, commercial, contentious administrative and fiscal business, and joint sections); Supreme Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: High Court of Cassation and Justice judges appointed by the president upon nomination by the Superior Council of Magistracy, a 19-member body of judges, prosecutors, and law specialists; judges appointed for 6-year renewable terms; Constitutional Court members - 6 elected by Parliament and 3 appointed by the president; members serve 9-year, nonrenewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; regional tribunals; first instance courts; military and arbitration courts |
| Executive branch: | chief of state: President Klaus Werner IOHANNIS (since 21 December 2014) |
| Executive branch: | head of government: Prime Minister Viorica DANCILA (since 29 January 2018); Deputy Prime Ministers Gratiela GAVRILESCU (since 29 June 2017), Paul STANESCU (17 October 2017), Viorel STEFAN (since 29 January 2018), Ana BIRCHALL (since 29 January 2018); note - DANCILA is Romania's first woman prime minister |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 2 November 2014 with a runoff on 16 November 2014 (next to be held in November 2019); prime minister appointed by the president with consent of Parliament |
| Executive branch: | election results: Klaus IOHANNIS elected president in second round; percent of vote - Klaus IOHANNIS (PNL) 54.4%, Victor PONTA (PSD) 45.6%; Viorica DANCILA approved as prime minister 282-136 |
| Legislative branch: | description: bicameral Parliament or Parlament consists of: |
| Legislative branch: | Senate or Senat (136 seats; members directly elected in single- and multi-seat constituencies - includingÂ 2 seatsÂ for diaspora - by party-list, proportional representation vote; members serve 4-year terms) |
| Legislative branch: | Chamber of Deputies or Camera Deputatilor (329 seats; members directly elected in single- and multi-seat constituencies - including 4 seats forÂ diaspora - by party-list, proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 11 December 2016 (next to be held by December 2020) |
| Legislative branch: | Chamber of Deputies - last held on 11 December 2016 (next to be held by December 2020) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - PSD 45.7%, PNL 20.4%, USR 8.9%, UDMR 6.2%, ALDE 6%, PMP 5.7%, other 7.1%; seats by party - PSD 67, PNL 30, USR 13, UDMR 9, ALDE 9, PMP 8; composition - men 116, women 20, percent of women 14.7% |
