| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Zambia |
| Country name: | conventional short form: Zambia |
| Country name: | former: Northern Rhodesia |
| Government type: | republic |
| Capital: | Lusaka |
| Administrative divisions: | 9 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Northern, North-Western, Southern, Western |
| Independence: | 24 October 1964 (from UK) |
| National holiday: | Independence Day, 24 October (1964) |
| Constitution: | 2 August 1991 |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in an ad hoc constitutional council; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Frederick CHILUBA (since 2 November 1991); Vice President Enoch KAVINDELE (since 4 May 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Frederick CHILUBA (since 2 November 1991); Vice President Enoch KAVINDELE (since 4 May 2001); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 18 November 1996 (next to be held NA October 2001); vice president appointed by the president |
| Executive branch: | election results: Frederick CHILUBA reelected president; percent of vote - Frederick CHILUBA 72.5%, Dean MUNGO'MBA 12.6%, Humphrey MULEMBA 7%, Akashambatwa LEWANIKA 4.7%, Chama CHAKOMBOKA 3.2% |
| Legislative branch: | unicameral National Assembly (150 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 18 November 1996 (next to be held NA December 2001) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - MMD 131, NP 5, Zadeco 2, AZ 2, independents 10 |
| Judicial branch: | Supreme Court (the final court of appeal; justices are appointed by the president); High Court (has unlimited jurisdiction to hear civil and criminal cases) |
| Political parties and leaders: | Agenda for Zambia or AZ [Akashambatwa LEWANIKA]; Labor Party or LP [Chibiza MFUNI]; Liberal Progressive Front or LPF [Roger CHONGWE, president]; Movement for Democratic Process or MDP [Chama CHAKOM BOKA]; Movement for Multiparty Democracy or MMD [Frederick CHILUBA]; National Party or NP [Daniel LISULO]; Republican Party or RP [Ben MWILA]; Social Democratic Party or SDP [Gwendoline Konie]; United National Independence Party or UNIP [Tilyenji KAUNDA]; United Party for National Development or UPND [Anderson MAZOKA]; Zambia Democratic Congress or Zadeco [Eden JERRY, acting head] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, CCC, ECA, FAO, G-19, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM, ITU, MONUC, NAM, OAU, OPCW, PCA, SADC, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UNTAET, UPU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Atan SHANSONGA |
| Diplomatic representation in the US: | chancery: 2419 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9717 through 9719 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-0826 |
| Diplomatic representation from the US: | chief of mission: Ambassador David B. DUNN |
| Diplomatic representation from the US: | embassy: corner of Independence and United Nations Avenues |
| Diplomatic representation from the US: | mailing address: P. O. Box 31617, Lusaka |
| Diplomatic representation from the US: | telephone: [260] (1) 250-955 |
| Diplomatic representation from the US: | FAX: [260] (1) 252-225 |
| Flag description: | green with a panel of three vertical bands of red (hoist side), black, and orange below a soaring orange eagle, on the outer edge of the flag |
