| Government | Zambia |
| --- | --- |
| Country name: | conventional long form: Republic of Zambia |
| Country name: | conventional short form: Zambia |
| Country name: | former: Northern Rhodesia |
| Government type: | republic |
| Capital: | name: Lusaka |
| Capital: | geographic coordinates: 15 25 S, 28 17 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Northern, North-Western, Southern, Western |
| Independence: | 24 October 1964 (from UK) |
| National holiday: | Independence Day, 24 October (1964) |
| Constitution: | 24 August 1991; amended in 1996 to establish presidential term limits |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in an ad hoc constitutional council; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Levy MWANAWASA (since 2 January 2002); Vice President Rupiah BANDA (since 9 October 2006); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Levy MWANAWASA (since 2 January 2002); Vice President Rupiah BANDA (since 9 October 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 28 September 2006 (next to be held in 2011); vice president appointed by the president |
| Executive branch: | election results: Levy MWANAWASA reelected president; percent of vote - Levy MWANAWASA 43.0%, Michael SATA 29.4%, Hakainde HICHILEMA 25.3%, Godfrey MIYANDA 1.6%, Winright NGONDO 0.8% |
| Legislative branch: | unicameral National Assembly (158 seats; 150 members are elected by popular vote, 8 members are appointed by the president, to serve five-year terms) |
| Legislative branch: | elections: last held 28 September 2006 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - MMD 72, PF 44, UDA 27, ULP 2, NDF 1, independents 2; seats not determined 2 |
| Judicial branch: | Supreme Court (the final court of appeal; justices are appointed by the president); High Court (has unlimited jurisdiction to hear civil and criminal cases) |
| Political parties and leaders: | All Peoples Congress Party [Winright NGONDO]; Forum for Democracy and Development or FDD [Edith NAWAKWI]; Heritage Party or HP [Godfrey MIYANDA]; Liberal Progressive Front or LPF [Roger CHONGWE]; Movement for Multiparty Democracy or MMD [Levy MWANAWASA]; National Democratic Focus or NDF; Patriotic Front or PF [Michael SATA]; Party of Unity for Democracy and Development or PUDD [Dan PULE]; Reform Party [Nevers MUMBA]; United Democratic Alliance or UDA; United Liberal Party or ULP [Sakwiba SIKOTA]; United National Independence Party or UNIP [Tilyenji KAUNDA]; United Party for National Development or UPND [Hakainde HICHILEMA]; Zambia Democratic Congress or ZADECO [Langton SICHONE]; Zambian Republican Party or ZRP [Benjamin MWILA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MONUC, NAM, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIL, UNMIS, UNWTO, UPU, WCL, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Inonge MBIKUSITA-LEWANIKA |
| Diplomatic representation in the US: | chancery: 2419 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9717 through 9719 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-0826 |
| Diplomatic representation from the US: | chief of mission: Ambassador Carmen M. MARTINEZ |
| Diplomatic representation from the US: | embassy: corner of Independence and United Nations Avenues, Lusaka |
| Diplomatic representation from the US: | mailing address: P. O. Box 31617, Lusaka |
| Diplomatic representation from the US: | telephone: [260] (1) 250-955 |
| Diplomatic representation from the US: | FAX: [260] (1) 252-225 |
| Flag description: | green with a panel of three vertical bands of red (hoist side), black, and orange below a soaring orange eagle, on the outer edge of the flag |
