| Government | Zambia |
| --- | --- |
| Country name: | conventional long form: Republic of Zambia |
| Country name: | conventional short form: Zambia |
| Country name: | former: Northern Rhodesia |
| Government type: | republic |
| Capital: | name: Lusaka |
| Capital: | geographic coordinates: 15 25 S, 28 17 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Muchinga, Northern, North-Western, Southern, Western |
| Independence: | 24 October 1964 (from the UK) |
| National holiday: | Independence Day, 24 October (1964) |
| Constitution: | several previous; latest adopted 24 August 1991, promulgated 30 August 1991; amended 1996; note - in late 2013, a constitution committee submitted a draft constitution to the government (2013) |
| Legal system: | mixed legal system of English common law and customary law; judicial review of legislative acts in an ad hoc constitutional council |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michael Chilufya SATA (since 23 September 2011); Vice President Guy SCOTT (since 30 September 2011); the president is both the chief of state and head of government |
| Executive branch: | head of government: President Michael Chilufya SATA (since 23 September 2011); Vice President Guy SCOTT (since 30 September 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 20 September 2011 (next to be held in 2016); vice president appointed by the president |
| Executive branch: | election results: Michael Chilufya SATA elected president; percent of vote - Michael SATA 43.3%, Rupiah BANDA 36.2%, Hakainde HICHILEMA 18.5%, other 2.0% |
| Legislative branch: | unicameral National Assembly (158 seats; 150 members are elected by popular vote, 8 members appointed by the president, to serve five-year terms) |
| Legislative branch: | elections: last held on 20 September 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PF 60, MMD 55, UPND 28, ADD 1, FDD 1, independents 3; seats not determined 2 |
| Judicial branch: | highest court(s): Supreme Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president and ratified by the National Assembly; judge tenure NA |
| Judicial branch: | subordinate courts: High Court; magistrate's courts and local courts |
| Political parties and leaders: | Alliance for Democracy and Development or ADD [Charles MILUPI] |
| Political parties and leaders: | Forum for Democracy and Development or FDD [Edith NAWAKWI] |
| Political parties and leaders: | Heritage Party or HP [Godfrey MIYANDA] |
| Political parties and leaders: | Movement for Multiparty Democracy or MMD [Nevers MUMBA] |
| Political parties and leaders: | National Restoration Party or NAREP [Elias CHIPIMO] |
| Political parties and leaders: | Party of Unity for Democracy and Development or PUDD [Dan PULE] |
| Political parties and leaders: | Patriotic Front or PF [Michael SATA] |
| Political parties and leaders: | United National Independence Party or UNIP [Tilyenji KAUNDA] |
| Political parties and leaders: | United Party for National Development or UPND [Hakainde HICHILEMA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OPCW, PCA, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Palan MULONDA (since 8 January 2013) |
| Diplomatic representation in the US: | chancery: 2419 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9717 through 9719 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-0826 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires David A. YOUNG |
| Diplomatic representation from the US: | embassy: Ibex Hill, Lusaka |
| Diplomatic representation from the US: | mailing address: P. O. Box 31617, Lusaka |
| Diplomatic representation from the US: | telephone: [260] (0) (211) 357-000 |
| Diplomatic representation from the US: | FAX: [260] (0) (211) 357-224 |
| Flag description: | green field with a panel of three vertical bands of red (hoist side), black, and orange below a soaring orange eagle, on the outer edge of the flag; green stands for the country's natural resources and vegetation, red symbolizes the struggle for freedom, black the people of Zambia, and orange the country's mineral wealth; the eagle represents the people's ability to rise above the nation's problems |
| National symbol(s): | African fish eagle |
| National anthem: | name: "Lumbanyeni Zambia" (Stand and Sing of Zambia, Proud and Free) |
| National anthem: | lyrics/music: multiple/Enoch Mankayi SONTONGA |
| National anthem: | note: adopted 1964; the melody, from the popular song "God Bless Africa," is the same as that of Tanzania but with different lyrics; the melody is also incorporated into South Africa's anthem |
