| Government | Slovenia |
| --- | --- |
| Country name: | conventional long form: Republic of Slovenia |
| Country name: | conventional short form: Slovenia |
| Country name: | local long form: Republika Slovenija |
| Country name: | local short form: Slovenija |
| Country name: | former: People's Republic of Slovenia, Socialist Republic of Slovenia |
| Government type: | parliamentary democratic republic |
| Capital: | Ljubljana |
| Administrative divisions: | 182 municipalities (obcine, singular - obcina) and 11 urban municipalities* (mestne obcine , singular - mestna obcina ) Ajdovscina, Beltinci, Benedikt, Bistrica ob Sotli, Bled, Bloke, Bohinj, Borovnica, Bovec, Braslovce, Brda, Brezice, Brezovica, Cankova, Celje*, Cerklje na Gorenjskem, Cerknica, Cerkno, Cerkvenjak, Crensovci, Crna na Koroskem, Crnomelj, Destrnik, Divaca, Dobje, Dobrepolje, Dobrna, Dobrova-Horjul-Polhov Gradec, Dobrovnik-Dobronak, Dolenjske Toplice, Dol pri Ljubljani, Domzale, Dornava, Dravograd, Duplek, Gorenja Vas-Poljane, Gorisnica, Gornja Radgona, Gornji Grad, Gornji Petrovci, Grad, Grosuplje, Hajdina, Hoce-Slivnica, Hodos-Hodos, Horjul, Hrastnik, Hrpelje-Kozina, Idrija, Ig, Ilirska Bistrica, Ivancna Gorica, Izola-Isola, Jesenice, Jezersko, Jursinci, Kamnik, Kanal, Kidricevo, Kobarid, Kobilje, Kocevje, Komen, Komenda, Koper-Capodistria*, Kostel, Kozje, Kranj*, Kranjska Gora, Krizevci, Krsko, Kungota, Kuzma, Lasko, Lenart, Lendava-Lendva, Litija, Ljubljana*, Ljubno, Ljutomer, Logatec, Loska Dolina, Loski Potok, Lovrenc na Pohorju, Luce, Lukovica, Majsperk, Maribor*, Markovci, Medvode, Menges, Metlika, Mezica, Miklavz na Dravskem Polju, Miren-Kostanjevica, Mirna Pec, Mislinja, Moravce, Moravske Toplice, Mozirje, Murska Sobota*, Muta, Naklo, Nazarje, Nova Gorica*, Novo Mesto*, Odranci, Oplotnica, Ormoz, Osilnica, Pesnica, Piran-Pirano, Pivka, Podcetrtek, Podlehnik, Podvelka, Polzela, Postojna, Prebold, Preddvor, Prevalje, Ptuj*, Puconci, Race-Fram, Radece, Radenci, Radlje ob Dravi, Radovljica, Ravne na Koroskem, Razkrizje, Ribnica, Ribnica na Pohorju, Rogasovci, Rogaska Slatina, Rogatec, Ruse, Salovci, Selnica ob Dravi, Semic, Sempeter-Vrtojba, Sencur, Sentilj, Sentjernej, Sentjur pri Celju, Sevnica, Sezana, Skocjan, Skofja Loka, Skofljica, Slovenj Gradec*, Slovenska Bistrica, Slovenske Konjice, Smarje pri Jelsah, Smartno ob Paki, Smartno pri Litiji, Sodrazica, Solcava, Sostanj, Starse, Store, Sveta Ana, Sveti Andraz v Slovenskih Goricah, Sveti Jurij, Tabor, Tisina, Tolmin, Trbovlje, Trebnje, Trnovska Vas, Trzic, Trzin, Turnisce, Velenje*, Velika Polana, Velike Lasce, Verzej, Videm, Vipava, Vitanje, Vodice, Vojnik, Vransko, Vrhnika, Vuzenica, Zagorje ob Savi, Zalec, Zavrc, Zelezniki, Zetale, Ziri, Zirovnica, Zuzemberk, Zrece |
| Administrative divisions: | note: there may be 45 more municipalities |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day/Statehood Day, 25 June (1991) |
| Constitution: | adopted 23 December 1991, effective 23 December 1991 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal (16 years of age, if employed) |
| Executive branch: | chief of state: President Janez DRNOVSEK (since 22 December 2002) |
| Executive branch: | head of government: Prime Minister Janez JANSA (since 9 November 2004) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 10 November and 1 December 2002 (next to be held in the fall of 2007); following National Assembly elections, the leader of the majority party or the leader of a majority coalition is usually nominated to become prime minister by the president and elected by the National Assembly; election last held 9 November 2004 (next National Assembly elections to be held October 2008) |
| Executive branch: | election results: Janez DRNOVSEK elected president; percent of vote - Janez DRNOVSEK 56.5%, Barbara BREZIGAR 43.5%; Janez JANSA elected prime minister; National Assembly vote - 57 to 27 |
| Legislative branch: | bicameral Parliament consisting of a National Assembly or Drzavni Zbor (90 seats; 40 are directly elected and 50 are selected on a proportional basis; note - the numbers of directly elected and proportionally elected seats varies with each election; members are elected by popular vote to serve four-year terms) and the National Council or Drzavni Svet (this is primarily an advisory body organized on corporatist principles with limited legislative powers; it may propose laws, ask to review any National Assembly decisions, and call national referenda; members are indirectly elected to five-year terms by an electoral college) |
| Legislative branch: | elections: National Assembly - last held 3 October 2004 (next to be held October 2008) |
| Legislative branch: | election results: percent of vote by party - SDS 29.1%, LDS 22.8%, ZLSD 10.2%, NSi 9%, SLS 6.8%, SNS 6.3%, DeSUS 4.1%, other 11.7%; seats by party - SDS 29, LDS 23, ZLSD 10, NSi 9, SLS 7, SNS 6, DeSUS 4, Hungarian and Italian minorities 1 each |
| Judicial branch: | Supreme Court (judges are elected by the National Assembly on the recommendation of the Judicial Council); Constitutional Court (judges elected for nine-year terms by the National Assembly and nominated by the president) |
| Political parties and leaders: | Democratic Party of Retired (Persons) of Slovenia or DeSUS [Anton ROUS]; Liberal Democratic Party or LDS [Anton ROP]; New Slovenia or NSi [Andrej BAJUK]; Slovene Democratic Party or SDS [Janez JANSA]; Slovene National Party or SNS [Zmago JELINCIC]; Slovene People's Party or SLS [Janez PODOBNIK]; Slovene Youth Party or SMS [Darko KRANJC]; United List of Social Democrats or ZLSD [Borut PAHOR] |
| Political pressure groups and leaders: | NA |
