| Government | Bangladesh |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | local long form: Gana Prajatantri Bangladesh |
| local short form: | former: East Bengal, East Pakistan |
| Government type: | parliamentary democracy |
| Capital: | name: Dhaka |
| Capital: | geographic coordinates: 23 43 N, 90 24 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet |
| Independence: | 16 December 1971 (from West Pakistan); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is known as Victory Day and commemorates the official creation of the state of Bangladesh |
| National holiday: | Independence Day, 26 March (1971); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is Victory Day and commemorates the official creation of the state of Bangladesh |
| Constitution: | enacted 4 November 1972; effective 16 December 1972; suspended following coup of 24 March 1982; restored 10 November 1986; amended many times |
| Legal system: | mixed legal system of mostly English common law and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Zillur RAHMAN (since 12 February 2009) |
| Executive branch: | head of government: Prime Minister Sheikh HASINA Wajed (since 6 January 2009) |
| Executive branch: | cabinet: Cabinet selected by the prime minister and appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by National Parliament for a five-year term (eligible for a second term); last election held on 11 February 2009 (next to be held in 2014) |
| Executive branch: | election results: Zillur RAHMAN declared president-elect by the Election Commission on 11 February 2009 (sworn in on 12 February); he ran unopposed as president; percent of National Parliament vote - NA |
| Legislative branch: | unicameral National Parliament or Jatiya Sangsad; 300 seats (45 reserved for women) elected by popular vote from single territorial constituencies; members serve five-year terms |
| Legislative branch: | elections: last held on 29 December 2008 (next to be held in 2013) |
| Legislative branch: | election results: percent of vote by party - AL 49%, BNP 33.2%, JP 7%, JIB 4.6%, other 6.2%; seats by party - AL 230, BNP 30, JP 27, JIB 2, other 11 |
| Judicial branch: | Supreme Court (the chief justices and other judges are appointed by the president) |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA]; Communist Party of Bangladesh or CPB [Manjurul A. KHAN]; Bangladesh Nationalist Party or BNP [Khaleda ZIA]; Bikalpa Dhara Bangladesh or BDB [Badrudozza CHOWDHURY]; Islami Oikya Jote or IOJ [multiple leaders]; Jamaat-e-Islami Bangladesh or JIB [Matiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Liberal Democratic Party or LDP [Oli AHMED] |
| Political pressure groups and leaders: | Advocacy to End Gender-based Violence through the MoWCA (Ministry of Women's and Children's Affairs) |
| Political pressure groups and leaders: | other: environmentalists; Islamist groups; religious leaders; teachers; union leaders |
| International organization participation: | ADB, ARF, BIMSTEC, C, CICA (observer), CP, D-8, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OIC, OPCW, SAARC, SACEP, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNMIT, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Akramul QADER |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-7830/2771 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Dan W. MOZENA |
| Diplomatic representation from the US: | embassy: Madani Avenue, Baridhara, Dhaka 1212 |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | telephone: [880] (2) 885-5500 |
| Diplomatic representation from the US: | FAX: [880] (2) 882-3744 |
| Flag description: | green field with a large red disk shifted slightly to the hoist side of center; the red disk represents the rising sun and the sacrifice to achieve independence; the green field symbolizes the lush vegetation of Bangladesh |
| National symbol(s): | Bengal tiger |
| National anthem: | name: "Amar Shonar Bangla" (My Golden Bengal) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1971; Rabindranath TAGORE, a Nobel laureate, also wrote India's national anthem |
