| Government | Bangladesh |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | former: East Pakistan |
| Government type: | parliamentary democracy |
| Capital: | Dhaka |
| Administrative divisions: | 5 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi; note - there may be one additional division named Sylhet |
| Independence: | 16 December 1971 (from West Pakistan); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is known as Victory Day and commemorates the official creation of the state of Bangladesh |
| National holiday: | Independence Day, 26 March (1971); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is Victory Day and commemorates the official creation of the state of Bangladesh |
| Constitution: | 4 November 1972, effective 16 December 1972, suspended following coup of 24 March 1982, restored 10 November 1986, amended many times |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Iajuddin AHMED (since 6 Sepember 2002); note - the president's duties are normally ceremonial, but with the 13th amendment to the constitution ("Caretaker Government Amendment"), the president's role becomes significant at times when Parliament is dissolved and a caretaker government is installed - at presidential direction - to supervise the elections |
| Executive branch: | head of government: Prime Minister Khaleda ZIA (since 10 October 2001) |
| Executive branch: | cabinet: Cabinet selected by the prime minister and appointed by the president |
| Executive branch: | elections: president elected by National Parliament for a five-year term; election scheduled for 16 September 2002 was not held since Iajuddin AHMED was the only presidential candidate; he was sworn in on 6 September 2002 (next election to be held by NA 2007); following legislative elections, the leader of the party that wins the most seats is usually appointed prime minister by the president |
| Executive branch: | election results: Iajuddin AHMED declared by the Election Commission elected unopposed as president; percent of National Parliament vote - NA% |
| Legislative branch: | unicameral National Parliament or Jatiya Sangsad; 300 seats elected by popular vote from single territorial constituencies (the constitutional amendment reserving 30 seats for women over and above the 300 regular parliament seats expired in May 2001); members serve five-year terms |
| Legislative branch: | elections: last held 1 October 2001 (next to be held before October 2006) |
| Legislative branch: | election results: percent of vote by party - BNP and alliance partners 46%, AL 42%; seats by party - BNP 201, AL 62, JI 18, JP (Ershad faction) 14, IOJ 2, JP (Naziur) 1, other 4; note - the election of October 2001 brought a majority BNP government aligned with three other smaller parties - Jamaat-i-Islami, Islami Oikya Jote, and Jatiya Party (Naziur) |
| Judicial branch: | Supreme Court (the chief justices and other judges are appointed by the president) |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIA, chairperson]; Islami Oikya Jote or IOJ [Mufti Fazlul Haq AMINI]; Jamaat-E-Islami or JI [Motiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Jatiya Party (Manzur faction) [[Naziur Rahman MANZUR] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, C, CCC, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OIC, OPCW, SAARC, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Syed Hasan AHMAD |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5366 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Ann PETERS |
| Diplomatic representation from the US: | embassy: Madani Avenue, Baridhara, Dhaka 1212 |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | telephone: [880] (2) 8824700 through 8824722 |
| Diplomatic representation from the US: | FAX: [880] (2) 8823744 |
| Flag description: | green with a large red disk slightly to the hoist side of center; the red sun of freedom represents the blood shed to achieve independence; the green field symbolizes the lush countryside, and secondarily, the traditional color of Islam |
