| Government |
| --- | --- |
| Country name: | conventional long form: People's Republic of Bangladesh |
| Country name: | conventional short form: Bangladesh |
| Country name: | former: East Pakistan |
| Government type: | parliamentary democracy |
| Capital: | Dhaka |
| Administrative divisions: | 5 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi; note - there may be one additional division named Sylhet |
| Independence: | 16 December 1971 (from West Pakistan); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is known as Victory Day and commemorates the official creation of the state of Bangladesh |
| National holiday: | Independence Day, 26 March (1971); note - 26 March 1971 is the date of independence from West Pakistan, 16 December 1971 is Victory Day and commemorates the official creation of the state of Bangladesh |
| Constitution: | 4 November 1972, effective 16 December 1972, suspended following coup of 24 March 1982, restored 10 November 1986, amended many times |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Shahabuddin AHMED (since 9 October 1996); note - the president's duties are normally ceremonial, but with the 13th amendment to the constitution ("Caretaker Government Amendment"), the president's role becomes significant at times when Parliament is dissolved and a caretaker government is installed - at presidential direction - to supervise the elections |
| Executive branch: | head of government: Prime Minister Sheikh HASINA (since 13 July 1996) |
| Executive branch: | cabinet: Cabinet selected by the prime minister and appointed by the president |
| Executive branch: | elections: president elected by National Parliament for a five-year term; election last held 24 July 1996 (next to be held by NA October 2001); following legislative elections, the leader of the party that wins the most seats is usually appointed prime minister by the president |
| Executive branch: | election results: Shahabuddin AHMED elected president without opposition; percent of National Parliament vote - NA% |
| Legislative branch: | unicameral National Parliament or Jatiya Sangsad (330 seats; 300 elected by popular vote from single territorial constituencies, 30 seats reserved for women; members serve five-year terms) |
| Legislative branch: | elections: last held 12 June 1996 (next to be held before 13 October 2001) |
| Legislative branch: | election results: percent of vote by party - AL 33.87%, BNP 30.87%; seats by party - AL 178, BNP 113, JP 33, JI 3, other 3; note - the elections of 12 June 1996 brought to power an Awami League government for the first time in twenty-one years; held under a neutral, caretaker administration, the elections were characterized by a peaceful, orderly process and massive voter turnout, ending a bitter two-year impasse between the former BNP and opposition parties that had paralyzed National Parliament and led to widespread street violence |
| Judicial branch: | Supreme Court (the chief justices and other judges are appointed by the president) |
| Political parties and leaders: | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIAur Rahman]; Islami Oikya Jote or IOJ [Azizol HAQ]; Jamaat-E-Islami or JI [Motiur Rahman NIZAMI]; Jatiya Party or JP [Hussain Mohammad ERSHAD] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, C, CCC, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OIC, OPCW, SAARC, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador-designate A. Tariq KARIM |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Ann PETERS |
| Diplomatic representation from the US: | embassy: Road 27, House 110, Banani, Dhaka |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | telephone: [880] (2) 8824700 through 8824722 |
| Diplomatic representation from the US: | FAX: [880] (2) 8823744 |
| Flag description: | green with a large red disk slightly to the hoist side of center; the red sun of freedom represents the blood shed to achieve independence; the green field symbolizes the lush countryside, and secondarily, the traditional color of Islam |
