| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Chad |
| Country name: | conventional short form: Chad |
| Country name: | local long form: Republique du Tchad |
| Country name: | local short form: Tchad |
| Government type: | republic |
| Capital: | N'Djamena |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture); Batha, Biltine, Borkou-Ennedi-Tibesti, Chari-Baguirmi, Guera, Kanem, Lac, Logone Occidental, Logone Oriental, Mayo-Kebbi, Moyen-Chari, Ouaddai, Salamat, Tandjile |
| Independence: | 11 August 1960 (from France) |
| National holiday: | Independence Day, 11 August (1960) |
| Constitution: | passed by referendum 31 March 1995 |
| Legal system: | based on French civil law system and Chadian customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. Idriss DEBY (since 4 December 1990) |
| Executive branch: | head of government: Prime Minister Nagoum YAMASSOUM (since 13 December 1999) |
| Executive branch: | cabinet: Council of State, members appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote to serve five-year term; if no candidate receives at least 50% of the total vote, the two candidates receiving the most votes must stand for a second round of voting; last held 20 May 2001 (next to be held NA 2006); prime minister appointed by the president |
| Executive branch: | election results: Lt. Gen. Idriss DEBY elected president; percent of vote - Lt. Gen. Idriss DEBY 63%, Ngarlegy YORONGAR 16%, Saleh KEBZABO 7% |
| Executive branch: | note: government coalition - MPS, UNDR, and URD |
| Legislative branch: | unicameral National Assembly (125 seats; members elected by popular vote to serve four-year terms); replaces the Higher Transitional Council or the Conseil Superieur de Transition |
| Legislative branch: | elections: National Assembly - last held in two rounds on 5 January and 23 February 1997 (next to be held in late 2001); in the first round of voting some candidates won clear victories by receiving 50% or more of the vote; where that did not happen, the two highest scoring candidates stood for a second round of voting |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - MPS 65, URD 29, UNDR 15, RDP 3, others 13 |
| Judicial branch: | Supreme Court; Court of Appeal; Criminal Courts; Magistrate Courts |
| Political parties and leaders: | National Union for Development and Renewal or UNDR [Saleh KEBZABO]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] (originally in opposition but now the party in power and the party of the president); Rally for Democracy and Progress or RDP [Lal Mahamat CHOUA]; Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hassaballah Abdelhadi Ahmat SOUBIANE |
| Diplomatic representation in the US: | chancery: 2002 R Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-4009 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1937 |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher E. GOLDTHWAIT |
| Diplomatic representation from the US: | embassy: Avenue Felix Eboue, N'Djamena |
| Diplomatic representation from the US: | mailing address: B. P. 413, N'Djamena |
| Diplomatic representation from the US: | telephone: [235] (51) 70-09, (51) 90-52, (51) 92-33 |
| Diplomatic representation from the US: | FAX: [235] (51) 56-54 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; similar to the flag of Romania; also similar to the flags of Andorra and Moldova, both of which have a national coat of arms centered in the yellow band; design was based on the flag of France |
