| Government | Switzerland |
| --- | --- |
| Country name: | conventional long form: Swiss Confederation |
| Country name: | conventional short form: Switzerland |
| Country name: | local long form: Schweizerische Eidgenossenschaft (German); Confederation Suisse (French); Confederazione Svizzera (Italian); Confederaziun Svizra (Romansh) |
| Country name: | local short form: Schweiz (German); Suisse (French); Svizzera (Italian); Svizra (Romansh) |
| Government type: | formally a confederation but similar in structure to a federal republic |
| Capital: | name: Bern |
| Capital: | geographic coordinates: 46 57 N, 7 26 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 26 cantons, singular - canton in French; cantoni, singular - cantone in Italian; Kantone, singular - Kanton in German); Aargau, Appenzell Ausser-Rhoden, Appenzell Inner-Rhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich |
| Administrative divisions: | note: 6 of the cantons - Appenzell Ausser-Rhoden, Appenzell-Inner-Rhoden, Basel-Landschaft, Basel-Stadt, Nidwalden, Obwalden - are styled half cantons because they elect only one member to the Council of States and, in popular referendums where a majority of popular votes and a majority of cantonal votes are required, these six cantons only have a half vote |
| Independence: | 1 August 1291 (founding of the Swiss Confederation) |
| National holiday: | Founding of the Swiss Confederation, 1 August (1291) |
| Constitution: | revision of Constitution of 1874 approved by the Federal Parliament 18 December 1998, adopted by referendum 18 April 1999, officially entered into force 1 January 2000 |
| Legal system: | civil law system influenced by customary law; judicial review of legislative acts, except with respect to federal decrees of general obligatory character; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Swiss Confederation Micheline CALMY-REY (since 1 January 2011); Vice President Eveline WIDMER-SCHLUMPF (since 1 January 2011); note - the president is both the chief of state and head of government representing the Federal Council; the Federal Council is the formal chief of state and head of government whose council members, rotating in one-year terms as federal president, represent the Council |
| Executive branch: | head of government: President of the Swiss Confederation Micheline CALMY-REY (since 1 January 2011); Vice President Eveline WIDMER-SCHLUMPF (since 1 January 2011) |
| Executive branch: | cabinet: Federal Council or Bundesrat (in German), Conseil Federal (in French), Consiglio Federale (in Italian) is elected by the Federal Assembly usually from among its members for a four-year term |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
