| Government | SRI LANKA |
| --- | --- |
| Country name: | conventional long form: Democratic Socialist Republic of Sri Lanka |
| Country name: | conventional short form: Sri Lanka |
| Country name: | local long form: Shri Lanka Prajatantrika Samajavadi Janarajaya/Ilankai Jananayaka Choshalichak Kutiyarachu |
| Country name: | local short form: Shri Lanka/Ilankai |
| Country name: | former: Serendib, Ceylon |
| Country name: | etymology: the name means "resplendent island" in Sanskrit |
| Government type: | presidential republic |
| Capital: | name: Colombo (commercial capital); Sri Jayewardenepura Kotte (administrative capital) |
| Capital: | geographic coordinates: 6 55 N, 79 50 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 provinces; Central, Eastern, North Central, Northern, North Western, Sabaragamuwa, Southern, Uva, Western |
| Independence: | 4 February 1948 (from the UK) |
| National holiday: | Independence Day (National Day), 4 February (1948) |
| Constitution: | history: several previous; latest adopted 16 August 1978, certified 31 August 1978 |
| Constitution: | amendments: proposed by Parliament; passage requires at least two-thirds majority vote of its total membership, certification by the president of the republic or the Parliament speaker, and approval in a referendum by an absolute majority of valid votes; amended many times, last in 2015 (2017) |
| Legal system: | mixed legal system of Roman-Dutch civil law, English common law, and Jaffna Tamil customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Sri Lanka |
| Citizenship: | dual citizenship recognized: no, except in cases where the government rules it is to the benefit of Sri Lanka |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Maithripala SIRISENA (since 9 January 2015); note - the president is both chief of state and head of government; Ranil WICKREMESINGHE (since 9 January 2015) holds the title of prime minister |
| Executive branch: | head of government: President Maithripala SIRISENA (since 9 January 2015) |
| Executive branch: | cabinet: Cabinet appointed by the president in consultation with the prime minister |
| Executive branch: | elections/appointments: president directly elected by preferential majority popular vote for a 5-year term (eligible for a second term); election last held on 8 January 2015 (next to be held by January 2021); note - the January 2015 election was held nearly 2 years ahead of schedule |
| Executive branch: | election results: Maithripala SIRISENA elected president; percent of vote - Maithripala SIRISENA (SLFP) 51.3%, Mahinda RAJAPAKSA (SLFP) 47.6%, other 1.1% |
| Legislative branch: | description: unicameral Parliament (225 seats; 196 members directly elected in multi-seat constituencies by proportional representation vote using a preferential method in which voters select 3 candidates in order of preference; remaining 29 seats allocated to other political parties and groups in proportion to share of national vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 17 August 2015 following President SIRISENA's dissolution of Parliament in late June 2015 in an effort to consolidate power and pass reforms (next to be held in 2020) |
| Legislative branch: | election results: percent of vote by coalition/party - EYJP 45.7%, UPFA 42.4%, JVP 4.9%, TNA 4.6%, SLMC 0.4%, EPDP 0.3% other 1.7%; seats by coalition/party EYJP 106, UPFA 95, TNA 16, JVP 6, SLMC 1, EPDP 1 |
| Judicial branch: | highest court(s): Supreme Court of the Republic (consists of the chief justice and 9 justices); note - the court has exclusive jurisdiction to review legislation |
| Judicial branch: | judge selection and term of office: chief justice nominated by the Constitutional Council (CC), a 9-member high-level advisory body, and appointed by the president; other justices nominated by the CC and appointed by the president on the advice of the chief justice; all justices can serve until age 65 |
| Judicial branch: | subordinate courts: Court of Appeals; High Courts; Magistrates' Courts; municipal and primary courts |
| Political parties and leaders: | Eelam People's Democratic Party or EPDP [Douglas DEVANANDA] |
| Political parties and leaders: | Janatha Vimukthi Peramuna or JVP [Anura Kumara DISSANAYAKE] |
| Political parties and leaders: | Jathika Hela Urumaya or JHU [Karunarathna PARANAWITHANA and Ven Hadigalle WIMALASARA THERO] |
| Political parties and leaders: | New Democratic Front or NDF [Shalila MOONESINGHE] |
| Political parties and leaders: | Sri Lanka Freedom Party or SLFP [Maithripala SIRISENA] |
| Political parties and leaders: | Sri Lanka Muslim Congress or SLMC [Rauff HAKEEM] |
| Political parties and leaders: | Tamil National Alliance or TNA [Rajavarothiam SAMPANTHAN] (alliance includes Eelam People's Revolutionary Liberation Front [Suresh PREMACHANDRAN], Illankai Tamil Arasu Kachchi Mavai SENATHIRAJAH], People's Liberation Organisation of Tamil Eelam [D. SIDDARTHAN], Tamil Eelam Liberation Organization Selvam ADAIKALANATHAN]) |
| Political parties and leaders: | United National Front for Good Governance or EYJP [Ranil WICKREMESINGHE] (coalition includes JHU, UNP) |
| Political parties and leaders: | United National Party or UNP [Ranil WICKREMESINGHE] |
| Political parties and leaders: | United People's Freedom Alliance or UPFA [Maithripala SIRISENA] (coalition includes SLFP) |
| Political pressure groups and leaders: | Buddhist clergy |
| Political pressure groups and leaders: | Sinhalese Buddhist lay groups |
| Political pressure groups and leaders: | diaspora groups |
| Political pressure groups and leaders: | other: labor unions; hardline nationalist Sinhalese groups, such as the National Movement Against Terrorism |
| International organization participation: | ABEDA, ADB, ARF, BIMSTEC, C, CD, CICA (observer), CP, FAO, G-11, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OAS (observer), OPCW, PCA, SAARC, SACEP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Prasad KARIYAWASAM (since 14 July 2014) |
| Diplomatic representation in the US: | chancery: 3025 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4025 through 4028 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-7181 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Atul KESHAP (since 21 August 2015); note - also accredited to Maldives |
| Diplomatic representation from the US: | embassy: 210 Galle Road, Colombo 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 106, Colombo |
| Diplomatic representation from the US: | telephone: [94] (11) 249-8500 |
| Diplomatic representation from the US: | FAX: [94] (11) 243-7345 |
| Flag description: | yellow with two panels; the smaller hoist-side panel has two equal vertical bands of green (hoist side) and orange; the other larger panel depicts a yellow lion holding a sword on a maroon rectangular field that also displays a yellow bo leaf in each corner; the yellow field appears as a border around the entire flag and extends between the two panels; the lion represents Sinhalese ethnicity, the strength of the nation, and bravery; the sword demonstrates the sovereignty of the nation; the four bo leaves - symbolizing Buddhism and its influence on the country - stand for the four virtues of kindness, friendliness, happiness, and equanimity; orange signifies Sri Lankan Tamils, green Sri Lankan Moors, and maroon the Sinhalese majority; yellow denotes other ethnic groups; also referred to as the Lion Flag |
| National symbol(s): | lion, water lily; national colors: maroon, yellow |
| National anthem: | name: "Sri Lanka Matha" (Mother Sri Lanka) |
| National anthem: | lyrics/music: Ananda SAMARKONE |
| National anthem: | note: adopted 1951 |
