| Government | Sri Lanka |
| --- | --- |
| Country name: | conventional long form: Democratic Socialist Republic of Sri Lanka |
| Country name: | conventional short form: Sri Lanka |
| Country name: | local long form: Shri Lamka Prajatantrika Samajaya di Janarajaya/Ilankai Jananayaka Choshalichak Kutiyarachu |
| Country name: | local short form: Shri Lamka/Ilankai |
| Country name: | former: Serendib, Ceylon |
| Government type: | republic |
| Capital: | name: Colombo |
| Capital: | geographic coordinates: 6 56 N, 79 51 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Sri Jayewardenepura Kotte (legislative capital) |
| Administrative divisions: | 8 provinces; Central, North Central, North Eastern, North Western, Sabaragamuwa, Southern, Uva, Western |
| Administrative divisions: | note: in October 2006, a Sri Lankan Supreme Court ruling voided a presidential directive merging the North and Eastern Provinces; many have defended the merger as a prerequisite for a negotiated settlement to the ethnic conflict; a parliamentary decision on the issue is pending |
| Independence: | 4 February 1948 (from the UK) |
| National holiday: | Independence Day, 4 February (1948) |
| Constitution: | adopted 16 August 1978, certified 31 August 1978; amended 20 December 2000 |
| Legal system: | a highly complex mixture of English common law, Roman-Dutch, Kandyan, and Jaffna Tamil law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mahinda Percy RAJAPAKSA (since 19 November 2005); note - the president is both the chief of state and head of government; Ratnasiri WICKREMANAYAKE (since 21 November 2005) holds the largely ceremonial title of prime minister |
| Executive branch: | head of government: President Mahinda Percy RAJAPAKSA (since 19 November 2005) |
| Executive branch: | cabinet: Cabinet appointed by the president in consultation with the prime minister |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held on 17 November 2005 (next to be held in 2011) |
| Executive branch: | election results: Mahinda RAJAPAKSA elected president; percent of vote - Mahinda RAJAPAKSA 50.3%, Ranil WICKREMESINGHE 48.4%, other 1.3% |
| Legislative branch: | unicameral Parliament (225 seats; members elected by popular vote on the basis of an open-list, proportional representation system by electoral district to serve six-year terms) |
| Legislative branch: | elections: last held on 2 April 2004 (next to be held by 2010) |
| Legislative branch: | election results: percent of vote by party or electoral alliance - SLFP and JVP (no longer in United People's Freedom Alliance) 45.6%, UNP 37.8%, TNA 6.8%, JHU 6%, SLMC 2%, UPF 0.5%, EPDP 0.3%, other 1%; seats by party - UNP 68, SLFP 57, JVP 39, TNA 22, CWC 8, JHU 7, SLMC 6, SLMC dissidents 4, Communist Party 2, JHU dissidents 2, LSSP 2, MEP 2, NUA 2, UPF 2, EPDP 1, UNP dissident 1 |
| Judicial branch: | Supreme Court; Court of Appeals; judges for both courts are appointed by the president |
| Political parties and leaders: | All Ceylon Tamil Congress or ACTC [G.PONNAMBALAM]; Ceylon Workers Congress or CWC [Arumugam THONDAMAN]; Communist Party or CP [D. GUNASEKERA]; Eelam People's Democratic Party or EPDP [Douglas DEVANANDA]; Eelam People's Revolutionary Liberation Front or EPRLF [Suresh PREMACHANDRAN]; Janatha Vimukthi Peramuna or JVP [Somawansa AMARASINGHE]; Lanka Sama Samaja Party or LSSP [Tissa VITHARANA]; Mahajana Eksath Peramuna (People's United Front) or MEP [D. GUNAWARDENE]; National Heritage Party or JHU [Ellawala METHANANDA]; National Unity Alliance or NUA [Ferial ASHRAFF]; People's Liberation Organization of Tamil Eelam or PLOTE [D. SIDHARTHAN]; Sri Lanka Freedom Party or SLFP [Mahinda RAJAPAKSA]; Sri Lanka Muslim Congress or SLMC [Rauff HAKEEM]; Tamil Eelam Liberation Organization or TELO [Selvam ADAIKALANATHAN]; Tamil National Alliance or TNA [R. SAMPANTHAN]; Tamil United Liberation Front or TULF [V. ANANDASANGAREE]; United National Party or UNP [Ranil WICKREMASINGHE]; Up-country People's Front or UPF [P. CHANDRASEKARAN] |
| Political pressure groups and leaders: | Liberation Tigers of Tamil Eelam or LTTE [Velupillai PRABHAKARAN](insurgent group fighting for a separate state); Tamil Makkal Viduthalai Pulikal (TMVP) or Karuna Faction [Vinayagamurthi MURALITHARAN] (paramilitary breakaway from LTTE and fighting LTTE) |
| Political pressure groups and leaders: | other: Buddhist clergy; labor unions; radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups |
| International organization participation: | ADB, BIMSTEC, C, CP, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MINUSTAH, MONUC, NAM, OAS (observer), OPCW, PCA, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jaliya Chitran WICKRAMASURIYA |
| Diplomatic representation in the US: | chancery: 2148 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4025 through 4028 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-7181 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert O. BLAKE, Jr. |
| Diplomatic representation from the US: | embassy: 210 Galle Road, Colombo 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 106, Colombo |
| Diplomatic representation from the US: | telephone: [94] (11) 249-8500 |
| Diplomatic representation from the US: | FAX: [94] (11) 243-7345 |
| Flag description: | yellow with two panels; the smaller hoist-side panel has two equal vertical bands of green (hoist side) and orange; the other panel is a large dark red rectangle with a yellow lion holding a sword, and there is a yellow bo leaf in each corner; the yellow field appears as a border around the entire flag and extends between the two panels |
