| Government | Sri Lanka |
| --- | --- |
| Country name: | conventional long form: Democratic Socialist Republic of Sri Lanka |
| Country name: | conventional short form: Sri Lanka |
| Country name: | local long form: Shri Lamka Prajatantrika Samajaya di Janarajaya/Ilankai Jananayaka Choshalichak Kutiyarachu |
| Country name: | local short form: Shri Lamka/Ilankai |
| Country name: | former: Serendib, Ceylon |
| Government type: | republic |
| Capital: | name: Colombo |
| Capital: | geographic coordinates: 6 56 N, 79 51 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Sri Jayewardenepura Kotte (legislative capital) |
| Administrative divisions: | 9 provinces; Central, Eastern, North Central, Northern, North Western, Sabaragamuwa, Southern, Uva, Western |
| Independence: | 4 February 1948 (from the UK) |
| National holiday: | Independence Day, 4 February (1948) |
| Constitution: | adopted 16 August 1978, certified 31 August 1978; amended 20 December 2001 |
| Legal system: | mixed legal system of Roman-Dutch civil law, English common law, and Jaffna Tamil customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mahinda Percy RAJAPAKSA (since 19 November 2005); note - the president is both the chief of state and head of government; Dissanayake Mudiyanselage JAYARATNE holds the largely ceremonial title of prime minister (since 21 April 2010) |
| Executive branch: | head of government: President Mahinda Percy RAJAPAKSA (since 19 November 2005) |
| Executive branch: | cabinet: Cabinet appointed by the president in consultation with the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a six-year term (two-term limit); election last held on 26 January 2010 (next to be held in 2016) |
| Executive branch: | election results: Mahinda RAJAPAKSA reelected president for second term; percent of vote - Mahinda RAJAPAKSA 57.88%, Sarath FONSEKA 40.15%, other 1.97% |
| Legislative branch: | unicameral Parliament (225 seats; members elected by popular vote on the basis of an open-list, proportional representation system by electoral district to serve six-year terms) |
| Legislative branch: | elections: last held on 8 April 2010 with a repoll in two electorates held on 20 April 2010 (next to be held by April 2016) |
| Legislative branch: | election results: percent of vote by alliance or party - United People's Freedom Alliance 60.93%, United National Party 29.34%, Democratic National Alliance 5.49%, Tamil National Alliance 2.9%, other 1.94%; seats by alliance or party - United People's Freedom Alliance 144, United National Party 60, Tamil National Alliance 14, Democratic National Alliance 7 |
| Judicial branch: | Supreme Court; Court of Appeals; judges for both courts are appointed by the president |
| Political parties and leaders: | Coalitions and leaders: Democratic National Alliance led by Janatha Vimukthi Peramuna or JVP [Somawansa AMARASINGHE]; Tamil National Alliance led by Illandai Tamil Arasu Kachchi [R. SAMPANTHAN]; United National Front led by United National Party [Ranil WICKREMESINGHE]; United People's Freedom Alliance led by Sri Lanka Freedom Party [Mahinda RAJAPAKSA] |
| Political pressure groups and leaders: | Liberation Tigers of Tamil Eelam or LTTE [P. SIVAPARAN, Chief of International Secretariat; V. RUDRAKUMARAN, legal advisor]; note - this insurgent group suffered military defeat in May 2009; some cadres remain scattered throughout country; |
| Political pressure groups and leaders: | other: Buddhist clergy; labor unions; radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups |
| International organization participation: | ABEDA, ADB, ARF, BIMSTEC, C, CP, FAO, G-11, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OAS (observer), OPCW, PCA, SAARC, SACEP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMISS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jaliya Chitran WICKRAMASURIYA |
| Diplomatic representation in the US: | chancery: 2148 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4025 through 4028 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-7181 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Patricia A. BUTENIS |
| Diplomatic representation from the US: | embassy: 210 Galle Road, Colombo 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 106, Colombo |
| Diplomatic representation from the US: | telephone: [94] (11) 249-8500 |
| Diplomatic representation from the US: | FAX: [94] (11) 243-7345 |
| Flag description: | yellow with two panels; the smaller hoist-side panel has two equal vertical bands of green (hoist side) and orange; the other larger panel depicts a yellow lion holding a sword on a dark red rectangular field that also displays a yellow bo leaf in each corner; the yellow field appears as a border around the entire flag and extends between the two panels; the lion represents Sinhalese ethnicity, the strength of the nation, and bravery; the sword demonstrates the sovereignty of the nation; the four bo leaves - symbolizing Buddhism and its influence on the country - stand for the four virtues of kindness, friendliness, happiness, and equanimity; orange signifies Sri Lankan Tamils, green the Sri Lankan Moors; dark red represents the European Burghers, but also refers to the rich colonial background of the country; yellow denotes other ethnic groups; also referred to as the Lion Flag |
| National symbol(s): | lion |
| National anthem: | name: "Sri Lanka Matha" (Mother Sri Lanka) |
| National anthem: | lyrics/music: Ananda SAMARKONE |
| National anthem: | note: adopted 1951 |
