| Government |
| --- | --- |
| Country name: | conventional long form: Democratic Socialist Republic of Sri Lanka |
| Country name: | conventional short form: Sri Lanka |
| Country name: | former: Serendib, Ceylon |
| Government type: | republic |
| Capital: | Colombo; note - Sri Jayewardenepura Kotte is the legislative capital |
| Administrative divisions: | 8 provinces; Central, North Central, North Eastern, North Western, Sabaragamuwa, Southern, Uva, Western; note - North Eastern province may have been divided in two - Northern and Eastern |
| Independence: | 4 February 1948 (from UK) |
| National holiday: | Independence Day, 4 February (1948) |
| Constitution: | adopted 16 August 1978 |
| Legal system: | a highly complex mixture of English common law, Roman-Dutch, Muslim, Sinhalese, and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Chandrika Bandaranaike KUMARATUNGA (since 12 November 1994); note - Ratnasiri WICKRAMANAYAKE (since 10 August 2000) is the prime minister; in Sri Lanka the president is considered to be both the chief of state and the head of the government, this is in contrast to the more common practice of dividing the roles between the president and the prime minister when both offices exist |
| Executive branch: | head of government: President Chandrika Bandaranaike KUMARATUNGA (since 12 November 1994); note - Ratnasiri WICKRAMANAYAKE (since 10 August 2000) is the prime minister; in Sri Lanka the president is considered to be both the chief of state and the head of the government, this is in contrast to the more common practice of dividing the roles between the president and the prime minister when both offices exist |
| Executive branch: | cabinet: Cabinet appointed by the president in consultation with the prime minister |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held 21 December 1999 (next to be held NA December 2005) |
| Executive branch: | election results: Chandrika Bandaranaike KUMARATUNGA reelected president; percent of vote - Chandrika Bandaranaike KUMARATUNGA (PA) 51%, Ranil WICKREMASINGHE (UNP) 42%, other 7% |
| Legislative branch: | unicameral Parliament (225 seats; members elected by popular vote on the basis of a modified proportional representation system by district to serve six-year terms) |
| Legislative branch: | elections: last held 10 October 2000 (next to be held NA October 2006) |
| Legislative branch: | election results: percent of vote by party - PA 45.11%, UNP 40.22%, JVP 6%, NUA 2.29%, SU 1.48%, TULF 1.23%, other 3.67%; seats by party - PA 107, UNP 89, JVP 10, TULF 5, EPDP 4, NUA 4, TELO 3, ACTC 1, SU 1, independent 1 |
| Judicial branch: | Supreme Court; Court of Appeals; judges for both courts are appointed by the president |
| Political parties and leaders: | All Ceylon Tamil Congress or ACTC [Nalliah GURUPAUAN]; Ceylon Workers Congress or CLDC [Arumugam THONDAMAN]; Communist Party [Raja COLLURE]; Democratic United National (Lalith) Front or DUNLF [Srimani ATHULATHMUDALI]; Eelam People's Democratic Party or EPDP [Douglas DEVANANDA]; Eelam People's Revolutionary Liberation Front or EPRLF [Suresh PREMACHANDRA]; Janatha Vimukthi Peramuna or JVP [Tilvan SILVA]; National Unity Alliance or NUA [leader NA]; People's Alliance or PA [Chandrika Bandaranaike KUMARATUNGA]; People's Liberation Organization of Tamil Eelam or PLOTE [D. SIDDATHAN]; Sihala Urumaya or SU [leader NA]; Sri Lanka Freedom Party or SLFP [Chandrika Bandaranaike KUMARATUNGA]; Sri Lanka Muslim Congress or SLMC [Rauff HAKEEM and Ferial ASHRAFF]; Sri Lanka Progressive Front or SLPF [leader NA]; Tamil Eelam Liberation Organization or TELO [SUBRAMANIUM]; Tamil United Liberation Front or TULF [R. SAMPATHAN]; United National Party or UNP [Ranil WICKREMASINGHE]; Upcountry People's Front or UPF [P. CHANDRASEKARAN]; several ethnic Tamil and Muslim parties, represented in either parliament or provincial councils |
| Political pressure groups and leaders: | Buddhist clergy; labor unions; Liberation Tigers of Tamil Eelam or LTTE (insurgent group fighting for a separate state); radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups |
| International organization participation: | AsDB, C, CCC, CP, ESCAP, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM, OAS (observer), OPCW, PCA, SAARC, UN, UNCTAD, UNESCO, UNIDO, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Warnasena RASAPUTRAM |
| Diplomatic representation in the US: | chancery: 2148 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4025 (through 4028) |
| Diplomatic representation in the US: | FAX: [1] (202) 232-7181 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador E. Ashley WILLS |
| Diplomatic representation from the US: | embassy: 210 Galle Road, Colombo 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 106, Colombo |
| Diplomatic representation from the US: | telephone: [94] (1) 448007 |
| Diplomatic representation from the US: | FAX: [94] (1) 437345 |
| Flag description: | yellow with two panels; the smaller hoist-side panel has two equal vertical bands of green (hoist side) and orange; the other panel is a large dark red rectangle with a yellow lion holding a sword, and there is a yellow bo leaf in each corner; the yellow field appears as a border that goes around the entire flag and extends between the two panels |
