| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Government type: | republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou (Timbuktu) |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | several previous; latest drafted August 1991, approved by referendum 12 January 1992, effective 25 February 1992; amended 1999; note - suspended briefly in 2012 (2011) |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ibrahim Boubacar KEITA (since 4 September 2013) |
| Executive branch: | head of government: Prime Minister Oumar Tatum LY (since 5 September 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); the election scheduled for 29 April 2012 and delayed following the March 2012 coup took place 28 July 2013 and a runoff election was held on 11 August 2013; prime minister appointed by the president |
| Executive branch: | election results: Ibrahim Boubacar KEITA elected president in a runoff election; percent of vote Ibrahim Boubacar KEITA 77.6%, Soumaila CISSE 22.4% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (147 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 1 and 22 July 2007 (July 2012 election delayed following the military coup and now scheduled for 24 November 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ADP coalition 113 (ADEMA 51, URD 34, MPR 8, CNID 7, UDD 3, and other 10), FDR coalition 15 (RPM 11, PARENA 4), SADI 4, independent 15 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 19 members organized into 3 civil chambers and a criminal chamber); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court members appointed by the Ministry of Justice to serve 5-year terms; Constitutional Court members selected - 3 each by the president, the National Assembly, and the Supreme Council of the Magistracy; members serve single renewable 7-year terms |
| Judicial branch: | subordinate courts: High Court of Justice (jurisdiction limited to cases of high treason or criminal offenses by the president or ministers while in office) |
| Political parties and leaders: | African Solidarity for Democracy and Independence or SADI [Oumar MARIKO, secretary general] |
