| Government | MALI |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Country name: | note: name derives from the West African Mali Empire of the 13th to 16th centuries A.D. |
| Government type: | semi-presidential republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou (Timbuktu); note - two new regions, Menaka and Taoudenni, were reportedly created in early 2016, but these have not yet been vetted by the US Board on Geographic Names |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | several previous; latest drafted August 1991, approved by referendum 12 January 1992, effective 25 February 1992; amended 1999, suspended briefly in 2012 (2016) |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Mali |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ibrahim Boubacar KEITA (since 4 September 2013) |
| Executive branch: | head of government: Prime Minister Modibo KEITA (since 8 January 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 July 2013 with a runoff on 11 August 2013 (election delayed from April 2012 due to a coup in March 2012); prime minister appointed by the president |
| Executive branch: | election results: Ibrahim Boubacar KEITA elected president in runoff; percent of vote - Ibrahim Boubacar KEITA (RPM) 77.6%, Soumaila CISSE (URD) 22.4% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (147 seats; members directly elected in single-seat constituencies by absolute majority vote in two rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held in two rounds on 24 November and 15 December 2013 (next to be held in 2018); note - the scheduled July 2012 election was canceled due to a coup d'etat and the Tuareg Rebellion |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FDR coalition 69 (RPM 66, PARENA 3), ADP coalition 37 (ADEMA-PASG 16, URD 17, CNID 4), FARE 6, CODEM 5, SADI 5, ASMA-CFP 3, PDES 3, MPR 3, independent 4, other 12; note - 13 seats were from voters abroad |
