| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Country name: | etymology: name derives from the West African Mali Empire of the 13th to 16th centuries A.D. |
| Government type: | semi-presidential republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name in the Bambara language can mean either "crocodile tail" or "crocodile river" and three crocodiles appear on the city seal |
| Administrative divisions: | 10 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Menaka, Mopti, Segou, Sikasso, Taoudenni, Tombouctou (Timbuktu); note - Menaka and Taoudenni were legislated in 2016, but implementation has not been confirmed by the US Board on Geographic Names |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | history: several previous; latest drafted August 1991, approved by referendum 12 January 1992, effective 25 February 1992, suspended briefly in 2012 |
| Constitution: | amendments: proposed by the president of the republic or by members of the National Assembly; passage requires two-thirds majority vote by the Assembly and approval in a referendum; constitutional sections on the integrity of the state, its republican and secular form of government, and its multiparty system cannot be amended; amended 1999 |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in the Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICC jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Mali |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of transitional government, Bah NDAW (since 25 September 2020); vice president of the transitional government, Assimi GOITA (since 25 September 2020); former president Ibrahim Boubacar KEITA was deposed by the Malian military on 18 August 2020; on 21 September, a group of 17 electors chosen by the Malian military junta, called the National Committee for the Salvation of the People (NCSP), selected former Malian defense minister and chairman of the NCSP, Bah NDAW, as transitional president, and retired Malian Army Colonel Assimi GOITA as transitional vice president; the transitional government was inaugurated on 25 September 2020 |
| Executive branch: | head of government: Prime Minister Moctar OUANE (appointed by the transitional government on 27 Sep 2020; former PM Boubou CISSE was removed on 18 August 2020 following the military coup) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 29 July 2018 with a runoff on 12 August 2018; prime minister appointed by the president |
