| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Government type: | republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region); Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | adopted 12 January 1992 |
| Legal system: | based on French civil law system and customary law; judicial review of legislative acts in Constitutional Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Amadou Toumani TOURE (since 8 June 2002) |
| Executive branch: | head of government: Prime Minister Modibo SIDIBE (since 28 September 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 29 April 2007 (next to be held in April 2012); prime minister appointed by the president |
| Executive branch: | election results: Amadou Toumani TOURE reelected president; percent of vote - Amadou Toumani TOURE 71.2%, Ibrahim Boubacar KEITA 19.2%, other 9.6% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (147 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 1 and 22 July 2007 (next to be held in July 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ADP coalition 113 (including ADEMA 51, URD 34, MPR 8, CNID 7, UDD 3, and other 10), FDR coalition 15 (including RPM 11, PARENA 4), SADI 4, independent 15 |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Alliance for Democratic Change (political group comprised mainly of Tuareg from Mali's northern region); African Solidarity for Democracy and Independence or SADI [Oumar MARIKO, secretary general]; Alliance for Democracy and Progress or ADP (a coalition of political parties including ADEMA and URD formed in December 2006 to support the presidential candidacy of Amadou TOURE); Alliance for Democracy or ADEMA [Diounconda TRAORE]; Convergence 2007 [Soumeylou Boubeye MAIGA]; Front for Democracy and the Republic or FDR (a coalition of political parties including RPM and PARENA formed to oppose the presidential candidacy of Amadou TOURE); National Congress for Democratic Initiative or CNID [Mountaga TALL]; Party for Democracy and Progress or PDP [Me Idrissa TRAORE]; Party for National Renewal or PARENA [Tiebile DRAME]; Patriotic Movement for Renewal or MPR [Choguel MAIGA]; Rally for Democracy and Labor or RDT; Rally for Mali or RPM [Ibrahim Boubacar KEITA]; Sudanese Union/African Democratic Rally or US/RDA [Mamadou Bamou TOURE]; Union for Democracy and Development or UDD [Moussa Balla COULIBALY]; Union for Republic and Democracy or URD [Soumaila CISSE] |
| Political pressure groups and leaders: | other: the army; Islamic authorities; rebels in the northern region; state-run cotton company CMDT; tuaregs |
| International organization participation: | ACP, AfDB, AU, ECOWAS, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, MINURCAT, MONUC, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Abdoulaye DIOP |
| Diplomatic representation in the US: | chancery: 2130 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-2249, 939-8950 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6603 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gillian A. MILOVANOVIC |
| Diplomatic representation from the US: | embassy: located just off the Roi Bin Fahad Aziz Bridge just west of the Bamako central district |
| Diplomatic representation from the US: | mailing address: ACI 2000, Rue 243, Porte 297, Bamako |
| Diplomatic representation from the US: | telephone: [223] 270-2300 |
| Diplomatic representation from the US: | FAX: [223] 270-2479 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red; uses the popular pan-African colors of Ethiopia |
