| Government | Nepal |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Nepal |
| Country name: | conventional short form: Nepal |
| Country name: | local long form: Sanghiya Loktantrik Ganatantra Nepal |
| Country name: | local short form: Nepal |
| Government type: | federal democratic republic |
| Capital: | name: Kathmandu |
| Capital: | geographic coordinates: 27 43 N, 85 19 E |
| Capital: | time difference: UTC+5.75 (10.75 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 zones (anchal, singular and plural); Bagmati, Bheri, Dhawalagiri, Gandaki, Janakpur, Karnali, Kosi, Lumbini, Mahakali, Mechi, Narayani, Rapti, Sagarmatha, Seti |
| Independence: | 1768 (unified by Prithvi Narayan SHAH) |
| National holiday: | Republic Day, 29 May |
| Constitution: | several previous; latest entered into force 15 January 2007 (interim); note -a Constituent Assembly elected in 2008 to draft and promulgate a new constitution was unsuccessful and was dismissed in mid-2012 (2013) |
| Legal system: | English common law and Hindu legal concepts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ram Baran YADAV (since 23 July 2008); Vice President Paramananda JHA (since 23 July 2008) |
| Executive branch: | head of government: note: on 14 March 2013, the chief justice of Nepal's Supreme Court, Khil Raj REGMI, was sworn in as Chairman of the Interim Council of Ministers for Elections to lead an interim government and charged with holding Constituent Assembly elections by December 2013 |
| Executive branch: | cabinet: cabinet was formed in August-September 2011 by a majority coalition made up of the United Communist Party of Nepal-Maoist, Madhesi People's Rights Forum-Democratic, Madhesi People's Rights Forum-Republic, Madhesi People's Rights Forum-Nepal, Terai-Madhes Democratic Party, and several smaller parties |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by Parliament; term extends until the new constitution is promulgated; president elected on 21 July 2008; date of next election NA |
| Executive branch: | election results: Ram Baran YADAV elected president by the Constituent Assembly in a second round of voting on 21 July 2008; Ram Baran YADAV 308, Ram Jaja Prasad SINGH 282 |
| Legislative branch: | note: in May 2012 Prime Minister Baburam BHATTARAI dissolved the previous unicameral Constituent Assembly |
| Legislative branch: | unicameral Constituent Assembly (601 seats; 240 members elected by direct popular vote, 335 by proportional representation, and 26 appointed by the Cabinet (Council of Ministers) |
| Legislative branch: | elections: last held on 10 April 2008; note - the Constituent Assembly failed to draft a new constitution by the 27 May 2012 deadline; as of early 2013, the parties were in negotiations to hold elections for a new Constituent Assembly |
| Legislative branch: | election results: percent of vote by party - CPN-M 38%, NC 19%, CPN-UML 18%, Madhesi People's Right Forum-Nepal 9%, other 11%; seats by party - CPN-M 229, NC 115, CPN-UML 108, Madhesi People's Rights Forum-Nepal 54, Terai Madhes Democratic Party 21, other smaller parties 74; note - 26 seats filled by the new Cabinet are included in the totals above |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and up to 14 judges |
| Judicial branch: | note - Nepal's judiciary was restructured under its 2007 Interim Constitution |
| Judicial branch: | judge selection and term of office: the Supreme Court chief justice appointed by the prime minister on the recommendation of the Constitutional Council; other judges are appointed by the prime minister on the recommendation of the Judicial Council; judges serve until age 65 |
| Judicial branch: | subordinate courts: appellate and district courts |
| Political parties and leaders: | Chure Bhawar Rastriya Ekata Party [Himalaya Bhakta PRADHANGA] |
| Political parties and leaders: | Communist Party of Nepal-Marxist Leninist or CPN-ML [C.P. MAINALI] |
| Political parties and leaders: | Communist Party of Nepal-Marxist Leninist Samaibadi [Jaqat Bahadur BOGATI] |
| Political parties and leaders: | Communist Party of Nepal-Maoist or CPN-M [Mohan BAIDYA, also known as KIRAN] |
| Political parties and leaders: | Communist Party of Nepal-Unified [Raj Singh SHRIS] |
| Political parties and leaders: | Communist Party of Nepal-United [Chandra Dev JOSHI] |
| Political parties and leaders: | Communist Party of Nepal-Unified Marxist-Leninist or CPN-UML [Jhalanath KHANAL] |
| Political parties and leaders: | Dalit Janajati Party [Vishwendraman PASHWAN] |
| Political parties and leaders: | Federal Democratic National Forum [Khagendra MAKHAIM] |
| Political parties and leaders: | Federal Democratic National Forum - Tharuhat [Rukmini CHAUDHARY] |
| Political parties and leaders: | Federal Democratic National Party [Ravindra THING] |
| Political parties and leaders: | Federal Socialist Party [Ashok RAI] |
| Political parties and leaders: | Federal Sadbhayana Party [Anil JHAL] |
| Political parties and leaders: | Janta Dal United [Biswonath Prasad AGRAWAL] |
