| Government | Nepal |
| --- | --- |
| Country name: | conventional long and short form: Nepal |
| Country name: | local long and short form: Nepal |
| Government type: | parliamentary democracy |
| Capital: | name: Kathmandu |
| Capital: | geographic coordinates: 27 43 N, 85 19 E |
| Capital: | time difference: UTC+5.75 (10.75 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 zones (anchal, singular and plural); Bagmati, Bheri, Dhawalagiri, Gandaki, Janakpur, Karnali, Kosi, Lumbini, Mahakali, Mechi, Narayani, Rapti, Sagarmatha, Seti |
| Independence: | 1768 (unified by Prithvi Narayan SHAH) |
| National holiday: | in 2006, Parliament abolished the birthday of King GYANENDRA (7 July) and Constitution Day (9 November) as national holidays |
| Constitution: | 9 November 1990; the government began working on an interim constitution in May 2006 |
| Legal system: | based on Hindu legal concepts and English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Girija Prasad KOIRALA (since 30 April 2006) |
| Executive branch: | head of government: Prime Minister Girija Prasad KOIRALA (since 30 April 2006); Deputy Prime Ministers Khadga Prasad OLI (since 2 May 2006) and Amik SHERCHAN since June 2006) |
| Executive branch: | cabinet: Cabinet historically appointed by the monarch on the recommendation of the prime minister; note - the prime minister selected the Cabinet in May 2006 in consultation with the political parties |
| Executive branch: | elections: following legislative elections, the leader of the majority party or leader of a majority coalition historically has been appointed prime minister by the monarch |
| Legislative branch: | a 330 seat Interim Parliament was formed on 15 January 2007 following the promulgation of an interim constitution |
| Legislative branch: | elections: Constituent Assembly elections orginally scheduled for June 2007 were postponed to November 2007 |
| Legislative branch: | election results: Interim Parliament seats by party - NC 85, CPN/M 83, CPN/UML 83, NC/D 48, RPP 9, NSP/AD 5, NWPP 4, People's Front Nepal (Amik Sherchan Group) 4, People's Front Nepal (Chitra Bahadur K.C. Group) 3, UFL 3, People's Front Nepal (Chitra Bahadur Ale Group) 2, NSP 1 |
| Judicial branch: | Supreme Court or Sarbochha Adalat (chief justice is appointed by the monarch on recommendation of the Constitutional Council; the other judges are appointed by the monarch on the recommendation of the Judicial Council) |
| Political parties and leaders: | Communist Party of Nepal/United Marxist-Leninist or CPN/UML [Madhav Kumar NEPAL]; National Democratic Party or NDP [Pashupati Shumsher RANA] (also called Rastriya Prajantra Party or RPP); Nepal Sadbhavana (Goodwill) Party or NSP - Mandal [Bhadri Prasad MANDAL]; Nepal Sadbhavana Party - Ananda Devi [Ananda DEVI]; Nepal Workers and Peasants Party or NWPP [Narayan Man BIJUKCHHE]; Nepali Congress or NC [Girija Prasad KOIRALA, president] (reunited with splinter Nepali Congress-Democratic in September 2007); People's Front Nepal (Amik Sherchan Group); People's Front Nepal (Chitra Bahadur Ale Group); People's Front Nepal (Chitra Bahadur K.C. Group); Rastriya Janashakti Party or RJP [Surya Bahadur THAPA] (split from RPP in March 2005); Samyukta Janmorcha Nepal (merged with People's Front Nepal or PFN in 2002); United Leftist Front or UFL [C.P. MAINALI] |
| Political pressure groups and leaders: | Maoist guerrilla-based insurgency [Pushpa Kamal DAHAL, also known as PRACHANDA, chairman; Dr. Baburam BHATTARAI]; numerous small, left-leaning student groups in the capital; several small, radical Nepalese antimonarchist groups |
| International organization participation: | AsDB, BIMSTEC, CP, FAO, G-77, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINUSTAH, MONUC, NAM, ONUB, OPCW, SAARC, SACEP, UN, UNCTAD, UNDOF, UNESCO, UNIDO, UNMEE, UNMIL, UNMIS, UNOCI, UNTSO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); note - Charge d'Affaires Kali Prasad POKHREL |
| Diplomatic representation in the US: | chancery: 2131 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-4550 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5534 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Nancy J. POWELL |
| Diplomatic representation from the US: | embassy: Maharajgunj, Kathmandu |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [977] (1) 400-7200 |
| Diplomatic representation from the US: | FAX: [977] (1) 400-7272 |
| Flag description: | red with a blue border around the unique shape of two overlapping right triangles; the smaller, upper triangle bears a white stylized moon and the larger, lower triangle bears a white 12-pointed sun |
