| Government | NEPAL |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Nepal |
| Country name: | conventional short form: Nepal |
| Country name: | local long form: Sanghiya Loktantrik Ganatantra Nepal |
| Country name: | local short form: Nepal |
| Country name: | etymology: the Newar people of the Kathmandu Valley and surrounding areas apparently gave their name to the country; the terms "Nepal," "Newar," "Nepar," and "Newal" are phonetically different forms of the same word |
| Government type: | federal parliamentary republic |
| Capital: | name: Kathmandu |
| Capital: | geographic coordinates: 27 43 N, 85 19 E |
| Capital: | time difference: UTC+5.75 (10.75 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 zones (anchal, singular and plural); Bagmati, Bheri, Dhawalagiri, Gandaki, Janakpur, Karnali, Kosi, Lumbini, Mahakali, Mechi, Narayani, Rapti, Sagarmatha, Seti |
| Independence: | 1768 (unified by Prithvi Narayan SHAH) |
| National holiday: | Republic Day, 28 May (2008); note - marks the abdication of Gyanendra SHAH, the last Nepalese monarch, and the establishment of a federal republic |
| Constitution: | history: several previous; latest adopted 20 September 2015 |
| Constitution: | amendments: proposed as a “bill” by either house of the Federal Parliament; bills affecting a state border or powers delegated to a state must be submitted to the affected state assembly; passage of such bills requires a majority vote of that state assembly membership; bills not requiring state assembly consent require at least two-thirds majority vote by the membership of both houses of the Federal Parliament; parts of the constitution on the sovereignty, territorial integrity, independence, and sovereignty vested in the people cannot be amended; amended January 2016 (2017) |
| Legal system: | English common law and Hindu legal concepts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 15 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | head of state: President Bidhya Devi BHANDARI (since 29 October 2015); Vice President Nanda Bahadar PUN (since 31 October 2015) |
| Executive branch: | head of government: Prime Minister Sher Bahadur DEUBA; Deputy Prime Ministers Bijay Kumar GACHHADAR, Krishna Bahadur MAHARA, Gopal Man SHRESTHA; note - Prime Minister Pushpa Kamal DAHAL resigned on 25 May 2017 as part of a rotational power-sharing arrangement between the CPN-MC and NC |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister; cabinet dominated by the CPN-MC and the NC |
| Executive branch: | elections/appointments: president indirectly elected by an electoral college of the Federal Parliament and of the state assemblies for a 5-year term (eligible for a second term); prime minister indirectly elected by the Federal Parliament |
| Executive branch: | election results: Bidhya Devi BHANDARI elected president; Constituent Assembly vote - Bidhya Devi BHANDARI (CPN-UML) 327, Kul Bahadur GURUNG (NC) 214; BHANDARI is Nepal's first woman president |
| Legislative branch: | description: bicameral Federal Parliament (per the new constitution but not implemented as of March 2017) consists of the National Assembly (59 seats; 56 members, including at least 3 women, 1 Dalit, 1 member with disabilities, or 1 minority indirectly elected by an electoral college of state and municipal government leaders, and 3 members, including 1 woman, nominated by the president of Nepal on the recommendation of the Government; members serve 6-year terms with renewal of one-third of the membership every 2 years) and the House of Representatives (275 seats; 165 members directly elected in single-seat constituencies by simple majority vote and 110 members directly elected in a single nationwide constituency by party-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held for the second Constituent Assembly on 19 November 2013 (first election for the Federal Parliament to be held 26 November 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NC 196, CPN-UML 175, CPN-MC 80, Madhesi parties 42, Rastriya Prajatantra Party Nepal 24, RPP 13, Sadhavanna Party 6, CPN-ML 5, Federal Socialist Party 5, Nepal Workers and Peasants Party 4, other 49, independent 2 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and up to 20 judges) |
| Judicial branch: | judge selection and term of office: the Supreme Court chief justice appointed by the president on the recommendation of the Constitutional Council, a 5-member,high-level advisory body headed by the prime minister; other judges appointed by the president on the recommendation of the Judicial Council, a 5-member advisory body headed by the chief justice; the chief justice term of office is 6 years; judges serve until age 65 |
| Judicial branch: | subordinate courts: High Court; Court of Appeal; district courts |
| Judicial branch: | note: Nepal's judiciary was restructured under its 2007 Interim Constitution |
| Political parties and leaders: | note: 164 political parties are registered with the Election Commission of Nepal as of early 2017; 122 political parties participated in the 19 November 2013 election and the 30 parties listed below were elected to serve in the Constituent Assembly; however only 26 of the 30 are considered "national" parties |
| Political parties and leaders: | Akhanda Nepal Party [Kumar KHADKA] |
