| Government | Panama |
| --- | --- |
| Country name: | conventional long form: Republic of Panama |
| Country name: | conventional short form: Panama |
| Country name: | local long form: Republica de Panama |
| Country name: | local short form: Panama |
| Government type: | constitutional democracy |
| Capital: | name: Panama City |
| Capital: | geographic coordinates: 8 58 N, 79 32 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces (provincias, singular - provincia) and 3 indigenous territories* (comarcas); Bocas del Toro, Chiriqui, Cocle, Colon, Darien, Embera-Wounaan*, Herrera, Kuna Yala*, Los Santos, Ngobe-Bugle*, Panama, Veraguas |
| Independence: | 3 November 1903 (from Colombia; became independent from Spain on 28 November 1821) |
| National holiday: | Independence Day, 3 November (1903) |
| Constitution: | 11 October 1972; revised several times |
| Legal system: | civil law system; judicial review of legislative acts in the Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Ricardo MARTINELLI Berrocal (since 1 July 2009); Vice President Juan Carlos VARELA (since 1 July 2009); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ricardo MARTINELLI Berrocal (since 1 July 2009); Vice President Juan Carlos VARELA (since 1 July 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms (president not eligible for immediate reelection and must sit out two additional terms (10 years) before becoming eligible for reelection); election last held on 3 May 2009 (next to be held in 2014) |
| Executive branch: | election results: Ricardo MARTINELLI Berrocal elected president; percent of vote - Ricardo MARTINELLI Berrocal 60%, Balbina HERRERA 38%, Guillermo ENDARA Galimany 2% |
| Executive branch: | note: the ruling government coalition - formerly comprised of CD (Democratic Change), Panamenista Party, MOLIRENA (Nationalist Republican Liberal Movement), and UP (Patriotic Union Party) - split in August 2011 when MARTINELLI relieved Vice President VARELA from his position as Foreign Minister prompting the Panamenistas to pull out of the coalition; UP has now merged with CD, and CD and the Panamenista Party will now run separate candidates for the presidency in 2014 |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (71 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 3 May 2009 (next to be held in May 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PRD 26, Panamenista 22, CD 14, UP 4, MOLIRENA 2, PP 1, independents 2; note - changes in political affiliation now reflect the following seat distribution: as of 5 December 2012 - seats by party - CD 38, PRD 17, Panamenista 9, MOLIRENA 6, PP 1 |
| Legislative branch: | note: legislators from outlying rural districts are chosen on a plurality basis while districts located in more populous towns and cities elect multiple legislators by means of a proportion-based formula |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (nine judges appointed for staggered 10-year terms); five superior courts; three courts of appeal |
