| Government | Panama |
| --- | --- |
| Country name: | conventional long form: Republic of Panama |
| Country name: | conventional short form: Panama |
| Country name: | local long form: Republica de Panama |
| Country name: | local short form: Panama |
| Government type: | constitutional democracy |
| Capital: | name: Panama City |
| Capital: | geographic coordinates: 8 58 N, 79 32 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 11 provinces (provincias, singular - provincia) and 1 territory* (comarca); Bocas del Toro, Comarca Kuna Yala, Comarca Ngobe-Bugle, Chiriqui, Cocle, Colon, Darien, Herrera, Los Santos, Panama, San Blas* (Kuna Yala), and Veraguas |
| Independence: | 3 November 1903 (from Colombia; became independent from Spain 28 November 1821) |
| National holiday: | Independence Day, 3 November (1903) |
| Constitution: | 11 October 1972; revised in 1978, 1983, 1994, and 2004 |
| Legal system: | based on civil law system; judicial review of legislative acts in the Supreme Court of Justice; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Ricardo MARTINELLI Berrocal (since 1 July 2009); Vice President Juan Carlos VARELA (since 1 July 2009); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ricardo MARTINELLI Berrocal (since 1 July 2009); Vice President Juan Carlos VARELA (since 1 July 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms (not eligible for immediate reelection; president and vice president must sit out two additional terms (10 years) before becoming eligible for reelection); election last held on 3 May 2009 (next to be held in 2014) |
| Executive branch: | election results: Ricardo MARTINELLI Berrocal elected president; percent of vote - Ricardo MARTINELLI Berrocal 60%, Balbina HERRERA 38%, Guillermo ENDARA Galimany 2% |
| Executive branch: | note: government coalition - CD (Democratic Change), Panamenista, MOLIRENA (Nationalist Republican Liberal Movement), and UP (Patriotic Union Party) |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (71 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 3 May 2009 (next to be held in May 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PRD 26, Panamenista 22, CD 14, UP 4, Independent 2, MOLIRENA 2, PP 1 |
| Legislative branch: | note: legislators from outlying rural districts chosen on a plurality basis while districts located in more populous towns and cities elect multiple legislators by means of a proportion-based formula |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (nine judges appointed for 10-year terms); five superior courts; three courts of appeal |
| Political parties and leaders: | Democratic Change or CD [Ricardo MARTINELLI]; Democratic Revolutionary Party or PRD [Francisco SANCHEZ Cardenas]; Nationalist Republican Liberal Movement or MOLIRENA [Sergio GONZALEZ-Ruiz]; Panamenista Party [Juan Carlos VARELA Rodriguez] (formerly the Arnulfista Party); Patriotic Union Party or UP (combination of the Liberal National Party or PLN and the Solidarity Party or PS)[Anibal GALINDO]; Popular Party or PP [Milton HENRIQUEZ] (formerly Christian Democratic Party or PDC) |
| Political pressure groups and leaders: | Chamber of Commerce; National Civic Crusade; National Council of Organized Workers or CONATO; National Council of Private Enterprise or CONEP; National Union of Construction and Similar Workers (SUNTRACS); Panamanian Association of Business Executives or APEDE; Panamanian Industrialists Society or SIP; Workers Confederation of the Republic of Panama or CTRP |
| International organization participation: | BCIE, CAN (observer), CSN (observer), FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNASUR (observer), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jaime Eduardo ALEMAN Healy |
| Diplomatic representation in the US: | chancery: 2862 McGill Terrace NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-1407 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8416 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Houston, Miami, New Orleans, New York, Philadelphia, San Diego, San Francisco, Tampa |
| Diplomatic representation from the US: | chief of mission: Ambassador Phyllis M. POWERS |
| Diplomatic representation from the US: | embassy: Edificio 783, Avenida Demetrio Basilio Lakas Panama, Apartado Postal 0816-02561, Zona 5, Panama City |
| Diplomatic representation from the US: | mailing address: American Embassy Panama, Unit 0945, APO AA 34002 |
| Diplomatic representation from the US: | telephone: [507] 207-7000 |
| Diplomatic representation from the US: | FAX: [507] 317-5568 |
| Flag description: | divided into four, equal rectangles; the top quadrants are white (hoist side) with a blue five-pointed star in the center and plain red; the bottom quadrants are plain blue (hoist side) and white with a red five-pointed star in the center; the blue and red colors are those of the main political parties (Conservatives and Liberals respectively) and the white denotes peace between them; the blue star stands for the civic virtues of purity and honesty, the red star signifies authority and law |
| National anthem: | name: "Himno Istemno" (Isthmus Hymn) |
| National anthem: | lyrics/music: Jeronimo DE LA OSSA/Santos A. JORGE |
| National anthem: | note: adopted 1925 |
