| Government | PANAMA |
| --- | --- |
| Country name: | conventional long form: Republic of Panama |
| Country name: | conventional short form: Panama |
| Country name: | local long form: Republica de Panama |
| Country name: | local short form: Panama |
| Government type: | constitutional democracy |
| Capital: | name: Panama City |
| Capital: | geographic coordinates: 8 58 N, 79 32 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Administrative divisions: | 10 provinces (provincias, singular - provincia) and 3 indigenous territories* (comarcas); Bocas del Toro, Chiriqui, Cocle, Colon, Darien, Embera-Wounaan*, Herrera, Kuna Yala*, Los Santos, Ngobe-Bugle*, Panama, Panama Oeste, Veraguas |
| Independence: | 3 November 1903 (from Colombia; became independent from Spain on 28 November 1821) |
| National holiday: | Independence Day, 3 November (1903) |
| Constitution: | several previous; latest effective 11 October 1972; amended several times, last in 2004 (2010) |
| Legal system: | civil law system; judicial review of legislative acts in the Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Ricardo MARTINELLI Berrocal (since 1 July 2009); Vice President Juan Carlos VARELA Rodriguez (since 1 July 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a 5-year term (president eligible for a single non-consecutive term); election last held on 4 May 2014; next to be held in 2019) |
| Executive branch: | election results: Juan Carlos VARELA elected president; percent of vote - Juan Carlos VARELA (PP) 39.1%, Jose Domingo ARIAS (CD) 31.4%, Juan Carlos NAVARRO (PRD) 28.2%, other 1.3% |
| Executive branch: | note: the ruling government coalition - formerly comprised of CD (Democratic Change), Panamenista Party, MOLIRENA (Nationalist Republican Liberal Movement), and UP (Patriotic Union Party) - split in August 2011 when President MARTINELLI relieved Vice President VARELA from his position as Foreign Minister, prompting the Panamenistas to pull out of the coalition; UP merged with CD, and CD and the Panamenista Party ran separate candidates for the 2014 presidency |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (71 seats; 45 members directly elected in multi-seat constituencies - populous towns and cities - by proportional representation vote and 26 directly elected in single-seat constituencies - outlying rural districts - by plurality vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 4 May 2014 (next to be held in May 2019) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PRD 26, CD 25, Panamenista 16, MOLIRENA 2, PP 1, independent 1; note - only 57 deputies were officially installed because fourteen runners-up challenged the election |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 magistrates and 9 alternates and divided into civil, criminal, administrative, and general business chambers) |
| Judicial branch: | judge selection and term of office: magistrates appointed by the president for staggered 10-year terms |
