| Government | Maldives |
| --- | --- |
| Country name: | conventional long form: Republic of Maldives |
| Country name: | conventional short form: Maldives |
| Country name: | local long form: Dhivehi Raajjeyge Jumhooriyyaa |
| Country name: | local short form: Dhivehi Raajje |
| Government type: | republic |
| Capital: | name: Male |
| Capital: | geographic coordinates: 4 10 N, 73 30 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces and 1 municipality*; Dhekunu (South), Maale*, Mathi Dhekunu (Upper South), Mathi Uthuru (Upper North), Medhu (Central), Medhu Dhekunu (South Central), Medhu Uthuru (North Central), Uthuru (North) |
| Independence: | 26 July 1965 (from the UK) |
| National holiday: | Independence Day, 26 July (1965) |
| Constitution: | many previous; latest ratified 7 August 2008 (2010) |
| Legal system: | Islamic religious legal system with English common law influences, primarily in commercial matters |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdulla YAMEEN Abdul Gayoom (since 17 November 2013); Vice President Mohamed JAMEEL Ahmed (since 17 November 2013); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Abdulla YAMEEN Abdul Gayoom (since 17 November 2013); Vice President Mohamed JAMEEL Ahmed (since 17 November 2013) |
| Executive branch: | cabinet: Cabinet of Ministers is appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); the election held on 7 September 2013 was annulled by the Supreme Court; rerun of first round held on 9 November 2013 and runoff held on 16 November (next election to be held in 2018) |
| Executive branch: | election results: first round (9 November 2013); percent of vote - Mohamed NASHEED 46.9%, Abdulla YAMEEN Abdul Gayoom 29.7%, Qasim IBRAHIM 23.3%; runoff (postponed to 16 November 2013); percent of vote - Abdulla YAMEEN Abdul Gayoom elected president 51.4%, Mohamed NASHEED 48.6% |
| Legislative branch: | unicameral Parliament or People's Majlis (85 seats; members elected by direct vote to serve 5-year terms); note - the Elections Commission in December 2013 increased the number of seats to 85 from 77 |
| Legislative branch: | elections: last held on 22 March 2014 (next to be held in 2019) |
