| Government | Ukraine |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ukraine |
| Country name: | local long form: none |
| Country name: | local short form: Ukrayina |
| Country name: | former: Ukrainian National Republic, Ukrainian State, Ukrainian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Kyiv (Kiev) |
| Capital: | geographic coordinates: 50 26 N, 30 31 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 24 provinces (oblasti, singular - oblast'), 1 autonomous republic* (avtonomna respublika), and 2 municipalities (mista, singular - misto) with oblast status**; Cherkasy, Chernihiv, Chernivtsi, Crimea or Avtonomna Respublika Krym* (Simferopol'), Dnipropetrovs'k, Donets'k, Ivano-Frankivs'k, Kharkiv, Kherson, Khmel'nyts'kyy, Kirovohrad, Kyiv**, Kyiv, Luhans'k, L'viv, Mykolayiv, Odesa, Poltava, Rivne, Sevastopol'**, Sumy, Ternopil', Vinnytsya, Volyn' (Luts'k), Zakarpattya (Uzhhorod), Zaporizhzhya, Zhytomyr |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 24 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 24 August (1991); note - 22 January 1918, the day Ukraine first declared its independence (from Soviet Russia) and the day the short-lived Western and Central Ukrainian republics united (1919), is now celebrated as Unity Day |
| Constitution: | adopted 28 June 1996 |
| Legal system: | based on civil law system; judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Viktor A. YUSHCHENKO (since 23 January 2005) |
| Executive branch: | head of government: Prime Minister Yuliya TYMOSHENKO (since 18 December 2007); First Deputy Prime Minister Oleksandr TURCHYNOV (since 18 December 2007); Deputy Prime Ministers Hryhoriy NEMYRYA and Ivan VASYUNYK (since 18 December 2007) |
| Executive branch: | cabinet: Cabinet of Ministers selected by the prime minister; the only exceptions are the foreign and defense ministers, who are chosen by the president |
| Executive branch: | note: there is also a National Security and Defense Council or NSDC originally created in 1992 as the National Security Council; the NSDC staff is tasked with developing national security policy on domestic and international matters and advising the president; a Presidential Secretariat helps draft presidential edicts and provides policy support to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); note - a special repeat runoff presidential election between Viktor YUSHCHENKO and Viktor YANUKOVYCH took place on 26 December 2004 after the earlier 21 November 2004 contest - won by YANUKOVYCH - was invalidated by the Ukrainian Supreme Court because of widespread and significant violations; under constitutional reforms that went into effect 1 January 2006, the majority in parliament takes the lead in naming the prime minister |
| Executive branch: | election results: Viktor YUSHCHENKO elected president; percent of vote - Viktor YUSHCHENKO 52%, Viktor YANUKOVYCH 44.2% |
| Legislative branch: | unicameral Supreme Council or Verkhovna Rada (450 seats; members allocated on a proportional basis to those parties that gain 3% or more of the national electoral vote; serve five-year terms) |
| Legislative branch: | elections: last held 30 September 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party/bloc - Party of Regions 34.4%, Yuliya Tymoshenko Bloc 30.7%, Our Ukraine-People's Self Defense 14.2%, CPU 5.4%, Lytvyn bloc 4%, other parties 11.3%; seats by party/bloc - Party of Regions 175, Yuliya Tymoshenko Bloc 156, Our Ukraine-People's Self Defense 72, CPU 27, Lytvyn bloc 20 |
| Judicial branch: | Supreme Court; Constitutional Court |
| Political parties and leaders: | Christian Democratic Union [Volodymyr STRETOVYCH]; Communist Party of Ukraine or CPU [Petro SYMONENKO]; European Party of Ukraine [Mykola KATERYNCHUK]; Fatherland Party (Batkivshchyna) [Yuliya TYMOSHENKO]; Forward Ukraine! [Viktor MUSIYAKA]; Labor Party of Ukraine [Mykola SYROTA]; Our Ukraine [Viktor YUSHCHENKO]; Party of Industrialists and Entrepreneurs [Anatoliy KINAKH]; Party of the Defenders of the Fatherland [Yuriy Karmazin]; People's Movement of Ukraine (Rukh) [Borys TARASYUK]; People's Party [Volodymyr LYTVYN]; Peoples' Self-Defense [Yuriy LUTSENKO]; PORA! (It's Time!) party [Vladyslav KASKIV]; Progressive Socialist Party [Natalya VITRENKO]; Reforms and Order Party [Viktor PYNZENYK]; Party of Regions [Viktor YANUKOVYCH]; Sobor [Anatoliy MATVIYENKO]; Social Democratic Party [Yevhen KORNICHUK]; Social Democratic Party (United) or SDPU(o) [Yuriy ZAHORODNIY]; Socialist Party of Ukraine or SPU [Oleksandr MOROZ]; Ukrainian People's Party [Yuriy KOSTENKO]; United Center [Ihor Krill]; Viche [Inna BOHOSLOVSKA] |
| Political pressure groups and leaders: | Committee of Voters of Ukraine [Ihor POPOV] |
