| Government | Ukraine |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ukraine |
| Country name: | local long form: none |
| Country name: | local short form: Ukrayina |
| Country name: | former: Ukrainian National Republic, Ukrainian State, Ukrainian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Kyiv (Kiev) |
| Capital: | note: pronounced KAY-yiv |
| Capital: | geographic coordinates: 50 26 N, 30 31 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 24 provinces (oblasti, singular - oblast'), 1 autonomous republic* (avtonomna respublika), and 2 municipalities (mista, singular - misto) with oblast status**; Cherkasy, Chernihiv, Chernivtsi, Crimea or Avtonomna Respublika Krym* (Simferopol'), Dnipropetrovs'k, Donets'k, Ivano-Frankivs'k, Kharkiv, Kherson, Khmel'nyts'kyy, Kirovohrad, Kyiv**, Kyiv, Luhans'k, L'viv, Mykolayiv, Odesa, Poltava, Rivne, Sevastopol'**, Sumy, Ternopil', Vinnytsya, Volyn' (Luts'k), Zakarpattya (Uzhhorod), Zaporizhzhya, Zhytomyr |
| Administrative divisions: | note 1: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Administrative divisions: | note 2: the United States does not recognize Russia's annexation of Ukraine's Autonomous Republic of Crimea and the municipality of Sevastopol, nor their redesignation as the Republic of Crimea and the Federal City of Sevastopol |
| Independence: | 24 August 1991 (from the Soviet Union); notable earlier dates: ca. 982 (VOLODYMYR I consolidates Kyivan Rus), 1648 (establishment of Cossack Hetmanate) |
| National holiday: | Independence Day, 24 August (1991); note - 22 January 1918, the day Ukraine first declared its independence (from Soviet Russia) and the day the short-lived Western and Greater (Eastern) Ukrainian republics united (1919), is now celebrated as Unity Day |
| Constitution: | several previous; latest adopted and ratified 28 June 1996; amended 2004, 2010; note - to revert to the 2004 version pending additional constitutional reforms (2014) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Petro POROSHENKO (since 7 June 2014) |
| Executive branch: | head of government: Prime Minister Arseniy YATSENYUK (since 27 February 2014); First Deputy Prime Minister (vacant), Deputy Prime Ministers Volodymyr HROYSMAN and Oleksandr SYCH (all since 27 February 2014) |
| Executive branch: | cabinet: Cabinet of Ministers nominated by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | note: there is also a National Security and Defense Council or NSDC originally created in 1992 as the National Security Council; the NSDC staff is tasked with developing national security policy on domestic and international matters and advising the president; a Presidential Administration helps draft presidential edicts and provides policy support to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 25 May 2014 (next to be held in 2019) |
| Executive branch: | election results: Petro POROSHENKO elected president; percent of vote - Petro POROSHENKO 54.5%, Yuliya TYMOSHENKO 12.9%, Oleh LYASHKO 8.4%, others 24.2% |
| Legislative branch: | unicameral Supreme Council or Verkhovna Rada (450 seats; 50% of seats allocated on a proportional basis to those parties that gain 5% or more of the national electoral vote and 50% to members elected in single mandate districts; members serve five-year terms) |
| Legislative branch: | elections: last held on 28 October 2012 (next to be held fall 2017) |
| Legislative branch: | election results: percent of vote by party - Party of Regions 30%, Batkivshchyna 25.5%, UDAR 14%, CPU 13.2%, Svoboda 10.4%, other parties 6.9%; seats by party - Party of Regions 185, Batkivshchyna 101, UDAR 40, Svoboda 37, CPU 32, United Center 3, People's Party 2, Radical 1, Union 1, independents 43, vacant 5; composition as of early April 2014 - Party of Regions 120, Batkivshchyna 88, UDAR 42, "Economic Development" group 36, "Sovereign European Ukraine" group 36, Svoboda 35, CPU 32, independents 59, vacant 2 |
| Judicial branch: | highest court(s): Supreme Court of Ukraine (consists of 95 judges organized into civil, criminal, commercial, and administrative chambers, and a military panel); Constitutional Court (consists of 18 justices) |
| Judicial branch: | judge selection and term of office: Supreme Court judges proposed by the Supreme Council of Justice or SCJ (a 20-member independent body of judicial officials and other appointees) and appointed by presidential decree; judges initially appointed for 5 years and, if approved by the SCJ, serve until mandatory retirement at age 65; Constitutional Court justices appointed - 6 each by the president, by the SCU, and by the Verkhovna Rada; justices appointed for 9-year non-renewable terms |
| Judicial branch: | subordinate courts: specialized high courts; Courts of Cassation; Courts of Appeal; regional, district, city, and town courts |
| Political parties and leaders: | Batkivshchyna ("Fatherland") [Yuliya TYMOSHENKO] |
| Political parties and leaders: | Communist Party of Ukraine or CPU [Petro SYMONENKO] |
| Political parties and leaders: | Party of Regions [vacant] |
| Political parties and leaders: | People's Movement of Ukraine (Rukh) [Borys TARASYUK] |
| Political parties and leaders: | People's Party [Volodymyr LYTVYN] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
