| Government |
| --- | --- |
| Country name: | conventional long form: United Mexican States |
| Country name: | conventional short form: Mexico |
| Country name: | local long form: Estados Unidos Mexicanos |
| Country name: | local short form: Mexico |
| Government type: | federal republic |
| Capital: | Mexico |
| Administrative divisions: | 31 states (estados, singular - estado) and 1 federal district* (distrito federal); Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila de Zaragoza, Colima, Distrito Federal*, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan de Ocampo, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro de Arteaga, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz-Llave, Yucatan, Zacatecas |
| Independence: | 16 September 1810 (from Spain) |
| National holiday: | Independence Day, 16 September (1810) |
| Constitution: | 5 February 1917 |
| Legal system: | mixture of US constitutional theory and civil law system; judicial review of legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory (but not enforced) |
| Executive branch: | chief of state: President Vicente FOX Quesada (since 1 December 2000); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Vicente FOX Quesada (since 1 December 2000); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president; note - appointment of attorney general requires consent of the Senate |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held 2 July 2000 (next to be held NA July 2006) |
| Executive branch: | election results: Vicente FOX Quesada elected president; percent of vote - Vicente FOX Quesada (PAN) 42.52%, Francisco LABASTIDA Ochoa (PRI) 36.1%, Cuauhtemoc CARDENAS Solorzano (PRD) 16.64%, other 4.74% |
| Legislative branch: | bicameral National Congress or Congreso de la Union consists of the Senate or Camara de Senadores (128 seats; 96 are elected by popular vote to serve six-year terms, and 32 are allocated on the basis of each party's popular vote) and the Federal Chamber of Deputies or Camara Federal de Diputados (500 seats; 300 members are directly elected by popular vote to serve three-year terms; remaining 200 members are allocated on the basis of each party's popular vote, also for three-year terms) |
| Legislative branch: | elections: Senate - last held 2 July 2000 for all of the seats (next to be held NA 2006); Chamber of Deputies - last held 2 July 2000 (next to be held NA 2003) |
