| Government | Mexico |
| --- | --- |
| Country name: | conventional long form: United Mexican States |
| Country name: | conventional short form: Mexico |
| Country name: | local long form: Estados Unidos Mexicanos |
| Country name: | local short form: Mexico |
| Government type: | federal republic |
| Capital: | name: Mexico City (Distrito Federal) |
| Capital: | geographic coordinates: 19 26 N, 99 08 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in April; ends last Sunday in October |
| Capital: | note: Mexico is divided into three time zones |
| Administrative divisions: | 31 states (estados, singular - estado) and 1 federal district* (distrito federal); Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila de Zaragoza, Colima, Distrito Federal*, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan de Ocampo, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro de Arteaga, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave (Veracruz), Yucatan, Zacatecas |
| Independence: | 16 September 1810 (declared); 27 September 1821 (recognized by Spain) |
| National holiday: | Independence Day, 16 September (1810) |
| Constitution: | several previous; latest approved 5 February 1917; amended many times, last in 2012 (2012) |
| Legal system: | civil law system with US constitutional law theory influence; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory (but not enforced) |
| Executive branch: | chief of state: President Enrique PENA NIETO (since 1 December 2012); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Enrique PENA NIETO (since 1 December 2012) |
| Executive branch: | cabinet: Cabinet appointed by the president; note - appointment of attorney general, the head of the Bank of Mexico, and senior treasury officials require consent of the Senate |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a single six-year term; election last held on 1 July 2012 (next to be held July 2018) |
| Executive branch: | election results: Enrique PENA NIETO elected president; percent of vote - Enrique PENA NIETO (PRI) 38.21%, Andres Manuel LOPEZ OBRADOR (PRD) 31.59%, Josefina Eugenia VAZQUEZ Mota (PAN) 25.41%, other 4.79% |
