| Government | France |
| --- | --- |
| Country name: | conventional long form: French Republic |
| Country name: | conventional short form: France |
| Country name: | local long form: Republique francaise |
| Country name: | local short form: France |
| Government type: | republic |
| Capital: | name: Paris |
| Capital: | geographic coordinates: 48 52 N, 2 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to metropolitan France only, not to its overseas departments, collectivities, or territories |
| Administrative divisions: | 26 regions (regions, singular - region); Alsace, Aquitaine, Auvergne, Basse-Normandie (Lower Normandy), Bourgogne (Burgundy), Bretagne (Brittany), Centre, Champagne-Ardenne, Corse (Corsica), Franche-Comte, Guadeloupe, Guyane (French Guiana), Haute-Normandie (Upper Normandy), Ile-de-France, Languedoc-Roussillon, Limousin, Lorraine, Martinique, Midi-Pyrenees, Nord-Pas-de-Calais, Pays de la Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote d'Azur, Reunion, Rhone-Alpes |
| Administrative divisions: | note: France is divided into 22 metropolitan regions (including the "territorial collectivity" of Corse or Corsica) and 4 overseas regions (including French Guiana, Guadeloupe, Martinique, and Reunion) and is subdivided into 96 metropolitan departments and 4 overseas departments (which are the same as the overseas regions) |
| Dependent areas: | Clipperton Island, French Polynesia, French Southern and Antarctic Lands, Mayotte, New Caledonia, Saint Barthelemy, Saint Martin, Wallis and Futuna |
| Dependent areas: | note: the US does not recognize claims to Antarctica; New Caledonia has been considered a "sui generis" collectivity of France since 1998, a unique status falling between that of an independent country and a French overseas department |
| Independence: | no official date of independence: 486 (Frankish tribes unified under Merovingian kingship); 10 August 843 (Western Francia established from the division of the Carolingian Empire); 14 July 1789 (French monarchy overthrown); 22 September 1792 (First French Republic founded); 4 October 1958 (Fifth French Republic established) |
| National holiday: | Fete de la Federation, 14 July (1790); note - although often incorrectly referred to as Bastille Day, the celebration actually commemorates the holiday held on the first anniversary of the storming of the Bastille (on 14 July 1789) and the establishment of a constitutional monarchy; other names for the holiday are Fete Nationale (National Holiday) and quatorze juillet (14th of July) |
| Constitution: | adopted by referendum 28 September 1958; effective 4 October 1958; amended many times |
| Constitution: | note: amended concerning election of president in 1962; amended to comply with provisions of 1992 EC Maastricht Treaty, 1997 Amsterdam Treaty, 2003 Treaty of Nice; amended to tighten immigration laws in 1993; amended in 2000 to change the seven-year presidential term to a five-year term; amended in 2005 to make the EU constitutional treaty compatible with the Constitution of France and to ensure that the decision to ratify EU accession treaties would be made by referendum |
| Legal system: | civil law system with indigenous concepts; review of administrative but not legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolas SARKOZY (since 16 May 2007) |
| Executive branch: | head of government: Prime Minister Francois FILLON (since 17 May 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the president at the suggestion of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held on 22 April and 6 May 2007 (next to be held in the spring of 2012); prime minister appointed by the president |
| Executive branch: | election results: Nicolas SARKOZY elected; first round: percent of vote - Nicolas SARKOZY 31.2%, Segolene ROYAL 25.9%, Francois BAYROU 18.6%, Jean-Marie LE PEN 10.4%, others 13.9%; second round: SARKOZY 53.1%, ROYAL 46.9% |
