| Government | France |
| --- | --- |
| Country name: | conventional long form: French Republic |
| Country name: | conventional short form: France |
| Country name: | local long form: Republique francaise |
| Country name: | local short form: France |
| Government type: | republic |
| Capital: | name: Paris |
| Capital: | geographic coordinates: 48 52 N, 2 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to metropolitan France only, not to its overseas departments, collectivities, or territories |
| Administrative divisions: | 27 regions (regions, singular - region); Alsace, Aquitaine, Auvergne, Basse-Normandie (Lower Normandy), Bourgogne (Burgundy), Bretagne (Brittany), Centre, Champagne-Ardenne, Corse (Corsica), Franche-Comte, Guadeloupe, Guyane (French Guiana), Haute-Normandie (Upper Normandy), Ile-de-France, Languedoc-Roussillon, Limousin, Lorraine, Martinique, Mayotte, Midi-Pyrenees, Nord-Pas-de-Calais, Pays de la Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote d'Azur, Reunion, Rhone-Alpes |
| Administrative divisions: | note: France is divided into 22 metropolitan regions (including the "territorial collectivity" of Corse or Corsica) and 5 overseas regions (French Guiana, Guadeloupe, Martinique, Mayotte, and Reunion) and is subdivided into 96 metropolitan departments and 5 overseas departments (which are the same as the overseas regions) |
| Dependent areas: | Clipperton Island, French Polynesia, French Southern and Antarctic Lands, New Caledonia, Saint Barthelemy, Saint Martin, Saint Pierre and Miquelon, Wallis and Futuna |
| Dependent areas: | note: the US does not recognize claims to Antarctica; New Caledonia has been considered a "sui generis" collectivity of France since 1998, a unique status falling between that of an independent country and a French overseas department |
| Independence: | no official date of independence: 486 (Frankish tribes unified under Merovingian kingship); 10 August 843 (Western Francia established from the division of the Carolingian Empire); 14 July 1789 (French monarchy overthrown); 22 September 1792 (First French Republic founded); 4 October 1958 (Fifth French Republic established) |
| National holiday: | Fete de la Federation, 14 July (1790); note - although often incorrectly referred to as Bastille Day, the celebration actually commemorates the holiday held on the first anniversary of the storming of the Bastille (on 14 July 1789) and the establishment of a constitutional monarchy; other names for the holiday are Fete Nationale (National Holiday) and quatorze juillet (14th of July) |
| Constitution: | 4 October 1958 (French Constitution) (2013) |
| Legal system: | civil law; review of administrative but not legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois HOLLANDE (since 15 May 2012) |
| Executive branch: | head of government: Prime Minister Manuel VALLS (since 1 April 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president at the suggestion of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 22 April and 6 May 2012 (next to be held in the spring of 2017); prime minister appointed by the president |
| Executive branch: | election results: Francois HOLLANDE elected; first round: percent of vote - Francois HOLLANDE 28.6%, Nicolas SARKOZY 27.2%, Marine LE PEN 17.9%, Jean-Luc MELENCHON 11.1%, Francois BAYROU, 9.1%, others 6.1%; second round: HOLLANDE 51.6%, SARKOZY 48.4% |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (348 seats; 328 for metropolitan France and overseas departments, 2 for New Caledonia, 2 for French Polynesia, 1 for Saint-Pierre and Miquelon, 1 for Saint-Barthelemy, 1 for Saint-Martin, 1 for Wallis and Futuna, and 12 for French nationals abroad; members indirectly elected by an electoral college to serve six-year terms; one third elected every three years); and the National Assembly or Assemblee Nationale (577 seats; 555 for metropolitan France, 15 for overseas departments, 7 for overseas dependencies; members elected by popular vote under a single-member majority system to serve five-year terms) |
