| Government |
| --- | --- |
| Country name: | conventional long form: Italian Republic |
| Country name: | conventional short form: Italy |
| Country name: | local long form: Repubblica Italiana |
| Country name: | local short form: Italia |
| Country name: | former: Kingdom of Italy |
| Government type: | republic |
| Capital: | Rome |
| Administrative divisions: | 20 regions (regioni, singular - regione); Abruzzi, Basilicata, Calabria, Campania, Emilia-Romagna, Friuli-Venezia Giulia, Lazio, Liguria, Lombardia, Marche, Molise, Piemonte, Puglia, Sardegna, Sicilia, Toscana, Trentino-Alto Adige, Umbria, Valle d'Aosta, Veneto |
| Independence: | 17 March 1861 (Kingdom of Italy proclaimed; Italy was not finally unified until 1870) |
| National holiday: | Republic Day, 2 June (1946) |
| Constitution: | 1 January 1948 |
| Legal system: | based on civil law system; appeals treated as new trials; judicial review under certain conditions in Constitutional Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (except in senatorial elections, where minimum age is 25) |
| Executive branch: | chief of state: President Carlo Azeglio CIAMPI (since 13 May 1999) |
| Executive branch: | head of government: Prime Minister (referred to in Italy as the president of the Council of Ministers) Silvio BERLUSCONI (since 10 June 2001) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and approved by the president |
| Executive branch: | elections: president elected by an electoral college consisting of both houses of Parliament and 58 regional representatives for a seven-year term; election last held 13 May 1999 (next to be held NA May 2006); prime minister appointed by the president and confirmed by parliament |
| Executive branch: | election results: Carlo Azeglio CIAMPI elected president; percent of electoral college vote - 70% |
| Executive branch: | note: a 12-party government coalition; note - BERLUSCONI's coalition includes Forza Italian, National Alliance, Christian Democratic Center, Christian Northern League |
| Legislative branch: | bicameral Parliament or Parlamento consists of the Senate or Senato della Repubblica (315 seats elected by popular vote of which 232 are directly elected and 83 are elected by regional proportional representation plus, in addition, there are a small number of senators-for-life including former presidents of the republic; members serve five-year terms) and the Chamber of Deputies or Camera dei Deputati (630 seats; 475 are directly elected, 155 by regional proportional representation; members serve five-year terms) |
| Legislative branch: | elections: Senate - last held 13 May 2001 (next to be held NA 2006); Chamber of Deputies - last held 13 May 2001 (next to be held NA 2006) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - House of Liberties 177 (Forza Italia 82, National Alliance 46, CCD-CDU 29, Northern League 17, others 3), Olive Tree 128 (Democrats of the Left 62, Daisy Alliance 42, Sunflower Alliance 16, Italian Communist Party 3, independents 5), non-affiliated with either coalition 10, senators for life 9; Chamber of Deputies - percent of vote by party - NA%; seats by party - House of Liberties 367 (Forza Italia 189, National Alliance 96, CCD-CDU 40, Northern League 30, others 12), Olive Tree 248 (Democrats of the Left 138, Daisy Alliance 76, Sunflower Alliance 18, Italian Communist Party 9, independents 7), non-affiliated with either coalition 15 |
| Judicial branch: Constitutional Court or Corte Costituzionale (composed of 15 judges: | one-third appointed by the president, one-third elected by Parliament, one-third elected by the ordinary and administrative Supreme Courts) |
| Political parties and leaders: | Center-Left Olive Tree Coalition [Francesco RUTELLI] - Democrats of the Left, Daisy Alliance (including Italian Popular Party, Italian Renewal, Union of Democrats for Europe, The Democrats), Sunflower Alliance (including Green Federation, Italian Democratic Socialists), Italian Communist Party; Christian Democratic Center or CDC [Pier Ferdinando CASINI]; Christian Democratic Union or CDU [Rocco BUTTIGLIONE]; Communist Renewal or RC [Fausto BERTINOTTI]; Forza Italia or FI [Silvio BERLUSCONI]; Green Federation [Grazia FRANCESCATO]; House of Liberties (formerly Freedom Alliance, a center-right coalition) [leader Silvio BERLUSCONI] - Forza Italian, National Alliance, Christian Democratic Center, Christian Democratic Union, Northern League; Italian Communist Party or PdCI [Oliviero DILIBERTO]; Italian Democratic Socialists [Enrico BOSELLI]; Italian Popular Party [Pierluigi CASTAGNETTI]; Italian Renewal [Lamberto DINI]; Italian Social Movement-Tricolored Flame or MSI-FI [Pino RAUTI]; National Alliance or AN [Gianfranco FINI]; Northern League or NL [Umberto BOSSI]; Radical Party (formerly Panella Reformers and Autonomous List) [Marco PANNELLA]; Southern Tyrols People's Party or SVP (German speakers) [Siegfried BRUGGER]; Union of Democrats for Europe [Clemente MASTELLA]; The Democrats [Arturo PARISI] |
| Political pressure groups and leaders: | Italian manufacturers and merchants associations (Confindustria, Confcommercio); organized farm groups (Confcoltivatori, Confagricoltura); Roman Catholic Church; three major trade union confederations (Confederazione Generale Italiana del Lavoro or CGIL [Sergio COFFERATI] which is left wing, Confederazione Italiana dei Sindacati Lavoratori or CISL [Sergio D'ANTONI] which is Catholic centrist, and Unione Italiana del Lavoro or UIL [Pietro LARIZZA] which is lay centrist) |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CCC, CDB (non-regional), CE, CEI, CERN, EAPC, EBRD, ECE, ECLAC, EIB, EMU, ESA, EU, FAO, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOGIP, UNTSO, UPU, WCL, WEU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ferdinando SALLEO |
| Diplomatic representation in the US: | chancery: 3000 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-4400 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-2154 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New York, Los Angeles, Philadelphia, and San Francisco |
| Diplomatic representation in the US: | consulate(s): Detroit |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation from the US: | embassy: Via Veneto 119/A, 00187-Rome |
| Diplomatic representation from the US: | mailing address: PSC 59, Box 100, APO AE 09624 |
| Diplomatic representation from the US: | telephone: [39] (06) 46741 |
| Diplomatic representation from the US: | FAX: [39] (06) 488-2672 |
| Diplomatic representation from the US: | consulate(s) general: Florence, Milan, Naples |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; similar to the flag of Ireland, which is longer and is green (hoist side), white, and orange; also similar to the flag of the Cote d'Ivoire, which has the colors reversed - orange (hoist side), white, and green |
| Flag description: | note: inspired by the French flag brought to Italy by Napoleon in 1797 |
